Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Charizard-Mega-X,11.19794,11,78.571,6,85.714
2,Greninja-Ash,11.19794,7,50.000,6,85.714
3,Lucario-Mega,11.19794,5,35.714,1,14.286
4,Sceptile-Mega,9.35807,5,35.714,3,42.857
5,Gardevoir-Mega,9.35807,5,35.714,3,42.857
6,Salamence-Mega,9.35807,3,21.429,2,28.571
7,Gyarados-Mega,1.83987,1,7.143,0,0.000
8,Darkrai,1.83987,2,14.286,2,28.571
9,Mewtwo-Mega-X,1.83987,5,35.714,3,42.857
10,Sharpedo-Mega,0.00000,1,7.143,0,0.000
11,Arceus,0.00000,2,14.286,1,14.286
12,Gengar-Mega,0.00000,3,21.429,3,42.857
13,Absol-Mega,0.00000,1,7.143,0,0.000
14,Alakazam-Mega,0.00000,2,14.286,0,0.000
15,Rayquaza,0.00000,2,14.286,1,14.286
16,Diancie-Mega,0.00000,1,7.143,0,0.000
17,Kecleon,0.00000,1,7.143,1,14.286
18,Aggron-Mega,0.00000,2,14.286,2,28.571
19,Swampert-Mega,0.00000,2,14.286,2,28.571
20,Banette-Mega,0.00000,1,7.143,1,14.286
21,Charizard-Mega-Y,0.00000,1,7.143,1,14.286
22,Kyogre-Primal,0.00000,1,7.143,0,0.000
23,Blastoise-Mega,0.00000,3,21.429,0,0.000
24,Venusaur-Mega,0.00000,3,21.429,2,28.571
25,Gallade-Mega,0.00000,1,7.143,0,0.000
26,Blaziken-Mega,0.00000,2,14.286,1,14.286
27,Sableye-Mega,0.00000,1,7.143,0,0.000
28,Metagross-Mega,0.00000,1,7.143,1,14.286
