Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mienfoo,48.07581,22904,31.870,19954,34.790
2,Pawniard,45.55243,16290,22.667,13300,23.189
3,Vullaby,41.46380,15977,22.231,12771,22.266
4,Timburr,31.59399,13038,18.142,10809,18.846
5,Grookey,25.53113,15212,21.167,11873,20.701
6,Abra,24.83642,22475,31.273,16494,28.758
7,Foongus,24.13891,10082,14.028,8156,14.220
8,Porygon,23.98269,9253,12.875,7030,12.257
9,Staryu,23.90892,11176,15.551,9001,15.693
10,Ferroseed,23.52184,14261,19.843,12547,21.876
11,Koffing,22.53004,7526,10.472,6314,11.009
12,Mareanie,18.00744,8353,11.623,6809,11.872
13,Diglett,17.52546,8984,12.501,6806,11.866
14,Onix,17.06988,10964,15.256,9271,16.164
15,Ponyta-Galar,16.25558,5866,8.162,4404,7.678
16,Scraggy,14.99926,5411,7.529,4067,7.091
17,Trapinch,14.79322,7384,10.274,5932,10.343
18,Ponyta,13.27072,7718,10.739,6193,10.798
19,Mudbray,12.54195,6267,8.720,5133,8.949
20,Magnemite,11.22807,6122,8.518,4892,8.529
21,Dewpider,7.61959,5629,7.832,5219,9.099
22,Natu,7.35463,4562,6.348,3745,6.529
23,Spritzee,7.04700,4665,6.491,3571,6.226
24,Munchlax,6.54326,4230,5.886,3311,5.773
25,Frillish,5.91512,3451,4.802,2723,4.748
26,Dwebble,5.79646,3955,5.503,3459,6.031
27,Drilbur,5.40467,3592,4.998,2798,4.878
28,Slowpoke,4.88938,2027,2.820,1652,2.880
29,Tyrunt,4.62589,4219,5.870,2997,5.225
30,Wingull,4.56872,1617,2.250,1334,2.326
31,Larvesta,4.42388,2792,3.885,2358,4.111
32,Vulpix,4.30632,3950,5.496,3258,5.680
33,Archen,3.84555,5052,7.030,3895,6.791
34,Croagunk,2.47465,3071,4.273,2511,4.378
35,Carvanha,2.42015,4987,6.939,3891,6.784
36,Pumpkaboo-Super,2.38818,1042,1.450,830,1.447
37,Scorbunny,2.24836,4760,6.623,3654,6.371
38,Torchic,2.21246,1521,2.116,1196,2.085
39,Magby,2.00642,2285,3.179,1747,3.046
40,Chinchou,1.99632,4217,5.868,3407,5.940
41,Amaura,1.94594,2770,3.854,2208,3.850
42,Corphish,1.82931,1941,2.701,1496,2.608
43,Elekid,1.66773,4367,6.076,3631,6.331
44,Cottonee,1.64912,3246,4.517,2674,4.662
45,Pumpkaboo-Small,1.45882,487,0.678,360,0.628
46,Charmander,1.43484,1659,2.308,1290,2.249
47,Axew,1.40509,2337,3.252,1768,3.083
48,Meowth,1.33461,3940,5.482,3401,5.930
49,Sinistea,1.19894,778,1.083,606,1.057
50,Stunky,1.14399,575,0.800,483,0.842
51,Shellder,1.11931,3456,4.809,2728,4.756
52,Trubbish,1.00174,652,0.907,543,0.947
53,Riolu,0.99384,1630,2.268,1324,2.308
54,Tirtouga,0.97590,1767,2.459,1376,2.399
55,Farfetch'd-Galar,0.97370,3675,5.114,2867,4.999
56,Machop,0.97087,732,1.019,584,1.018
57,Lileep,0.96881,1512,2.104,1236,2.155
58,Omanyte,0.92881,1810,2.519,1398,2.437
59,Sandshrew-Alola,0.91047,1463,2.036,1171,2.042
60,Growlithe,0.89978,2357,3.280,1984,3.459
61,Skorupi,0.81671,314,0.437,256,0.446
62,Zigzagoon,0.74220,1623,2.258,1262,2.200
63,Treecko,0.72508,1589,2.211,1173,2.045
64,Zubat,0.71669,334,0.465,282,0.492
65,Wynaut,0.71014,1020,1.419,827,1.442
66,Snover,0.63933,874,1.216,724,1.262
67,Mantyke,0.62027,1306,1.817,1063,1.853
68,Morelull,0.55457,768,1.069,635,1.107
69,Bronzor,0.52447,1659,2.308,1399,2.439
70,Litten,0.48553,1594,2.218,1362,2.375
71,Sandile,0.45010,1019,1.418,775,1.351
72,Tentacool,0.42108,1056,1.469,856,1.492
73,Phantump,0.40943,1223,1.702,933,1.627
74,Pumpkaboo,0.34872,145,0.202,120,0.209
75,Salandit,0.34649,1389,1.933,1061,1.850
76,Baltoy,0.33346,1132,1.575,944,1.646
77,Honedge,0.31257,1485,2.066,1211,2.111
78,Pancham,0.29976,554,0.771,425,0.741
79,Hippopotas,0.29634,1181,1.643,1027,1.791
80,Minccino,0.29090,1345,1.871,1035,1.805
81,Zorua,0.27765,2704,3.762,1422,2.479
82,Rowlet,0.27617,2190,3.047,1872,3.264
83,Diglett-Alola,0.26850,713,0.992,562,0.980
84,Wimpod,0.25243,174,0.242,151,0.263
85,Skrelp,0.25089,589,0.820,485,0.846
86,Golett,0.24587,696,0.968,551,0.961
87,Cubone,0.23584,976,1.358,771,1.344
88,Squirtle,0.22953,1770,2.463,1436,2.504
89,Cufant,0.22297,1086,1.511,837,1.459
90,Bunnelby,0.19376,1763,2.453,1369,2.387
91,Sizzlipede,0.18598,330,0.459,270,0.471
92,Budew,0.18126,308,0.429,251,0.438
93,Slowpoke-Galar,0.16307,216,0.301,173,0.302
94,Krabby,0.15934,2014,2.802,1534,2.675
95,Sandshrew,0.14741,277,0.385,235,0.410
96,Inkay,0.14250,1593,2.217,1302,2.270
97,Pumpkaboo-Large,0.14007,200,0.278,155,0.270
98,Darumaka,0.13932,1263,1.757,995,1.735
99,Mime-Jr.,0.13674,565,0.786,459,0.800
100,Eevee,0.12611,1090,1.517,865,1.508
101,Gossifleur,0.12593,383,0.533,307,0.535
102,Venipede,0.12335,411,0.572,376,0.656
103,Anorith,0.12223,1846,2.569,1485,2.589
104,Oddish,0.10783,573,0.797,476,0.830
105,Kabuto,0.08543,395,0.550,332,0.579
106,Grubbin,0.07799,474,0.660,446,0.778
107,Aron,0.07544,1855,2.581,1494,2.605
108,Remoraid,0.07093,158,0.220,121,0.211
109,Stufful,0.06854,303,0.422,241,0.420
110,Bulbasaur,0.06019,2320,3.228,1855,3.234
111,Wailmer,0.05806,863,1.201,676,1.179
112,Togepi,0.05764,591,0.822,472,0.823
113,Shellos,0.05761,473,0.658,376,0.656
114,Bergmite,0.05678,421,0.586,312,0.544
115,Smoochum,0.05418,178,0.248,131,0.228
116,Fletchling,0.05359,926,1.288,752,1.311
117,NidoranM,0.05179,140,0.195,107,0.187
118,Deino,0.05015,540,0.751,409,0.713
119,Fomantis,0.04772,891,1.240,636,1.109
120,Rolycoly,0.03925,191,0.266,154,0.269
121,Azurill,0.03868,1368,1.903,1065,1.857
122,Dratini,0.03756,862,1.199,674,1.175
123,Darumaka-Galar,0.03638,867,1.206,684,1.193
124,Bonsly,0.03492,422,0.587,357,0.622
125,Buneary,0.03262,2382,3.314,1943,3.388
126,Purrloin,0.03126,677,0.942,561,0.978
127,Lickitung,0.02943,1153,1.604,896,1.562
128,Clobbopus,0.02846,658,0.916,509,0.887
129,Bagon,0.02823,883,1.229,660,1.151
130,Cleffa,0.02599,424,0.590,336,0.586
131,Helioptile,0.02541,501,0.697,399,0.696
132,Solosis,0.02301,715,0.995,548,0.955
133,Larvitar,0.02145,492,0.685,378,0.659
134,Arrokuda,0.02078,977,1.359,756,1.318
135,Litwick,0.02071,937,1.304,744,1.297
136,Hatenna,0.02004,432,0.601,327,0.570
137,Yamask-Galar,0.01868,152,0.211,136,0.237
138,Duskull,0.01813,1517,2.111,1205,2.101
139,Elgyem,0.01720,382,0.532,319,0.556
140,Clauncher,0.01644,1013,1.410,815,1.421
141,Exeggcute,0.01630,391,0.544,284,0.495
142,Joltik,0.01585,491,0.683,391,0.682
143,Ralts,0.01580,277,0.385,222,0.387
144,Meowth-Alola,0.01532,471,0.655,387,0.675
145,Mudkip,0.01428,343,0.477,284,0.495
146,Wooloo,0.01336,144,0.200,123,0.214
147,Yamask,0.01098,334,0.465,275,0.479
148,Hoothoot,0.01078,170,0.237,137,0.239
149,Goldeen,0.01062,314,0.437,265,0.462
150,Gible,0.00908,880,1.224,716,1.248
151,Goomy,0.00743,452,0.629,365,0.636
152,Sandygast,0.00733,287,0.399,229,0.399
153,Rhyhorn,0.00713,246,0.342,199,0.347
154,Klink,0.00706,170,0.237,136,0.237
155,Cubchoo,0.00696,251,0.349,195,0.340
156,Wooper,0.00670,674,0.938,554,0.966
157,Espurr,0.00628,326,0.454,274,0.478
158,Shelmet,0.00614,197,0.274,166,0.289
159,Dreepy,0.00613,503,0.700,395,0.689
160,Popplio,0.00578,212,0.295,176,0.307
161,Happiny,0.00572,408,0.568,319,0.556
162,Barboach,0.00542,294,0.409,224,0.391
163,Meowth-Galar,0.00538,334,0.465,268,0.467
164,Horsea,0.00522,316,0.440,255,0.445
165,Poliwag,0.00484,228,0.317,179,0.312
166,Impidimp,0.00480,627,0.872,537,0.936
167,Silicobra,0.00474,195,0.271,151,0.263
168,Electrike,0.00451,385,0.536,313,0.546
169,Binacle,0.00424,514,0.715,381,0.664
170,Pichu,0.00413,370,0.515,309,0.539
171,Chewtle,0.00412,176,0.245,134,0.234
172,Zigzagoon-Galar,0.00363,87,0.121,72,0.126
173,Tyrogue,0.00230,136,0.189,107,0.187
174,Lotad,0.00229,326,0.454,268,0.467
175,Applin,0.00218,603,0.839,482,0.840
176,Sobble,0.00201,265,0.369,229,0.399
177,Jangmo-o,0.00187,263,0.366,206,0.359
178,Noibat,0.00176,381,0.530,322,0.561
179,Shinx,0.00164,298,0.415,241,0.420
