Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Heracross-Mega,21.04194,9258,9.813,4118,26.169
2,Venusaur-Mega,17.30443,12535,13.287,5030,31.965
3,Blissey,15.54814,6833,7.243,3236,20.564
4,Sableye-Mega,12.34143,8068,8.552,4518,28.711
5,Dragapult,10.17444,5850,6.201,2784,17.692
6,Type:-Null,9.21757,2696,2.858,1051,6.679
7,Necturna,8.96262,2890,3.063,2159,13.720
8,Dusclops,6.50125,4090,4.335,2952,18.760
9,Gengar-Mega,6.19446,5276,5.593,2219,14.101
10,Mew,4.75107,5903,6.257,2969,18.868
11,Glastrier,4.50198,2716,2.879,1528,9.710
12,Ampharos-Mega,4.23118,2758,2.923,1377,8.751
13,Garchomp,3.73560,2056,2.179,917,5.827
14,Snorlax,3.71939,2340,2.480,1054,6.698
15,Tyranitar,3.45541,1947,2.064,1152,7.321
16,Marshadow,3.21041,1189,1.260,617,3.921
17,Slowbro-Mega,3.18927,1757,1.862,822,5.224
18,Gallade-Mega,2.60564,3508,3.718,1646,10.460
19,Swampert,2.55941,1574,1.668,898,5.707
20,Alakazam-Mega,2.07754,4968,5.266,1792,11.388
21,Chromera,1.74233,2428,2.574,1077,6.844
22,Altaria-Mega,1.55962,1054,1.117,536,3.406
23,Aurumoth,1.42395,996,1.056,596,3.787
24,Regirock,1.32992,1526,1.618,593,3.768
25,Gardevoir-Mega,1.23659,2889,3.062,1931,12.271
26,Diancie,1.18606,517,0.548,226,1.436
27,Pikachu-Starter,1.17328,753,0.798,389,2.472
28,Chansey,1.05208,1875,1.987,931,5.916
29,Pajantom,1.02730,1111,1.178,506,3.216
30,Camerupt-Mega,1.01694,1181,1.252,771,4.900
31,Banette-Mega,1.00589,1330,1.410,785,4.989
32,Grimmsnarl,0.96920,966,1.024,547,3.476
33,Clefable,0.95432,2200,2.332,927,5.891
34,Moltres-Galar,0.94776,211,0.224,146,0.928
35,Abomasnow-Mega,0.86876,1627,1.725,667,4.239
36,Shuckle,0.82976,664,0.704,284,1.805
37,Landorus,0.78543,281,0.298,78,0.496
38,Pokestar-Giant,0.75606,719,0.762,329,2.091
39,Spectrier,0.75291,713,0.756,423,2.688
40,Miasmaw,0.73640,661,0.701,328,2.084
41,Guzzlord,0.73375,780,0.827,413,2.625
42,Dragonite,0.72564,1349,1.430,589,3.743
43,Zapdos-Galar,0.70502,433,0.459,238,1.512
44,Arghonaut,0.68162,682,0.723,442,2.809
45,Deoxys-Defense,0.67761,1272,1.348,734,4.664
46,Hydreigon,0.65620,873,0.925,512,3.254
47,Golurk,0.65309,151,0.160,89,0.566
48,Deoxys-Attack,0.63022,1975,2.093,1040,6.609
49,Manaphy,0.62351,660,0.700,394,2.504
50,Pokestar-UFO,0.62277,493,0.523,251,1.595
51,Houndoom-Mega,0.60846,244,0.259,160,1.017
52,Pokestar-Brycen-Man,0.55782,537,0.569,307,1.951
53,Landorus-Therian,0.55754,1167,1.237,653,4.150
54,Zarude,0.50927,297,0.315,138,0.877
55,Astrolotl,0.50618,1477,1.566,629,3.997
56,Munchlax,0.49831,182,0.193,125,0.794
57,Pokestar-Black-Belt,0.48888,504,0.534,179,1.138
58,Lopunny-Mega,0.48522,915,0.970,528,3.355
59,Plasmanta,0.48463,571,0.605,459,2.917
60,Greninja,0.48163,1963,2.081,864,5.491
61,Muk-Alola,0.47303,295,0.313,169,1.074
62,Runerigus,0.46443,212,0.225,116,0.737
63,Gliscor,0.45238,676,0.717,301,1.913
64,Salamence,0.44456,626,0.664,309,1.964
65,Victini,0.42673,354,0.375,235,1.493
66,Blacephalon,0.41373,574,0.608,265,1.684
67,Necrozma,0.40089,130,0.138,89,0.566
68,Volcanion,0.39504,408,0.432,198,1.258
69,Togekiss,0.37821,760,0.806,344,2.186
70,Smokomodo,0.36527,263,0.279,183,1.163
71,Tapu-Bulu,0.35788,161,0.171,104,0.661
72,Porygon2,0.35537,640,0.678,347,2.205
73,Uxie,0.34960,154,0.163,132,0.839
74,Cyclohm,0.34182,330,0.350,132,0.839
75,Pokestar-Humanoid,0.31030,372,0.394,118,0.750
76,Dhelmise,0.30233,260,0.276,152,0.966
77,Amoonguss,0.29534,177,0.188,41,0.261
78,Cinderace,0.29231,611,0.648,241,1.532
79,Aerodactyl-Mega,0.28345,514,0.545,314,1.995
80,Regice,0.25835,443,0.470,315,2.002
81,Zeraora,0.25676,1228,1.302,785,4.989
82,Araquanid,0.25123,23,0.024,18,0.114
83,Palossand,0.24292,251,0.266,183,1.163
84,Rampardos,0.24074,413,0.438,108,0.686
85,Kangaskhan-Mega,0.23796,338,0.358,220,1.398
86,Nidoking,0.23454,91,0.096,45,0.286
87,Staraptor,0.22872,97,0.103,41,0.261
88,Spiritomb,0.22852,1131,1.199,596,3.787
89,Umbreon,0.22661,385,0.408,253,1.608
90,Mollux,0.22151,80,0.085,57,0.362
91,Miltank,0.21655,367,0.389,139,0.883
92,Regieleki,0.21502,1246,1.321,558,3.546
93,Shaymin-Sky,0.21308,314,0.333,207,1.315
94,Dusknoir,0.21181,909,0.964,392,2.491
95,Pokestar-Black-Door,0.21051,420,0.445,255,1.620
96,Cramorant-Gulping,0.20636,73,0.077,34,0.216
97,Volkraken,0.20319,87,0.092,63,0.400
98,Cherrim,0.20278,159,0.169,25,0.159
99,Hoopa,0.20213,258,0.273,111,0.705
100,Drifblim,0.18960,343,0.364,167,1.061
101,Cramorant-Gorging,0.18627,462,0.490,223,1.417
102,Slowking-Galar,0.18398,121,0.128,63,0.400
103,Coalossal,0.18270,130,0.138,47,0.299
104,Urshifu-Rapid-Strike,0.17995,237,0.251,115,0.731
105,Sirfetch'd,0.17562,553,0.586,264,1.678
106,Celebi,0.17493,270,0.286,110,0.699
107,Drifloon,0.17461,8,0.008,1,0.006
108,Drapion,0.17352,192,0.204,100,0.635
109,Shaymin,0.16718,220,0.233,66,0.419
110,Caribolt,0.16400,496,0.526,298,1.894
111,Audino-Mega,0.15695,621,0.658,161,1.023
112,Absol-Mega,0.15022,811,0.860,402,2.555
113,Ivysaur,0.14741,36,0.038,6,0.038
114,Electabuzz,0.14346,20,0.021,14,0.089
115,Krilowatt,0.14098,246,0.261,127,0.807
116,Ditto,0.14062,210,0.223,126,0.801
117,Glalie-Mega,0.13857,272,0.288,50,0.318
118,Togetic,0.12909,52,0.055,27,0.172
119,Cresselia,0.12851,427,0.453,233,1.481
120,Rhyperior,0.12837,190,0.201,74,0.470
121,Fidgit,0.12120,247,0.262,172,1.093
122,Eevee-Starter,0.11691,452,0.479,150,0.953
123,Kerfluffle,0.11619,336,0.356,178,1.131
124,Pokestar-Monster,0.11513,350,0.371,227,1.443
125,Rhydon,0.11425,208,0.220,139,0.883
126,Zapdos,0.11396,358,0.379,199,1.265
127,Colossoil,0.11302,537,0.569,343,2.180
128,Serperior,0.11098,172,0.182,53,0.337
129,Breloom,0.11096,222,0.235,32,0.203
130,Xurkitree,0.11076,355,0.376,147,0.934
131,Alomomola,0.10902,133,0.141,117,0.744
132,Hatterene,0.10453,241,0.255,187,1.188
133,Lapras,0.10269,32,0.034,13,0.083
134,Pokestar-White-Door,0.10164,433,0.459,263,1.671
135,Haxorus,0.10125,153,0.162,79,0.502
136,Espeon,0.09800,344,0.365,117,0.744
137,Regidrago,0.09772,504,0.534,213,1.354
138,Corsola-Galar,0.09580,236,0.250,137,0.871
139,Pidgeot-Mega,0.09546,169,0.179,78,0.496
140,Zygarde,0.09397,437,0.463,159,1.010
141,Infernape,0.09162,268,0.284,146,0.928
142,Urshifu,0.08821,118,0.125,66,0.419
143,Charizard,0.08433,185,0.196,93,0.591
144,Gyarados,0.08298,295,0.313,140,0.890
145,Cosmoem,0.08231,56,0.059,22,0.140
146,Meloetta,0.07870,350,0.371,177,1.125
147,Cofagrigus,0.07831,277,0.294,75,0.477
148,Mimikyu,0.07693,364,0.386,254,1.614
149,Milotic,0.07561,126,0.134,88,0.559
150,Latios,0.07400,227,0.241,134,0.852
151,Jumbao,0.07267,214,0.227,90,0.572
152,Darmanitan-Galar,0.07084,406,0.430,212,1.347
153,Muk,0.07022,8,0.008,6,0.038
154,Sigilyph,0.06990,24,0.025,17,0.108
155,Darkrai,0.06918,555,0.588,293,1.862
156,Marowak-Alola,0.06289,203,0.215,115,0.731
157,Ludicolo,0.06278,368,0.390,54,0.343
158,Latias,0.06160,193,0.205,93,0.591
159,Voodoom,0.06072,99,0.105,53,0.337
160,Beedrill-Mega,0.05949,156,0.165,83,0.527
161,Toxapex,0.05847,337,0.357,169,1.074
162,Alcremie,0.05847,143,0.152,51,0.324
163,Wailord,0.05783,94,0.100,54,0.343
164,Avalugg,0.05721,90,0.095,72,0.458
165,Floatzel,0.05650,1,0.001,0,0.000
166,Mismagius,0.05080,19,0.020,16,0.102
167,Malaconda,0.05061,196,0.208,81,0.515
168,Pyukumuku,0.04887,130,0.138,67,0.426
169,Decidueye,0.04847,111,0.118,65,0.413
170,Pangoro,0.04836,46,0.049,21,0.133
171,Nidoqueen,0.04739,33,0.035,21,0.133
172,Eelektross,0.04633,145,0.154,78,0.496
173,Arcanine,0.04542,105,0.111,30,0.191
174,Drednaw,0.04445,9,0.010,9,0.057
175,Shedinja,0.04400,603,0.639,194,1.233
176,Octillery,0.04356,51,0.054,0,0.000
177,Incineroar,0.04312,210,0.223,135,0.858
178,Gengar,0.04206,418,0.443,248,1.576
179,Slowbro-Galar,0.04182,82,0.087,33,0.210
180,Mudsdale,0.04108,20,0.021,20,0.127
181,Buzzwole,0.04030,194,0.206,110,0.699
182,Politoed,0.03941,144,0.153,42,0.267
183,Mamoswine,0.03929,70,0.074,39,0.248
184,Inteleon,0.03605,250,0.265,64,0.407
185,Porygon-Z,0.03566,106,0.112,42,0.267
186,Gardevoir,0.03501,51,0.054,30,0.191
187,Tapu-Fini,0.03501,359,0.381,315,2.002
188,Silvally-Ghost,0.03321,111,0.118,61,0.388
189,Silvally,0.03308,15,0.016,10,0.064
190,Marshtomp,0.03265,83,0.088,7,0.044
191,Goodra,0.03194,167,0.177,51,0.324
192,Gallade,0.03122,21,0.022,3,0.019
193,Pokestar-UFO-2,0.03104,219,0.232,139,0.883
194,Heatmor,0.03083,12,0.013,8,0.051
195,Pinsir-Mega,0.03073,470,0.498,302,1.919
196,Wigglytuff,0.02969,48,0.051,30,0.191
197,Missingno.,0.02964,541,0.573,299,1.900
198,Seismitoad,0.02764,70,0.074,54,0.343
199,Diggersby,0.02658,56,0.059,1,0.006
200,Tapu-Koko,0.02644,152,0.161,88,0.559
201,Hippowdon,0.02629,298,0.316,145,0.921
202,Cleffa,0.02588,34,0.036,22,0.140
203,Pokestar-UFO-PropU2,0.02584,95,0.101,58,0.369
204,Revenankh,0.02347,164,0.174,61,0.388
205,Deoxys-Speed,0.02345,296,0.314,212,1.347
206,Granbull,0.02335,57,0.060,55,0.350
207,Glaceon,0.02322,41,0.043,32,0.203
208,Blaziken,0.02268,154,0.163,90,0.572
209,Skuntank,0.02268,41,0.043,17,0.108
210,Minior,0.02244,28,0.030,12,0.076
211,Keldeo,0.02228,173,0.183,96,0.610
212,Crabominable,0.02136,41,0.043,24,0.153
213,Kingler,0.02136,58,0.061,19,0.121
214,Volcarona,0.02085,285,0.302,234,1.487
215,Diglett,0.01995,27,0.029,13,0.083
216,Tornadus-Therian,0.01971,128,0.136,73,0.464
217,Cloyster,0.01842,39,0.041,12,0.076
218,Thundurus-Therian,0.01828,102,0.108,64,0.407
219,Gourgeist-Super,0.01826,106,0.112,84,0.534
220,Pyroak,0.01753,153,0.162,108,0.686
221,Syclant,0.01688,141,0.149,58,0.369
222,Flarelm,0.01649,17,0.018,17,0.108
223,Flygon,0.01538,91,0.096,32,0.203
224,Thundurus,0.01519,156,0.165,29,0.184
225,Farfetch'd-Galar,0.01474,25,0.026,11,0.070
226,Raikou,0.01442,38,0.040,32,0.203
227,Mandibuzz,0.01428,169,0.179,57,0.362
228,Furret,0.01424,107,0.113,86,0.547
229,Manectric-Mega,0.01372,102,0.108,56,0.356
230,Slowking,0.01354,76,0.081,51,0.324
231,Chandelure,0.01279,349,0.370,185,1.176
232,Sharpedo-Mega,0.01188,206,0.218,163,1.036
233,Deoxys,0.01181,137,0.145,47,0.299
234,Kommo-o,0.01130,136,0.144,69,0.438
235,Bidoof,0.01129,160,0.170,71,0.451
236,Slowbro,0.01082,61,0.065,44,0.280
237,Froslass,0.01081,78,0.083,55,0.350
238,Darmanitan,0.01075,214,0.227,35,0.222
239,Sawsbuck,0.01062,6,0.006,2,0.013
240,Pheromosa,0.01035,177,0.188,107,0.680
241,Jellicent,0.01024,103,0.109,54,0.343
242,Toxtricity,0.00964,26,0.028,16,0.102
243,Stratagem,0.00923,85,0.090,55,0.350
244,Cursola,0.00913,66,0.070,40,0.254
245,Delphox,0.00888,26,0.028,12,0.076
246,Oranguru,0.00887,19,0.020,6,0.038
247,Pikachu,0.00881,293,0.311,124,0.788
248,Flareon,0.00880,142,0.151,25,0.159
249,Hypno,0.00875,98,0.104,28,0.178
250,Pokestar-Smeargle,0.00874,23,0.024,12,0.076
251,Armaldo,0.00872,32,0.034,6,0.038
252,Oricorio-Sensu,0.00860,139,0.147,33,0.210
253,Sableye,0.00831,136,0.144,69,0.438
254,Calyrex,0.00809,32,0.034,15,0.095
255,Rotom-Wash,0.00794,55,0.058,41,0.261
256,Feebas,0.00772,47,0.050,41,0.261
257,Gastrodon,0.00762,93,0.099,45,0.286
258,Gligar,0.00759,24,0.025,22,0.140
259,Clefairy,0.00757,141,0.149,79,0.502
260,Glalie,0.00755,9,0.010,1,0.006
261,Voodoll,0.00747,5,0.005,0,0.000
262,Krookodile,0.00736,86,0.091,43,0.273
263,Magikarp,0.00726,113,0.120,51,0.324
264,Cradily,0.00714,224,0.237,216,1.373
265,Raboot,0.00708,8,0.008,4,0.025
266,Croconaw,0.00702,2,0.002,1,0.006
267,Haunter,0.00702,15,0.016,11,0.070
268,Wishiwashi-School,0.00677,525,0.556,130,0.826
269,Rapidash-Galar,0.00672,31,0.033,15,0.095
270,Mr.-Mime-Galar,0.00672,165,0.175,157,0.998
271,Azelf,0.00653,110,0.117,79,0.502
272,Dracovish,0.00609,109,0.116,50,0.318
273,Appletun,0.00605,24,0.025,16,0.102
274,Flapple,0.00605,15,0.016,1,0.006
275,Silvally-Electric,0.00604,6,0.006,4,0.025
276,Golem-Alola,0.00604,22,0.023,2,0.013
277,Sunkern,0.00582,149,0.158,136,0.864
278,Ursaring,0.00574,63,0.067,47,0.299
