Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Excadrill,18.56858,44795,11.077,32265,10.600
2,Aegislash,18.03139,44253,10.943,33155,10.892
3,Ferrothorn,16.05190,31368,7.757,26121,8.581
4,Landorus-Therian,15.62677,33777,8.352,27473,9.026
5,Heatran,14.93655,42998,10.632,33729,11.081
6,Celesteela,13.44189,30869,7.633,25465,8.366
7,Toxapex,11.73396,31291,7.738,24841,8.161
8,Dragonite,11.53683,27515,6.804,19156,6.293
9,Tapu-Koko,11.20343,27523,6.806,22901,7.524
10,Dragapult,11.03151,40762,10.079,28870,9.485
11,Zapdos,10.80848,21171,5.235,16472,5.411
12,Nidoking,10.26929,21393,5.290,15677,5.150
13,Moltres-Galar,9.22368,17454,4.316,12675,4.164
14,Rotom-Wash,9.09711,24006,5.936,19583,6.433
15,Slowking-Galar,8.95977,16261,4.021,12614,4.144
16,Magnezone,8.55264,16535,4.089,11971,3.933
17,Corviknight,8.27145,23634,5.844,17690,5.812
18,Zeraora,8.26592,18182,4.496,13751,4.518
19,Tapu-Lele,7.99857,17656,4.366,13206,4.338
20,Garchomp,7.81176,26719,6.607,20103,6.604
21,Mimikyu,7.74381,33251,8.222,23517,7.726
22,Amoonguss,7.42968,12314,3.045,9417,3.094
23,Zarude,7.41185,10541,2.607,7438,2.444
24,Melmetal,7.38211,19367,4.789,14972,4.919
25,Regieleki,7.10572,13894,3.436,10399,3.416
26,Hydreigon,7.10457,29279,7.240,21117,6.937
27,Thundurus-Therian,6.73460,17281,4.273,12770,4.195
28,Zapdos-Galar,6.44618,16290,4.028,11647,3.826
29,Kyurem,6.32343,21458,5.306,15422,5.067
30,Cradily,6.27211,11718,2.898,9276,3.047
31,Victini,6.25062,17105,4.230,12559,4.126
32,Rillaboom,6.20355,10817,2.675,8010,2.631
33,Slowbro,6.04694,11275,2.788,8561,2.812
34,Gengar,5.98187,25885,6.401,17865,5.869
35,Mamoswine,5.96773,18903,4.674,13682,4.495
36,Drapion,5.87273,15806,3.908,12028,3.951
37,Weezing-Galar,5.66952,13326,3.295,10284,3.379
38,Urshifu-Rapid-Strike,5.65427,26376,6.522,19964,6.559
39,Bisharp,5.62201,25925,6.411,18246,5.994
40,Skarmory,5.49791,12370,3.059,10472,3.440
41,Klefki,5.46414,10409,2.574,9105,2.991
42,Jirachi,5.46040,13844,3.423,10124,3.326
43,Swampert,5.45193,19665,4.863,15662,5.145
44,Seismitoad,5.45165,16115,3.985,12663,4.160
45,Pelipper,5.40342,26619,6.582,23247,7.637
46,Spectrier,5.32089,9601,2.374,7015,2.305
47,Tapu-Fini,5.18874,16698,4.129,12974,4.262
48,Celebi,5.06908,3882,0.960,2821,0.927
49,Weavile,4.96594,26305,6.505,18799,6.176
50,Whimsicott,4.95808,8115,2.007,6226,2.045
51,Hippowdon,4.68698,15213,3.762,13401,4.403
52,Latias,4.47566,8444,2.088,5902,1.939
53,Ninetales-Alola,4.43390,22369,5.531,18622,6.118
54,Corsola-Galar,4.18818,12664,3.132,10886,3.576
55,Tapu-Bulu,4.16714,7942,1.964,5600,1.840
56,Azumarill,4.05332,13702,3.388,9999,3.285
57,Mantine,3.88521,7162,1.771,5596,1.838
58,Latios,3.80034,10177,2.517,7115,2.337
59,Mew,3.64080,6085,1.505,4768,1.566
60,Tyranitar,3.56781,22230,5.497,17370,5.706
61,Blacephalon,3.49445,17862,4.417,12667,4.161
62,Volcarona,3.34564,33296,8.233,23461,7.708
63,Clefable,3.28980,8121,2.008,6000,1.971
64,Dragalge,3.11900,7906,1.955,6040,1.984
65,Tornadus-Therian,3.07333,4448,1.100,3168,1.041
66,Volcanion,3.03799,13827,3.419,10264,3.372
67,Grimmsnarl,2.85833,17993,4.449,14740,4.842
68,Cloyster,2.85264,18333,4.533,13396,4.401
69,Barraskewda,2.84566,11287,2.791,8208,2.697
70,Togekiss,2.83456,14265,3.527,9924,3.260
71,Scizor,2.83335,34367,8.498,24417,8.022
72,Hatterene,2.80535,8874,2.194,6751,2.218
73,Crobat,2.55501,9409,2.327,7114,2.337
74,Darmanitan-Galar,2.47642,13732,3.396,10041,3.299
75,Kingdra,2.45049,14467,3.577,11305,3.714
76,Hawlucha,2.38881,10858,2.685,7504,2.465
77,Slowking,2.37189,6535,1.616,4892,1.607
78,Nihilego,2.36274,15072,3.727,11016,3.619
79,Gastrodon,2.35043,10552,2.609,8085,2.656
80,Raichu-Alola,1.98146,12437,3.075,8933,2.935
81,Skuntank,1.96608,3085,0.763,2162,0.710
82,Buzzwole,1.96189,15195,3.757,11017,3.619
83,Cinderace,1.90919,13021,3.220,9595,3.152
84,Crawdaunt,1.85575,8378,2.072,6261,2.057
85,Duraludon,1.83645,8103,2.004,6277,2.062
86,Avalugg,1.79163,7825,1.935,6015,1.976
87,Torkoal,1.74895,12005,2.969,10896,3.580
88,Arctozolt,1.74597,6820,1.686,5107,1.678
89,Krookodile,1.62501,13676,3.382,10458,3.436
90,Mandibuzz,1.60646,17609,4.354,13357,4.388
91,Araquanid,1.59302,14141,3.497,11698,3.843
92,Indeedee,1.56733,11684,2.889,8683,2.853
93,Diggersby,1.56318,10602,2.622,8007,2.630
94,Kommo-o,1.54243,12410,3.069,8927,2.933
95,Terrakion,1.52239,11634,2.877,8112,2.665
96,Bewear,1.41540,8440,2.087,6585,2.163
97,Toxtricity,1.35759,6349,1.570,4523,1.486
98,Keldeo,1.35691,9577,2.368,6641,2.182
99,Shuckle,1.35018,10591,2.619,9794,3.218
100,Aerodactyl,1.33381,5902,1.459,4669,1.534
101,Moltres,1.26853,5063,1.252,3662,1.203
102,Alakazam,1.21263,5293,1.309,3650,1.199
103,Froslass,1.20548,9542,2.360,7842,2.576
104,Braviary,1.20504,6384,1.579,4786,1.572
105,Zygarde-10,1.20010,3160,0.781,2268,0.745
106,Ditto,1.18459,10038,2.482,7543,2.478
107,Azelf,1.15517,1446,0.358,1281,0.421
108,Stakataka,1.12902,6884,1.702,5079,1.669
109,Blissey,1.12710,7783,1.925,6059,1.991
110,Steelix,1.09400,2655,0.657,2022,0.664
111,Galvantula,1.08769,18657,4.613,15213,4.998
112,Rotom-Heat,1.08631,10438,2.581,8205,2.696
113,Golbat,0.96233,788,0.195,631,0.207
114,Incineroar,0.95725,11236,2.778,9027,2.966
115,Rotom-Mow,0.93932,5624,1.391,4393,1.443
116,Piloswine,0.93859,4004,0.990,3301,1.084
117,Rhyperior,0.92532,6207,1.535,4559,1.498
118,Sandslash-Alola,0.91021,5371,1.328,3881,1.275
119,Cobalion,0.90360,6946,1.718,5813,1.910
120,Golisopod,0.89316,9675,2.392,7372,2.422
121,Aurorus,0.87700,2671,0.660,2131,0.700
122,Heracross,0.86793,11665,2.884,8055,2.646
123,Archeops,0.81924,2860,0.707,2323,0.763
124,Porygon2,0.79269,7106,1.757,5766,1.894
125,Ribombee,0.78419,7586,1.876,5780,1.899
126,Registeel,0.77857,1282,0.317,989,0.325
127,Diancie,0.76882,6161,1.523,4609,1.514
128,Heliolisk,0.73509,6956,1.720,5112,1.679
129,Bronzong,0.71152,4291,1.061,3602,1.183
130,Venusaur,0.70232,6903,1.707,5028,1.652
131,Lucario,0.65709,7765,1.920,5378,1.767
132,Necrozma,0.65299,929,0.230,716,0.235
133,Marowak-Alola,0.64286,5946,1.470,4286,1.408
134,Dracozolt,0.63601,7925,1.960,5789,1.902
135,Primarina,0.61478,6085,1.505,4113,1.351
136,Golurk,0.58668,4505,1.114,3400,1.117
137,Polteageist,0.57671,8458,2.091,6145,2.019
138,Glastrier,0.54013,2583,0.639,1837,0.603
139,Scolipede,0.52644,14230,3.519,10048,3.301
140,Chansey,0.51269,4287,1.060,3443,1.131
141,Lanturn,0.50722,4374,1.082,3359,1.104
142,Lapras,0.49837,2819,0.697,2033,0.668
143,Tyrantrum,0.48978,2955,0.731,2099,0.690
144,Coalossal,0.46989,3779,0.934,2829,0.929
145,Gyarados,0.46018,11743,2.904,8255,2.712
146,Slurpuff,0.45994,2684,0.664,1908,0.627
147,Suicune,0.45791,1311,0.324,966,0.317
148,Salamence,0.45571,7667,1.896,5254,1.726
149,Omastar,0.45175,3965,0.980,2965,0.974
150,Comfey,0.44232,1520,0.376,1008,0.331
151,Goodra,0.43485,4105,1.015,2892,0.950
152,Conkeldurr,0.42590,4275,1.057,3162,1.039
153,Articuno-Galar,0.39844,1689,0.418,1243,0.408
154,Vikavolt,0.39593,4574,1.131,3661,1.203
155,Salazzle,0.37489,8772,2.169,6437,2.115
156,Malamar,0.37272,4967,1.228,3890,1.278
157,Runerigus,0.36915,4183,1.034,3579,1.176
158,Xurkitree,0.35883,3387,0.838,2490,0.818
159,Quagsire,0.35328,4421,1.093,3295,1.082
160,Toxicroak,0.34741,5945,1.470,4351,1.429
161,Lycanroc-Dusk,0.32442,3500,0.865,2547,0.837
162,Scrafty,0.31704,4629,1.145,3498,1.149
163,Sableye,0.31487,7354,1.818,5797,1.904
164,Gardevoir,0.29115,6571,1.625,4288,1.409
165,Orbeetle,0.28937,2466,0.610,1951,0.641
166,Xatu,0.28210,1993,0.493,1580,0.519
167,Darmanitan,0.27966,4233,1.047,3016,0.991
168,Politoed,0.27790,8215,2.031,7098,2.332
169,Tentacruel,0.27767,5780,1.429,4647,1.527
170,Metagross,0.27520,9932,2.456,7251,2.382
171,Gallade,0.27229,5155,1.275,3760,1.235
172,Obstagoon,0.26766,8909,2.203,6736,2.213
173,Haxorus,0.25808,2985,0.738,2023,0.665
174,Rotom-Frost,0.25467,1613,0.399,1235,0.406
175,Cursola,0.24466,2070,0.512,1593,0.523
176,Chandelure,0.23695,7357,1.819,5286,1.737
177,Starmie,0.23381,2829,0.700,1981,0.651
178,Charizard,0.23188,5828,1.441,4232,1.390
179,Weezing,0.22509,1026,0.254,860,0.283
180,Regidrago,0.22279,1574,0.389,1159,0.381
181,Jellicent,0.21897,4849,1.199,3590,1.179
182,Armaldo,0.21131,4475,1.107,3503,1.151
183,Meowstic,0.19995,921,0.228,792,0.260
184,Gloom,0.19922,67,0.017,57,0.019
185,Virizion,0.19861,2657,0.657,1839,0.604
186,Sharpedo,0.19762,3844,0.951,2797,0.919
187,Pangoro,0.19732,2779,0.687,2060,0.677
188,Frosmoth,0.19451,5659,1.399,3721,1.222
189,Shedinja,0.17749,3873,0.958,2522,0.829
190,Ludicolo,0.17731,5334,1.319,3912,1.285
191,Sandaconda,0.17730,1011,0.250,779,0.256
192,Snorlax,0.17723,6077,1.503,4675,1.536
193,Articuno,0.17194,2446,0.605,1781,0.585
194,Cofagrigus,0.15877,1956,0.484,1674,0.550
195,Porygon-Z,0.15812,5073,1.254,3850,1.265
196,Arctovish,0.15529,2873,0.710,2184,0.717
197,Aggron,0.14631,2433,0.602,1832,0.602
198,Dhelmise,0.14550,3956,0.978,2936,0.965
199,Raikou,0.14416,904,0.224,693,0.228
200,Thundurus,0.14080,2662,0.658,2047,0.672
201,Reuniclus,0.13389,1798,0.445,1281,0.421
202,Exeggutor-Alola,0.13323,1889,0.467,1343,0.441
203,Blastoise,0.12946,1405,0.347,974,0.320
204,Durant,0.12807,4580,1.133,3253,1.069
205,Slowbro-Galar,0.12672,2661,0.658,2020,0.664
206,Vaporeon,0.12617,1303,0.322,903,0.297
207,Espeon,0.12094,2751,0.680,2044,0.672
208,Pincurchin,0.11579,2486,0.615,2187,0.718
209,Doublade,0.11162,1675,0.414,1286,0.422
210,Barbaracle,0.10955,1855,0.459,1348,0.443
211,Kabutops,0.10796,1376,0.340,1027,0.337
212,Roserade,0.10672,3150,0.779,2260,0.742
213,Drifblim,0.10643,2141,0.529,1543,0.507
214,Decidueye,0.10389,3510,0.868,2514,0.826
215,Umbreon,0.09931,4307,1.065,3157,1.037
216,Tangrowth,0.09891,1668,0.412,1190,0.391
217,Crustle,0.09708,3391,0.839,2492,0.819
218,Cresselia,0.09519,788,0.195,541,0.178
219,Palossand,0.08441,2299,0.568,1800,0.591
220,Rapidash-Galar,0.08325,1897,0.469,1240,0.407
221,Noivern,0.08187,2526,0.625,1795,0.590
222,Hitmonlee,0.08034,1394,0.345,933,0.307
223,Appletun,0.08026,2079,0.514,1535,0.504
224,Exploud,0.07816,2516,0.622,1953,0.642
225,Mr.-Rime,0.07347,1336,0.330,862,0.283
226,Noctowl,0.07261,511,0.126,360,0.118
227,Druddigon,0.07244,1093,0.270,971,0.319
228,Lycanroc,0.07207,1052,0.260,757,0.249
229,Mudsdale,0.07075,585,0.145,457,0.150
230,Machamp,0.06983,2407,0.595,1945,0.639
231,Aron,0.06314,361,0.089,271,0.089
232,Shiftry,0.06106,998,0.247,730,0.240
233,Butterfree,0.05944,2121,0.524,1578,0.518
234,Zoroark,0.05940,3186,0.788,1167,0.383
235,Flygon,0.05937,2369,0.586,1694,0.557
236,Dugtrio,0.05655,1291,0.319,964,0.317
237,Sceptile,0.05603,2467,0.610,1599,0.525
238,Spiritomb,0.05271,2264,0.560,1797,0.590
239,Nidoqueen,0.05140,2228,0.551,1752,0.576
240,Togedemaru,0.04838,2226,0.550,1751,0.575
241,Qwilfish,0.04767,834,0.206,672,0.221
242,Gourgeist-Super,0.04715,1300,0.321,1024,0.336
243,Miltank,0.04690,2242,0.554,1792,0.589
244,Morpeko,0.04591,3303,0.817,2549,0.837
245,Milotic,0.04541,1670,0.413,1167,0.383
246,Centiskorch,0.04336,3530,0.873,2592,0.852
247,Scyther,0.04254,2938,0.726,1969,0.647
248,Mienshao,0.04231,1508,0.373,1159,0.381
249,Ninetales,0.04214,3636,0.899,2856,0.938
250,Entei,0.03933,925,0.229,661,0.217
251,Type:-Null,0.03832,382,0.094,301,0.099
252,Sylveon,0.03787,2766,0.684,1806,0.593
253,Indeedee-F,0.03713,1913,0.473,1466,0.482
254,Gigalith,0.03692,1640,0.406,1364,0.448
255,Abomasnow,0.03602,3473,0.859,2678,0.880
256,Inteleon,0.03507,1827,0.452,1362,0.447
257,Walrein,0.03491,1473,0.364,1073,0.353
258,Ninjask,0.03475,2915,0.721,1881,0.618
259,Tauros,0.03461,2372,0.587,1773,0.582
260,Stunfisk,0.03445,1601,0.396,1385,0.455
261,Talonflame,0.03407,3352,0.829,2458,0.808
262,Solrock,0.03288,381,0.094,298,0.098
263,Dubwool,0.03203,1733,0.429,1362,0.447
264,Vileplume,0.03175,2076,0.513,1452,0.477
265,Turtonator,0.03111,2153,0.532,1636,0.537
266,Falinks,0.03097,589,0.146,423,0.139
267,Carracosta,0.03041,665,0.164,507,0.167
268,Regirock,0.02982,671,0.166,529,0.174
269,Hitmontop,0.02937,1575,0.389,1240,0.407
270,Liepard,0.02903,906,0.224,716,0.235
271,Electivire,0.02878,1507,0.373,1109,0.364
272,Sawk,0.02696,567,0.140,400,0.131
273,Regice,0.02693,1689,0.418,1213,0.399
274,Accelgor,0.02644,1328,0.328,1018,0.334
275,Glaceon,0.02617,1233,0.305,835,0.274
276,Drampa,0.02523,1647,0.407,1202,0.395
277,Claydol,0.02433,2095,0.518,1613,0.530
278,Poliwrath,0.02387,935,0.231,704,0.231
279,Vanilluxe,0.02378,2398,0.593,2000,0.657
280,Munchlax,0.02321,116,0.029,88,0.029
281,Cinccino,0.02319,3483,0.861,2661,0.874
282,Cramorant,0.02308,676,0.167,511,0.168
283,Drednaw,0.02183,700,0.173,464,0.152
284,Mawile,0.02095,1082,0.268,825,0.271
285,Arcanine,0.02087,2767,0.684,2069,0.680
286,Wigglytuff,0.01971,993,0.246,805,0.264
287,Kangaskhan,0.01826,529,0.131,406,0.133
288,Eiscue,0.01758,2144,0.530,1461,0.480
289,Absol,0.01670,781,0.193,585,0.192
290,Pyukumuku,0.01620,908,0.225,702,0.231
291,Clawitzer,0.01540,806,0.199,610,0.200
292,Luxray,0.01519,927,0.229,700,0.230
293,Sirfetch'd,0.01508,1289,0.319,938,0.308
294,Linoone,0.01471,2240,0.554,1678,0.551
295,Sigilyph,0.01440,2036,0.503,1517,0.498
296,Unfezant,0.01421,790,0.195,566,0.186
297,Dusknoir,0.01411,1010,0.250,800,0.263
298,Pikachu,0.01398,644,0.159,501,0.165
299,Delibird,0.01303,208,0.051,169,0.056
300,Regigigas,0.01275,780,0.193,613,0.201
301,Dedenne,0.01269,888,0.220,685,0.225
302,Flareon,0.01150,764,0.189,528,0.173
303,Mr.-Mime-Galar,0.01141,554,0.137,384,0.126
304,Escavalier,0.01117,1129,0.279,808,0.265
305,Lopunny,0.01101,915,0.226,741,0.243
306,Dusclops,0.01062,1504,0.372,1189,0.391
307,Octillery,0.01056,305,0.075,250,0.082
308,Trevenant,0.00974,1567,0.387,1130,0.371
309,Rotom,0.00973,860,0.213,651,0.214
310,Kingler,0.00873,616,0.152,414,0.136
311,Magikarp,0.00843,25,0.006,25,0.008
312,Garbodor,0.00842,392,0.097,323,0.106
313,Seaking,0.00677,345,0.085,243,0.080
314,Emolga,0.00666,1142,0.282,832,0.273
315,Carbink,0.00663,638,0.158,549,0.180
316,Jolteon,0.00642,627,0.155,451,0.148
317,Mr.-Mime,0.00624,339,0.084,253,0.083
318,Lileep,0.00620,29,0.007,20,0.007
319,Cryogonal,0.00616,662,0.164,449,0.148
320,Lilligant,0.00605,483,0.119,372,0.122
321,Persian-Alola,0.00593,323,0.080,270,0.089
322,Oranguru,0.00591,543,0.134,425,0.140
323,Swoobat,0.00587,630,0.156,467,0.153
324,Silvally-Poison,0.00573,200,0.049,144,0.047
325,Shiinotic,0.00518,518,0.128,376,0.124
326,Silvally-Ghost,0.00510,617,0.153,445,0.146
327,Combee,0.00508,70,0.017,52,0.017
328,Rhydon,0.00480,364,0.090,285,0.094
329,Magneton,0.00473,376,0.093,271,0.089
330,Thievul,0.00464,324,0.080,238,0.078
331,Copperajah,0.00456,366,0.091,246,0.081
332,Guzzlord,0.00422,586,0.145,435,0.143
333,Tsareena,0.00401,1013,0.250,710,0.233
334,Relicanth,0.00398,338,0.084,239,0.079
335,Palpitoad,0.00391,94,0.023,90,0.030
336,Marshtomp,0.00384,89,0.022,68,0.022
337,Silvally-Bug,0.00369,342,0.085,246,0.081
338,Jynx,0.00357,585,0.145,408,0.134
339,Whiscash,0.00351,505,0.125,370,0.122
340,Rotom-Fan,0.00331,314,0.078,235,0.077
341,Dugtrio-Alola,0.00328,534,0.132,389,0.128
342,Raichu,0.00327,137,0.034,108,0.035
343,Beartic,0.00321,739,0.183,496,0.163
344,Tornadus,0.00321,168,0.042,117,0.038
345,Vespiquen,0.00311,638,0.158,398,0.131
346,Silvally-Dragon,0.00299,225,0.056,192,0.063
347,Audino,0.00298,324,0.080,270,0.089
348,Basculin,0.00282,102,0.025,77,0.025
349,Corsola,0.00281,321,0.079,258,0.085
350,Exeggutor,0.00279,717,0.177,461,0.151
351,Altaria,0.00268,676,0.167,478,0.157
352,Silvally,0.00254,789,0.195,588,0.193
353,Hitmonchan,0.00249,1138,0.281,708,0.233
354,Rapidash,0.00243,169,0.042,133,0.044
355,Sudowoodo,0.00243,185,0.046,148,0.049
356,Jigglypuff,0.00222,10,0.002,8,0.003
357,Uxie,0.00210,378,0.093,331,0.109
358,Alcremie,0.00188,393,0.097,263,0.086
359,Clefairy,0.00185,62,0.015,40,0.013
360,Silvally-Dark,0.00178,237,0.059,182,0.060
361,Lurantis,0.00177,809,0.200,562,0.185
362,Gurdurr,0.00173,233,0.058,194,0.064
363,Lunatone,0.00165,603,0.149,466,0.153
364,Combusken,0.00154,361,0.089,289,0.095
365,Togetic,0.00150,133,0.033,89,0.029
366,Wooper,0.00146,62,0.015,49,0.016
367,Throh,0.00142,204,0.050,152,0.050
368,Dartrix,0.00142,65,0.016,37,0.012
369,Pinsir,0.00130,428,0.106,321,0.105
370,Eldegoss,0.00128,578,0.143,434,0.143
371,Silvally-Fighting,0.00119,292,0.072,226,0.074
372,Lycanroc-Midnight,0.00114,211,0.052,130,0.043
373,Boltund,0.00113,532,0.132,386,0.127
374,Perrserker,0.00109,191,0.047,134,0.044
375,Magmortar,0.00102,373,0.092,282,0.093
376,Silvally-Rock,0.00100,79,0.020,57,0.019
377,Manectric,0.00100,179,0.044,119,0.039
378,Leafeon,0.00098,602,0.149,425,0.140
379,Persian,0.00095,530,0.131,445,0.146
380,Klinklang,0.00088,337,0.083,242,0.080
381,Flapple,0.00087,660,0.163,443,0.146
382,Grapploct,0.00083,471,0.116,380,0.125
383,Magnemite,0.00080,115,0.028,80,0.026
384,Silvally-Steel,0.00078,251,0.062,191,0.063
385,Gourgeist-Large,0.00076,54,0.013,42,0.014
386,Silvally-Psychic,0.00075,69,0.017,54,0.018
387,Silvally-Ice,0.00073,206,0.051,140,0.046
388,Haunter,0.00069,325,0.080,248,0.081
389,Silvally-Fairy,0.00069,571,0.141,403,0.132
390,Stunfisk-Galar,0.00067,101,0.025,71,0.023
391,Gabite,0.00057,56,0.014,50,0.016
392,Gible,0.00057,13,0.003,12,0.004
393,Marowak,0.00049,95,0.023,68,0.022
394,Bouffalant,0.00047,538,0.133,410,0.135
395,Silvally-Electric,0.00040,342,0.085,238,0.078
396,Stoutland,0.00038,474,0.117,378,0.124
397,Wailord,0.00037,218,0.054,175,0.057
398,Dottler,0.00036,39,0.010,28,0.009
