Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rayquaza,53.23456,119000,11.323,73983,11.525
2,Yveltal,50.48478,81910,7.794,55647,8.669
3,Groudon-Primal,46.35712,118579,11.283,81990,12.772
4,Zacian-Crowned,44.53385,152211,14.483,96604,15.049
5,Ditto,35.18151,117143,11.146,63758,9.932
6,Necrozma-Dusk-Mane,35.05026,68324,6.501,45467,7.083
7,Calyrex-Shadow,33.38199,114648,10.909,75082,11.696
8,Xerneas,20.20389,63316,6.025,38596,6.013
9,Arceus-Ground,20.08418,17055,1.623,12363,1.926
10,Marshadow,17.86865,105071,9.997,67536,10.521
11,Ho-Oh,14.99006,27812,2.646,19939,3.106
12,Arceus,14.44996,39240,3.734,25307,3.942
13,Smeargle,13.41713,87038,8.282,60501,9.425
14,Kyogre-Primal,11.38314,61715,5.872,37170,5.790
15,Arceus-Dark,10.03836,8886,0.846,5893,0.918
16,Zygarde,9.94164,31116,2.961,20534,3.199
17,Arceus-Fairy,8.48146,11616,1.105,7652,1.192
18,Lugia,5.73404,32234,3.067,20103,3.132
19,Zekrom,5.68210,10519,1.001,6641,1.035
20,Arceus-Water,5.65847,9259,0.881,6507,1.014
21,Kyogre,5.45329,21533,2.049,13857,2.159
22,Tyranitar,5.40120,25080,2.386,17073,2.660
23,Chansey,4.85052,20063,1.909,12287,1.914
24,Arceus-Steel,4.42130,4934,0.469,3240,0.505
25,Quagsire,4.02784,21463,2.042,14148,2.204
26,Eternatus,3.98802,22041,2.097,13395,2.087
27,Deoxys-Speed,3.97470,24571,2.338,21167,3.297
28,Excadrill,3.60381,28102,2.674,19941,3.106
29,Ferrothorn,3.06313,37452,3.564,27893,4.345
30,Grimmsnarl,3.03052,21453,2.041,16505,2.571
31,Calyrex-Ice,3.00995,15657,1.490,9737,1.517
32,Giratina,2.84936,6881,0.655,4390,0.684
33,Deoxys-Attack,2.29579,20829,1.982,12845,2.001
34,Diancie-Mega,2.17242,18422,1.753,13550,2.111
35,Shuckle,2.14112,55063,5.239,46074,7.177
36,Gengar-Mega,2.12734,37962,3.612,26010,4.052
