Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Bronzong,25.39421,19377,21.044,17079,23.022
2,Talonflame,22.29015,15915,17.284,12868,17.345
3,Xatu,22.02388,9790,10.632,7858,10.592
4,Sylveon,21.91742,14866,16.145,11426,15.402
5,Rotom-Mow,21.55736,19076,20.717,16220,21.864
6,Vaporeon,18.36799,12030,13.065,9743,13.133
7,Diancie,18.12758,13400,14.553,11346,15.294
8,Mudsdale,17.91104,13126,14.255,11292,15.221
9,Guzzlord,16.80246,7042,7.648,5997,8.084
10,Garbodor,16.26308,5596,6.077,4819,6.496
11,Drapion,14.87323,12905,14.015,10788,14.542
12,Decidueye,14.57567,9375,10.181,7624,10.277
13,Copperajah,14.37366,10891,11.828,9221,12.429
14,Arcanine,11.33350,16095,17.479,13330,17.968
15,Sirfetch'd,10.61463,10643,11.558,8367,11.278
16,Tauros,10.16352,6537,7.099,4908,6.616
17,Starmie,10.01098,13099,14.226,10273,13.847
18,Mantine,9.73298,7413,8.051,5978,8.058
19,Heliolisk,9.49251,8770,9.524,7245,9.766
20,Quagsire,9.33921,3384,3.675,2795,3.768
21,Toxicroak,9.30978,7119,7.731,5723,7.714
22,Salazzle,9.24426,11944,12.971,9147,12.330
23,Ninjask,8.76985,6348,6.894,5118,6.899
24,Passimian,8.11796,2758,2.995,2344,3.160
25,Blastoise,8.06565,13745,14.927,10816,14.579
26,Vileplume,7.90200,6802,7.387,5534,7.460
27,Golurk,7.81648,8522,9.255,6896,9.295
28,Celebi,7.71242,6303,6.845,5063,6.825
29,Braviary,7.26835,8593,9.332,6651,8.965
30,Scrafty,7.10921,2400,2.606,1869,2.519
31,Dragalge,6.19064,6180,6.712,5085,6.854
32,Inteleon,5.46727,8017,8.707,6276,8.460
33,Piloswine,5.44050,538,0.584,469,0.632
34,Gallade,5.21100,779,0.846,595,0.802
35,Exploud,5.16729,6046,6.566,4746,6.397
36,Escavalier,5.16727,6095,6.619,5140,6.928
37,Comfey,5.03553,6917,7.512,5313,7.162
38,Goodra,5.02346,10263,11.146,8282,11.164
39,Gurdurr,4.99832,389,0.422,306,0.412
40,Araquanid,4.93889,8641,9.384,7417,9.998
41,Kingler,4.83619,2395,2.601,1941,2.616
42,Togedemaru,4.77128,1406,1.527,1186,1.599
43,Tyrantrum,4.67061,9317,10.118,6997,9.432
44,Glastrier,4.41611,5964,6.477,4547,6.129
45,Vikavolt,4.26686,1397,1.517,1215,1.638
46,Rhydon,4.23326,892,0.969,800,1.078
47,Aerodactyl,4.16646,10953,11.895,9160,12.347
48,Magneton,4.01651,1377,1.495,1217,1.640
49,Dhelmise,3.97416,5700,6.190,4727,6.372
50,Duraludon,3.93250,2829,3.072,2451,3.304
51,Druddigon,3.83676,2002,2.174,1810,2.440
52,Weezing,3.79248,1721,1.869,1467,1.977
53,Ferroseed,3.60911,375,0.407,326,0.439
54,Stunfisk-Galar,3.57553,373,0.405,325,0.438
55,Uxie,3.50661,1880,2.042,1571,2.118
56,Gigalith,3.35857,2147,2.332,1966,2.650
57,Machamp,3.35261,4178,4.537,3356,4.524
58,Espeon,3.34164,9146,9.933,7094,9.562
59,Silvally-Ghost,3.06701,860,0.934,699,0.942
60,Lycanroc,2.73331,1972,2.142,1570,2.116
61,Sandslash,2.62577,1420,1.542,1151,1.551
62,Zoroark,2.59901,8227,8.935,3572,4.815
63,Palossand,2.48664,1084,1.177,885,1.193
64,Indeedee-F,2.42610,3355,3.644,2725,3.673
65,Raichu-Alola,2.41693,3885,4.219,2961,3.991
66,Pincurchin,2.39716,3322,3.608,2980,4.017
67,Lunatone,2.24398,173,0.188,147,0.198
68,Hitmontop,2.04752,2828,3.071,2288,3.084
69,Thwackey,1.90460,990,1.075,897,1.209
70,Kingdra,1.89441,2588,2.811,2034,2.742
71,Sceptile,1.79899,3354,3.642,2532,3.413
72,Articuno-Galar,1.78571,1892,2.055,1428,1.925
73,Altaria,1.75458,420,0.456,322,0.434
74,Silvally-Steel,1.58558,1588,1.725,1335,1.800
75,Miltank,1.33638,520,0.565,425,0.573
76,Charizard,1.28334,2151,2.336,1726,2.327
77,Runerigus,1.22994,879,0.955,762,1.027
78,Stunfisk,1.21658,134,0.146,122,0.164
79,Hitmonlee,1.20106,2783,3.022,2014,2.715
80,Cursola,1.18430,624,0.678,498,0.671
81,Sandaconda,1.14465,1374,1.492,1172,1.580
82,Mesprit,1.10483,726,0.788,612,0.825
83,Persian-Alola,1.07337,509,0.553,472,0.636
84,Silvally-Ground,0.97186,294,0.319,230,0.310
85,Vibrava,0.95074,437,0.475,392,0.528
86,Exeggutor-Alola,0.93901,1212,1.316,972,1.310
87,Lanturn,0.93566,1329,1.443,1115,1.503
88,Tangela,0.92577,572,0.621,478,0.644
89,Articuno,0.90368,446,0.484,371,0.500
90,Omastar,0.88545,1985,2.156,1617,2.180
91,Aggron,0.85863,1124,1.221,961,1.295
92,Claydol,0.83990,1792,1.946,1493,2.012
93,Shiftry,0.83920,456,0.495,361,0.487
94,Whimsicott,0.83387,1979,2.149,1632,2.200
95,Jolteon,0.77946,3061,3.324,2556,3.445
96,Flygon,0.69909,311,0.338,259,0.349
97,Sneasel,0.66351,663,0.720,510,0.687
98,Frosmoth,0.65922,652,0.708,492,0.663
99,Tsareena,0.65263,1225,1.330,1028,1.386
100,Cofagrigus,0.63156,898,0.975,750,1.011
101,Morpeko,0.60368,395,0.429,306,0.412
102,Eldegoss,0.59257,571,0.620,472,0.636
103,Virizion,0.59195,1406,1.527,1064,1.434
104,Clawitzer,0.57458,2191,2.379,1717,2.314
105,Emolga,0.56564,326,0.354,275,0.371
106,Froslass,0.55139,1131,1.228,956,1.289
107,Absol,0.53533,1990,2.161,1550,2.089
108,Scyther,0.52025,1552,1.685,1232,1.661
109,Silvally-Fairy,0.47771,555,0.603,450,0.607
110,Arctozolt,0.47356,865,0.939,679,0.915
111,Sandslash-Alola,0.46649,348,0.378,301,0.406
112,Jellicent,0.41069,643,0.698,508,0.685
113,Magmortar,0.37391,560,0.608,448,0.604
114,Poliwrath,0.36626,686,0.745,559,0.754
115,Silvally-Poison,0.35137,164,0.178,148,0.199
116,Qwilfish,0.34221,628,0.682,543,0.732
