Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Landorus-Therian,49.39311,14720,26.423,12229,28.926
2,Corviknight,27.05363,8337,14.966,6613,15.642
3,Urshifu-Rapid-Strike,24.45148,6684,11.998,5245,12.406
4,Dragapult,23.55688,11997,21.536,8515,20.141
5,Toxapex,22.52208,6776,12.163,5254,12.428
6,Rillaboom,18.68966,6583,11.817,4855,11.484
7,Ferrothorn,17.80091,9661,17.342,8223,19.450
8,Garchomp,16.80474,7971,14.309,6086,14.396
9,Heatran,15.98195,6725,12.072,5308,12.555
10,Clefable,13.34929,6252,11.223,4456,10.540
11,Pelipper,13.25351,3568,6.405,3210,7.593
12,Latios,12.25549,1542,2.768,1097,2.595
13,Dragonite,11.44051,6594,11.837,4526,10.706
14,Volcarona,11.12284,7102,12.749,5182,12.257
15,Chansey,11.06597,1785,3.204,1294,3.061
16,Tornadus-Therian,10.65222,2267,4.069,1676,3.964
17,Slowking-Galar,10.48393,3187,5.721,2467,5.835
18,Weavile,10.23728,4862,8.728,3612,8.544
19,Zeraora,10.10824,5468,9.815,4037,9.549
20,Zoroark,9.74828,813,1.459,298,0.705
21,Tyranitar,9.54403,4148,7.446,3249,7.685
22,Magnezone,9.34673,3405,6.112,2563,6.062
23,Excadrill,9.31904,3743,6.719,2746,6.495
24,Hippowdon,9.30968,2477,4.446,2119,5.012
25,Melmetal,8.38409,5967,10.711,4724,11.174
26,Dracozolt,8.28441,1617,2.903,1198,2.834
27,Kartana,7.58582,7406,13.294,5720,13.530
28,Zapdos,7.52976,4942,8.871,3776,8.932
29,Tapu-Fini,7.13415,4750,8.527,3856,9.121
30,Blissey,7.12763,4924,8.839,3601,8.518
31,Bisharp,6.87222,4387,7.875,3167,7.491
32,Tapu-Lele,6.41926,4248,7.625,2966,7.016
33,Cloyster,6.31040,3330,5.978,2522,5.965
34,Ninetales-Alola,6.23651,2080,3.734,1825,4.317
35,Regieleki,6.22034,2787,5.003,2085,4.932
36,Blacephalon,5.60255,2153,3.865,1585,3.749
37,Suicune,5.54538,792,1.422,620,1.467
38,Necrozma,5.52890,361,0.648,295,0.698
39,Barraskewda,5.36549,1875,3.366,1479,3.498
40,Slowking,5.17597,1730,3.105,1313,3.106
41,Mew,4.74145,2309,4.145,1841,4.355
42,Rotom-Wash,4.39542,1799,3.229,1473,3.484
43,Tapu-Koko,4.14532,4563,8.191,3747,8.863
44,Venusaur,3.92245,1896,3.403,1431,3.385
45,Torkoal,3.91279,1652,2.965,1540,3.643
46,Kyurem,3.72298,3969,7.125,2899,6.857
47,Hawlucha,3.59432,3101,5.567,2052,4.854
48,Ditto,3.49167,1613,2.895,1066,2.521
49,Gengar,3.45450,2275,4.084,1647,3.896
50,Nidoking,3.42908,1825,3.276,1389,3.286
