Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rillaboom,23.83875,2589,9.532,1524,9.712
2,Gastrodon,22.20868,2072,7.628,1264,8.055
3,Heatran,19.66889,3311,12.190,2003,12.764
4,Porygon2,18.77695,961,3.538,550,3.505
5,Urshifu-Rapid-Strike,16.09882,3510,12.922,2163,13.784
6,Togekiss,15.67130,1702,6.266,998,6.360
7,Incineroar,12.93435,1939,7.139,1323,8.431
8,Zeraora,12.10787,2496,9.189,1484,9.457
9,Blaziken,11.88564,2042,7.518,1187,7.564
10,Celesteela,11.56353,719,2.647,455,2.899
11,Hatterene,11.22844,1374,5.059,787,5.015
12,Torkoal,11.02350,1486,5.471,777,4.951
13,Stakataka,10.81547,1088,4.006,750,4.779
14,Clefable,10.75991,3151,11.601,1867,11.897
15,Thundurus-Therian,10.73164,1022,3.763,652,4.155
16,Indeedee-F,10.08474,857,3.155,464,2.957
17,Persian-Alola,9.68306,1435,5.283,844,5.378
18,Kartana,9.24377,2813,10.356,1657,10.559
19,Clefairy,8.81576,962,3.542,621,3.957
20,Slowking-Galar,8.30829,376,1.384,219,1.396
21,Excadrill,8.15419,1629,5.997,979,6.239
22,Tyranitar,7.97508,1054,3.880,578,3.683
23,Victini,7.78878,2134,7.857,1219,7.768
24,Landorus-Therian,6.96969,1794,6.605,1089,6.940
25,Crawdaunt,6.68775,1356,4.992,865,5.512
26,Seismitoad,6.36193,446,1.642,274,1.746
27,Araquanid,6.31273,1430,5.265,854,5.442
28,Azumarill,5.91463,333,1.226,201,1.281
29,Toxapex,5.85599,986,3.630,630,4.015
30,Regieleki,5.83364,2213,8.147,1272,8.106
31,Lurantis,5.75002,1133,4.171,660,4.206
32,Dragonite,5.64599,1846,6.796,1055,6.723
33,Dragapult,5.26473,1730,6.369,992,6.321
34,Charizard,5.25685,472,1.738,276,1.759
35,Scizor,5.17734,2438,8.976,1493,9.514
36,Diancie,5.13822,639,2.353,361,2.300
37,Moltres-Galar,5.05319,516,1.900,312,1.988
38,Bisharp,5.01260,1292,4.757,724,4.614
39,Zapdos-Galar,4.78759,1569,5.776,845,5.385
40,Tapu-Lele,4.70422,1721,6.336,908,5.786
41,Malamar,4.51405,1589,5.850,865,5.512
42,Venusaur,4.35681,850,3.129,598,3.811
43,Dragalge,4.16958,231,0.850,144,0.918
44,Tapu-Koko,4.06533,1680,6.185,1011,6.443
45,Kyurem-Black,3.99632,968,3.564,539,3.435
46,Volcanion,3.97203,716,2.636,427,2.721
47,Amoonguss,3.66096,955,3.516,589,3.753
48,Porygon-Z,3.53404,1268,4.668,742,4.728
49,Cresselia,3.39008,754,2.776,404,2.574
50,Whimsicott,3.37437,1717,6.321,850,5.417
51,Scyther,3.30512,307,1.130,187,1.192
52,Volcarona,3.21693,1287,4.738,746,4.754
53,Zygarde,3.13238,682,2.511,397,2.530
54,Kingdra,3.12082,907,3.339,633,4.034
55,Genesect,3.07751,1197,4.407,781,4.977
56,Pelipper,3.06566,1532,5.640,893,5.691
57,Regidrago,3.05345,394,1.451,237,1.510
58,Meowstic,2.95551,626,2.305,394,2.511
59,Entei,2.93308,235,0.865,127,0.809
60,Weezing-Galar,2.83911,454,1.671,251,1.599
61,Corviknight,2.77220,1033,3.803,595,3.792
62,Cinderace,2.76460,1929,7.102,1091,6.952
63,Alakazam,2.76031,1166,4.293,675,4.301
64,Politoed,2.72838,413,1.521,223,1.421
65,Grimmsnarl,2.60302,1359,5.003,768,4.894
66,Regigigas,2.51301,417,1.535,255,1.625
67,Kommo-o,2.47407,1516,5.581,845,5.385
68,Marowak-Alola,2.34711,382,1.406,241,1.536
69,Blacephalon,2.21888,1629,5.997,984,6.271
70,Sylveon,2.20146,966,3.556,557,3.549
71,Swoobat,2.18858,1826,6.723,1047,6.672
72,Thundurus,2.15511,694,2.555,398,2.536
73,Gyarados,2.15189,900,3.313,540,3.441
74,Bronzong,2.10571,574,2.113,352,2.243
75,Vaporeon,1.98731,249,0.917,142,0.905
76,Dunsparce,1.89865,121,0.445,56,0.357
77,Toxtricity,1.87847,1177,4.333,634,4.040
78,Klefki,1.86700,416,1.532,263,1.676
79,Blastoise,1.86638,1138,4.190,700,4.461
80,Shiftry,1.84967,152,0.560,122,0.777
81,Perrserker,1.83564,888,3.269,541,3.448
82,Comfey,1.79561,1094,4.028,650,4.142
83,Goodra,1.78290,617,2.272,373,2.377
84,Slowbro,1.75350,466,1.716,252,1.606
85,Nidoking,1.72409,733,2.699,461,2.938
86,Hydreigon,1.69110,1048,3.858,617,3.932
87,Salamence,1.65616,964,3.549,482,3.072
88,Naganadel,1.63161,302,1.112,176,1.122
89,Rotom-Heat,1.59493,254,0.935,155,0.988
90,Latios,1.41248,617,2.272,366,2.332
91,Cloyster,1.41021,923,3.398,504,3.212
92,Tapu-Fini,1.38971,729,2.684,425,2.708
93,Frosmoth,1.37600,577,2.124,341,2.173
94,Articuno-Galar,1.34484,746,2.746,437,2.785
95,Garchomp,1.33414,721,2.654,436,2.778
96,Cinccino,1.30445,430,1.583,244,1.555
97,Rotom-Wash,1.28245,507,1.867,317,2.020
98,Darmanitan,1.23920,230,0.847,146,0.930
99,Metagross,1.23818,332,1.222,172,1.096
100,Barbaracle,1.20220,333,1.226,158,1.007
101,Noivern,1.19872,383,1.410,201,1.281
102,Ludicolo,1.18648,267,0.983,174,1.109
103,Conkeldurr,1.18462,569,2.095,290,1.848
104,Terrakion,1.16196,882,3.247,492,3.135
105,Kyurem,1.15527,304,1.119,179,1.141
106,Mudsdale,1.14984,564,2.076,353,2.249
107,Ninetales-Alola,1.13816,518,1.907,213,1.357
108,Lanturn,1.10709,400,1.473,237,1.510
109,Barraskewda,1.09221,589,2.168,404,2.574
110,Chandelure,1.07551,555,2.043,332,2.116
111,Arcanine,1.05726,468,1.723,277,1.765
112,Shuckle,1.01588,825,3.037,466,2.970
113,Buzzwole,1.01423,606,2.231,362,2.307
114,Indeedee,1.00042,342,1.259,215,1.370
115,Aerodactyl,0.99053,239,0.880,144,0.918
116,Slowking,0.98991,204,0.751,141,0.899
117,Raichu,0.98416,373,1.373,233,1.485
118,Mew,0.97989,985,3.626,557,3.549
119,Hawlucha,0.93039,647,2.382,334,2.128
120,Oranguru,0.92317,184,0.677,114,0.726
121,Heliolisk,0.90577,484,1.782,313,1.995
122,Milotic,0.89576,682,2.511,383,2.441
123,Inteleon,0.89567,290,1.068,159,1.013
124,Dhelmise,0.83182,398,1.465,218,1.389
125,Talonflame,0.81559,242,0.891,124,0.790
126,Landorus,0.81433,697,2.566,344,2.192
127,Togedemaru,0.78185,118,0.434,65,0.414
128,Spectrier,0.77373,291,1.071,171,1.090
129,Gothitelle,0.77166,198,0.729,81,0.516
130,Raichu-Alola,0.76684,500,1.841,315,2.007
131,Tornadus,0.71706,440,1.620,224,1.427
132,Stonjourner,0.71442,197,0.725,116,0.739
133,Lycanroc-Dusk,0.69400,580,2.135,376,2.396
134,Tsareena,0.68016,543,1.999,311,1.982
135,Suicune,0.67651,138,0.508,88,0.561
136,Grapploct,0.64002,59,0.217,37,0.236
137,Shiinotic,0.63876,184,0.677,103,0.656
138,Manectric,0.63256,474,1.745,283,1.803
139,Drampa,0.62385,225,0.828,138,0.879
140,Haxorus,0.60854,301,1.108,172,1.096
141,Nihilego,0.60474,304,1.119,134,0.854
142,Sigilyph,0.60450,173,0.637,88,0.561
143,Latias,0.59274,421,1.550,252,1.606
144,Aurorus,0.56062,358,1.318,241,1.536
145,Ninetales,0.55245,481,1.771,279,1.778
146,Drifblim,0.54248,80,0.295,37,0.236
147,Palossand,0.53787,133,0.490,66,0.421
148,Mamoswine,0.53262,178,0.655,109,0.695
149,Accelgor,0.52995,186,0.685,105,0.669
150,Weavile,0.51946,667,2.456,399,2.543
151,Jellicent,0.51338,131,0.482,77,0.491
152,Pangoro,0.51156,137,0.504,76,0.484
153,Ferrothorn,0.50684,641,2.360,388,2.473
154,Primarina,0.49642,329,1.211,189,1.204
155,Reuniclus,0.49629,468,1.723,317,2.020
156,Slowbro-Galar,0.47943,287,1.057,181,1.153
