Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Dragapult,100.00000,48,38.095,8,15.434
2,Mudsdale,99.99644,7,5.556,1,1.929
3,Indeedee-F,99.99644,12,9.524,8,15.434
4,Cinderace,99.99644,31,24.603,14,27.010
5,Milotic,99.99644,17,13.492,3,5.788
6,Togekiss,99.99644,40,31.746,21,40.514
7,Mimikyu,0.00356,19,15.079,4,7.717
8,Rotom-Wash,0.00356,23,18.254,17,32.797
9,Arcanine,0.00356,36,28.571,21,40.514
10,Goodra,0.00356,29,23.016,12,23.151
11,Rillaboom,0.00356,51,40.476,18,34.727
12,Rotom-Fan,0.00000,1,0.794,1,1.929
13,Mamoswine,0.00000,3,2.381,1,1.929
14,Jolteon,0.00000,8,6.349,4,7.717
15,Carbink,0.00000,2,1.587,2,3.859
16,Dragonite,0.00000,6,4.762,1,1.929
17,Rhyperior,0.00000,3,2.381,1,1.929
18,Durant,0.00000,1,0.794,0,0.000
19,Duosion,0.00000,1,0.794,1,1.929
20,Chandelure,0.00000,1,0.794,0,0.000
21,Tyranitar,0.00000,15,11.905,8,15.434
22,Snorlax,0.00000,3,2.381,1,1.929
23,Dracozolt,0.00000,3,2.381,2,3.859
24,Reuniclus,0.00000,1,0.794,1,1.929
25,Drifblim,0.00000,2,1.587,1,1.929
26,Umbreon,0.00000,10,7.937,3,5.788
27,Pikachu,0.00000,12,9.524,2,3.859
28,Marowak,0.00000,8,6.349,1,1.929
29,Charizard,0.00000,23,18.254,7,13.505
30,Porygon2,0.00000,27,21.429,17,32.797
31,Greedent,0.00000,19,15.079,4,7.717
32,Zoroark,0.00000,1,0.794,0,0.000
33,Politoed,0.00000,4,3.175,3,5.788
34,Rotom-Heat,0.00000,3,2.381,1,1.929
35,Rotom-Mow,0.00000,1,0.794,0,0.000
36,Rotom,0.00000,1,0.794,0,0.000
37,Hippowdon,0.00000,1,0.794,0,0.000
38,Clefable,0.00000,1,0.794,1,1.929
39,Duraludon,0.00000,4,3.175,2,3.859
40,Braviary,0.00000,2,1.587,0,0.000
41,Torkoal,0.00000,27,21.429,12,23.151
42,Vanilluxe,0.00000,5,3.968,2,3.859
43,Gothitelle,0.00000,18,14.286,8,15.434
44,Comfey,0.00000,5,3.968,4,7.717
45,Grimmsnarl,0.00000,15,11.905,6,11.576
46,Marowak-Alola,0.00000,1,0.794,0,0.000
47,Coalossal,0.00000,3,2.381,1,1.929
48,Lilligant,0.00000,10,7.937,3,5.788
49,Butterfree,0.00000,4,3.175,2,3.859
50,Ferrothorn,0.00000,12,9.524,4,7.717
51,Lapras,0.00000,17,13.492,7,13.505
52,Bisharp,0.00000,2,1.587,1,1.929
53,Toxtricity,0.00000,1,0.794,1,1.929
54,Indeedee,0.00000,7,5.556,5,9.646
55,Lucario,0.00000,4,3.175,2,3.859
56,Venusaur,0.00000,18,14.286,11,21.222
57,Azumarill,0.00000,19,15.079,10,19.293
58,Corviknight,0.00000,1,0.794,1,1.929
59,Eiscue,0.00000,1,0.794,1,1.929
60,Clefairy,0.00000,3,2.381,1,1.929
61,Dracovish,0.00000,12,9.524,6,11.576
62,Gigalith,0.00000,2,1.587,0,0.000
63,Amoonguss,0.00000,3,2.381,0,0.000
64,Inteleon,0.00000,6,4.762,2,3.859
65,Avalugg,0.00000,1,0.794,1,1.929
66,Rotom-Frost,0.00000,1,0.794,1,1.929
67,Slowking-Galar,0.00000,1,0.794,1,1.929
68,Aegislash,0.00000,1,0.794,1,1.929
69,Talonflame,0.00000,1,0.794,0,0.000
70,Shedinja,0.00000,2,1.587,1,1.929
71,Blissey,0.00000,1,0.794,0,0.000
72,Kingdra,0.00000,4,3.175,3,5.788
73,Gabite,0.00000,4,3.175,1,1.929
74,Scrafty,0.00000,7,5.556,2,3.859
75,Magmar,0.00000,1,0.794,0,0.000
76,Glaceon,0.00000,5,3.968,2,3.859
77,Hitmontop,0.00000,1,0.794,0,0.000
78,Whimsicott,0.00000,14,11.111,3,5.788
79,Excadrill,0.00000,13,10.317,5,9.646
80,Magnezone,0.00000,1,0.794,0,0.000
81,Krookodile,0.00000,1,0.794,1,1.929
82,Dusclops,0.00000,15,11.905,7,13.505
