Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Incineroar,68.39911,837958,53.185,423884,57.115
2,Rillaboom,53.28179,652074,41.387,309328,41.679
3,Regieleki,46.83799,601897,38.202,229508,30.924
4,Urshifu-Rapid-Strike,25.10843,247548,15.712,109592,14.767
5,Landorus,24.41338,280644,17.812,127918,17.236
6,Zacian-Crowned,23.86989,291693,18.514,203597,27.433
7,Volcarona,17.26424,201673,12.800,78159,10.531
8,Xerneas,16.01590,168278,10.680,104060,14.021
9,Amoonguss,15.74413,163914,10.403,66497,8.960
10,Kyogre,15.46800,263627,16.732,184657,24.881
11,Calyrex-Shadow,14.80004,218162,13.847,143055,19.275
12,Stakataka,14.74958,134555,8.540,52377,7.057
13,Tsareena,14.21172,214932,13.642,109030,14.691
14,Tornadus,12.76276,223359,14.176,95285,12.839
15,Urshifu,10.69991,204563,12.983,88598,11.938
16,Indeedee-F,10.43024,192848,12.240,82015,11.051
17,Mienshao,10.21598,149378,9.481,67164,9.050
18,Landorus-Therian,9.38811,151208,9.597,70726,9.530
19,Whimsicott,9.24790,206337,13.096,80809,10.888
20,Tapu-Fini,7.91401,132721,8.424,57168,7.703
21,Entei,7.87082,81774,5.190,35648,4.803
22,Nihilego,7.55706,81071,5.146,29280,3.945
23,Tapu-Lele,5.32647,81077,5.146,39299,5.295
24,Torkoal,4.80205,74738,4.744,35887,4.835
25,Ditto,4.69270,43462,2.758,21372,2.880
26,Suicune,4.66477,49474,3.140,20862,2.811
27,Eternatus,4.59328,49012,3.111,30556,4.117
28,Yveltal,4.55339,71556,4.542,43165,5.816
29,Celesteela,4.55190,85516,5.428,35617,4.799
30,Groudon,4.42356,89831,5.701,62998,8.488
31,Calyrex-Ice,4.35745,79471,5.044,57719,7.777
32,Thundurus,4.06695,52711,3.346,19128,2.577
33,Shedinja,3.94573,32776,2.080,12213,1.646
34,Mimikyu,3.94377,42287,2.684,18276,2.463
35,Moltres-Galar,3.63526,56866,3.609,20011,2.696
36,Zapdos-Galar,3.48172,78146,4.960,30779,4.147
37,Araquanid,3.43775,43422,2.756,20660,2.784
38,Grimmsnarl,3.42570,78807,5.002,28461,3.835
39,Gothitelle,3.33234,53761,3.412,20151,2.715
40,Gastrodon,3.21621,61975,3.934,29002,3.908
41,Porygon2,3.10640,71656,4.548,29463,3.970
42,Dracovish,2.69382,55014,3.492,27128,3.655
43,Ho-Oh,2.64502,64403,4.088,43749,5.895
44,Venusaur,2.63447,71922,4.565,34014,4.583
45,Ferrothorn,2.50027,46657,2.961,19136,2.578
46,Aegislash,2.42904,49645,3.151,16467,2.219
47,Lunala,2.40475,19968,1.267,10915,1.471
48,Raichu,2.31249,78429,4.978,34354,4.629
49,Milotic,2.25975,67409,4.278,25389,3.421
50,Kartana,2.13739,56140,3.563,22995,3.098
51,Tapu-Koko,1.99378,45323,2.877,19148,2.580
52,Palkia,1.98165,26212,1.664,16812,2.265
53,Mamoswine,1.70301,20040,1.272,9407,1.268
54,Hitmontop,1.68613,60547,3.843,27713,3.734
55,Oranguru,1.62050,24550,1.558,11127,1.499
56,Zapdos,1.52404,34378,2.182,14712,1.982
57,Togekiss,1.38977,34447,2.186,12998,1.751
58,Mandibuzz,1.38770,15423,0.979,5631,0.759
59,Talonflame,1.38131,35580,2.258,13670,1.842
60,Ludicolo,1.34699,30125,1.912,15169,2.044
61,Drifblim,1.28465,14312,0.908,5474,0.738
62,Tyranitar,1.17394,35949,2.282,16450,2.217
63,Politoed,1.10959,20212,1.283,8712,1.174
64,Dusclops,1.05706,30676,1.947,13298,1.792
65,Necrozma-Dusk-Mane,1.02712,24968,1.585,15864,2.138
66,Indeedee,0.99970,18884,1.199,7627,1.028
67,Weezing,0.94020,17259,1.095,6892,0.929
68,Kingdra,0.93759,25292,1.605,12235,1.649
69,Metagross,0.93667,34338,2.179,12963,1.747
70,Scizor,0.83959,21583,1.370,8941,1.205
71,Thundurus-Therian,0.82868,11367,0.721,5157,0.695
72,Pheromosa,0.80475,13235,0.840,5573,0.751
73,Rotom-Wash,0.78252,18162,1.153,7636,1.029
74,Dragapult,0.75860,37145,2.358,13578,1.830
75,Swampert,0.72584,34170,2.169,16155,2.177
76,Regidrago,0.70594,14904,0.946,6518,0.878
77,Ninetales-Alola,0.70220,21023,1.334,9333,1.258
78,Pelipper,0.70126,19785,1.256,8271,1.114
79,Weezing-Galar,0.69856,12028,0.763,4603,0.620
80,Toxicroak,0.63817,9898,0.628,4089,0.551
81,Cinderace,0.63748,21510,1.365,10110,1.362
82,Garchomp,0.63709,18783,1.192,8931,1.203
83,Solgaleo,0.63247,17475,1.109,10570,1.424
84,Dialga,0.59995,19910,1.264,12853,1.732
85,Gengar,0.59506,12353,0.784,4521,0.609
86,Umbreon,0.59066,19285,1.224,6696,0.902
87,Crobat,0.57447,17907,1.137,6248,0.842
88,Zygarde,0.57095,18759,1.191,11466,1.545
89,Heatran,0.53077,23507,1.492,9867,1.329
