Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rotom-Wash,90.43187,34952,74.645,17731,87.075
2,Lapras,82.38672,33938,72.480,18747,92.065
3,Gyarados,79.13036,33398,71.327,17317,85.042
4,Ludicolo,42.13252,23082,49.295,10071,49.458
5,Starmie,40.18666,13037,27.843,5595,27.477
6,Tentacruel,32.71107,7854,16.773,3203,15.730
7,Relicanth,30.33946,9660,20.630,4388,21.549
8,Seismitoad,24.06371,7386,15.774,2660,13.063
9,Lanturn,22.51216,11484,24.526,4545,22.320
10,Azumarill,18.78185,8989,19.197,2745,13.480
11,Sharpedo,15.37064,5611,11.983,2388,11.727
12,Toxapex,13.45834,9687,20.688,3272,16.068
13,Swampert,12.79116,7197,15.370,2594,12.739
14,Primarina,11.90816,5184,11.071,1693,8.314
15,Slowbro,11.84854,2753,5.879,816,4.007
16,Gastrodon,7.66778,5666,12.101,1959,9.620
17,Kingdra,6.15564,3659,7.814,1173,5.760
18,Slowking,5.58439,2376,5.074,926,4.548
19,Crawdaunt,5.09262,4096,8.748,1657,8.137
20,Drednaw,3.71131,1264,2.699,504,2.475
21,Cloyster,3.67397,3367,7.191,1298,6.374
22,Barbaracle,3.65432,1654,3.532,760,3.732
23,Pyukumuku,3.42416,1983,4.235,746,3.664
24,Kabutops,3.15506,2161,4.615,969,4.759
25,Arctovish,2.86223,1420,3.033,626,3.074
26,Dracovish,2.71317,4087,8.728,1451,7.126
27,Golisopod,2.57493,2560,5.467,914,4.489
28,Carracosta,2.16700,1051,2.245,470,2.308
29,Octillery,2.03621,1906,4.071,1008,4.950
30,Quagsire,1.74731,1763,3.765,537,2.637
31,Jellicent,1.73539,1806,3.857,643,3.158
32,Inteleon,1.57505,1797,3.838,672,3.300
33,Pelipper,1.37242,3761,8.032,1738,8.535
34,Cramorant,1.25150,331,0.707,76,0.373
35,Wailord,1.17055,189,0.404,51,0.250
36,Araquanid,0.97582,954,2.037,431,2.117
37,Qwilfish,0.91187,1021,2.181,476,2.338
38,Poliwrath,0.77846,1509,3.223,606,2.976
39,Barraskewda,0.75749,2125,4.538,788,3.870
40,Walrein,0.48493,785,1.676,264,1.296
41,Milotic,0.41529,1709,3.650,535,2.627
42,Politoed,0.38296,1571,3.355,618,3.035
43,Omastar,0.36788,695,1.484,287,1.409
44,Mantine,0.28358,354,0.756,96,0.471
45,Basculin,0.27086,646,1.380,334,1.640
46,Clawitzer,0.21528,573,1.224,221,1.085
47,Vaporeon,0.19488,676,1.444,271,1.331
48,Lombre,0.17466,50,0.107,19,0.093
49,Whiscash,0.17404,355,0.758,80,0.393
50,Blastoise,0.16314,1225,2.616,396,1.945
51,Seaking,0.10913,487,1.040,215,1.056
52,Wishiwashi,0.09814,154,0.329,61,0.300
53,Kingler,0.03870,498,1.064,159,0.781
54,Golduck,0.01103,154,0.329,53,0.260
55,Sealeo,0.00779,18,0.038,3,0.015
56,Marill,0.00209,66,0.141,24,0.118
57,Corsola,0.00098,41,0.088,22,0.108
58,Wartortle,0.00086,36,0.077,7,0.034
59,Shellos,0.00081,103,0.220,64,0.314
60,Mudkip,0.00064,17,0.036,15,0.074
61,Mareanie,0.00053,20,0.043,6,0.029
62,Wooper,0.00042,29,0.062,8,0.039
63,Slowpoke,0.00037,18,0.038,4,0.020
64,Poliwhirl,0.00015,4,0.009,3,0.015
65,Skrelp,0.00001,63,0.135,28,0.138
66,Staryu,0.00001,89,0.190,21,0.103
67,Corphish,0.00001,16,0.034,7,0.034
68,Palpitoad,0.00000,19,0.041,2,0.010
69,Frillish,0.00000,35,0.075,18,0.088
70,Wailmer,0.00000,14,0.030,5,0.025
71,Tympole,0.00000,2,0.004,1,0.005
72,Omanyte,0.00000,9,0.019,1,0.005
73,Barboach,0.00000,4,0.009,3,0.015
74,Tentacool,0.00000,6,0.013,6,0.029
75,Shellder,0.00000,5,0.011,4,0.020
76,Drizzile,0.00000,4,0.009,1,0.005
77,Feebas,0.00000,1,0.002,0,0.000
78,Mantyke,0.00000,6,0.013,0,0.000
79,Psyduck,0.00000,1,0.002,1,0.005
80,Marshtomp,0.00000,26,0.056,14,0.069
81,Magikarp,0.00000,15,0.032,8,0.039
82,Popplio,0.00000,1,0.002,0,0.000
83,Squirtle,0.00000,19,0.041,15,0.074
84,Remoraid,0.00000,18,0.038,13,0.064
85,Poliwag,0.00000,6,0.013,2,0.010
86,Spheal,0.00000,2,0.004,1,0.005
87,Sobble,0.00000,3,0.006,0,0.000
88,Goldeen,0.00000,2,0.004,0,0.000
89,Carvanha,0.00000,4,0.009,1,0.005
90,Krabby,0.00000,1,0.002,1,0.005
91,Seadra,0.00000,15,0.032,3,0.015
92,Kabuto,0.00000,1,0.002,0,0.000
93,Brionne,0.00000,2,0.004,1,0.005
94,Horsea,0.00000,1,0.002,1,0.005
95,Binacle,0.00000,3,0.006,0,0.000
96,Chinchou,0.00000,13,0.028,9,0.044
97,Dewpider,0.00000,1,0.002,1,0.005
