Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rotom,27.92518,5010,14.900,4229,15.370
2,Qwilfish,23.18407,4678,13.913,4191,15.232
3,Sandslash-Alola,19.52737,3157,9.389,2749,9.991
4,Tangela,18.41698,3019,8.979,2543,9.242
5,Rhydon,18.40847,2905,8.640,2499,9.082
6,Altaria,16.73968,4235,12.595,3420,12.429
7,Uxie,15.38346,4558,13.556,4078,14.821
8,Sawk,15.18404,3377,10.043,2672,9.711
9,Centiskorch,14.93326,3431,10.204,2872,10.438
10,Miltank,13.43735,2073,6.165,1715,6.233
11,Articuno,13.20326,3249,9.663,2669,9.700
12,Alcremie,12.70756,3017,8.973,2265,8.232
13,Silvally-Ground,12.63241,3957,11.768,3239,11.772
14,Kangaskhan,12.22745,2713,8.069,2239,8.137
15,Rapidash,11.95784,2049,6.094,1636,5.946
16,Gourgeist-Small,11.27568,2019,6.005,1681,6.109
17,Piloswine,10.59377,977,2.906,868,3.155
18,Audino,10.15807,2672,7.947,2156,7.836
19,Pyukumuku,9.20956,1590,4.729,1339,4.866
20,Silvally-Dark,9.18395,1013,3.013,806,2.929
21,Stunfisk,8.49131,1015,3.019,908,3.300
22,Rotom-Fan,8.41127,2470,7.346,2089,7.592
23,Gurdurr,8.28519,1146,3.408,946,3.438
24,Skuntank,8.22756,1464,4.354,1199,4.358
25,Thwackey,7.96929,2619,7.789,2166,7.872
26,Silvally-Poison,7.79787,1313,3.905,1090,3.961
27,Morpeko,7.73616,1804,5.365,1442,5.241
28,Wishiwashi,7.66702,1809,5.380,1574,5.720
29,Gourgeist-Super,7.44766,835,2.483,719,2.613
30,Jellicent,7.30999,2473,7.355,2109,7.665
31,Stunfisk-Galar,7.05975,790,2.350,696,2.529
32,Cinccino,7.00154,3598,10.701,2919,10.609
33,Frosmoth,6.99741,1746,5.193,1282,4.659
34,Flapple,6.90993,1616,4.806,1219,4.430
35,Perrserker,6.59416,1915,5.695,1677,6.095
36,Coalossal,6.25063,2066,6.144,1848,6.716
37,Klinklang,6.11809,1482,4.408,1175,4.270
38,Ferroseed,6.11081,1540,4.580,1382,5.023
39,Dugtrio-Alola,5.64788,1083,3.221,917,3.333
40,Spiritomb,5.42648,896,2.665,748,2.718
41,Poliwrath,5.08755,1660,4.937,1397,5.077
42,Liepard,4.84892,1809,5.380,1527,5.550
43,Shiftry,4.72423,1333,3.964,1098,3.991
44,Crustle,4.61803,1450,4.312,1175,4.270
45,Accelgor,4.61221,3328,9.898,2823,10.260
46,Basculin,4.25368,1954,5.811,1586,5.764
47,Cramorant,4.16665,1454,4.324,1201,4.365
48,Throh,4.09341,478,1.422,415,1.508
49,Runerigus,3.86793,1872,5.567,1628,5.917
50,Manectric,3.77427,2101,6.249,1739,6.320
51,Sableye,3.67314,1185,3.524,1030,3.743
52,Cofagrigus,3.47639,1627,4.839,1359,4.939
53,Persian-Alola,3.46823,1786,5.312,1532,5.568
54,Leafeon,3.35896,933,2.775,750,2.726
55,Clefairy,3.18046,654,1.945,565,2.053
56,Arctovish,3.13512,1527,4.541,1238,4.499
57,Silvally,2.97345,710,2.112,553,2.010
58,Malamar,2.77701,1781,5.297,1462,5.313
59,Ivysaur,2.76338,419,1.246,338,1.228
60,Eldegoss,2.58173,960,2.855,773,2.809
61,Carracosta,2.53807,1268,3.771,927,3.369
62,Pinsir,2.52457,713,2.121,565,2.053
63,Cursola,2.50644,915,2.721,745,2.708
64,Appletun,2.41422,1651,4.910,1304,4.739
65,Rapidash-Galar,2.21117,735,2.186,555,2.017
66,Thievul,2.10598,841,2.501,680,2.471
67,Dusknoir,2.06941,558,1.660,470,1.708
68,Rotom-Frost,1.96655,1089,3.239,908,3.300
69,Lycanroc-Midnight,1.86000,1045,3.108,809,2.940
70,Silvally-Fighting,1.81455,362,1.077,281,1.021
71,Pikachu,1.78303,491,1.460,394,1.432
72,Golbat,1.71280,290,0.862,235,0.854
73,Gloom,1.71020,265,0.788,225,0.818
74,Hattrem,1.70633,445,1.323,381,1.385
75,Mawile,1.63040,965,2.870,824,2.995
76,Jynx,1.58756,1064,3.164,803,2.918
77,Lurantis,1.55256,1076,3.200,891,3.238
78,Ninetales,1.41816,1587,4.720,1262,4.587
79,Lilligant,1.39123,754,2.242,575,2.090
80,Silvally-Electric,1.34948,202,0.601,150,0.545
81,Lapras,1.31668,582,1.731,443,1.610
82,Electivire,1.31081,1452,4.318,1182,4.296
83,Avalugg,1.30232,1560,4.640,1208,4.390
84,Butterfree,1.26644,1417,4.214,1082,3.932
85,Raichu,1.26177,761,2.263,592,2.152
86,Kadabra,1.25060,488,1.451,368,1.337
87,Pincurchin,1.22881,964,2.867,852,3.096
88,Glaceon,1.19054,642,1.909,524,1.904
89,Mr.-Rime,1.18171,745,2.216,561,2.039
90,Seadra,1.18077,43,0.128,35,0.127
91,Lickilicky,1.17417,788,2.344,615,2.235
92,Exeggutor,1.09154,1109,3.298,833,3.027
93,Trevenant,1.05449,487,1.448,402,1.461
94,Hitmonchan,1.04259,1804,5.365,1449,5.266
95,Boltund,1.01289,1941,5.773,1508,5.481
96,Shedinja,0.97424,373,1.109,286,1.039
97,Unfezant,0.96642,711,2.115,579,2.104
98,Carbink,0.94217,761,2.263,678,2.464
99,Drifblim,0.83862,1241,3.691,981,3.565
100,Kabutops,0.81607,1471,4.375,1165,4.234
101,Aurorus,0.77790,916,2.724,703,2.555
102,Falinks,0.77218,930,2.766,684,2.486
103,Cradily,0.71653,1063,3.161,839,3.049
104,Shuckle,0.71622,1675,4.982,1578,5.735
105,Silvally-Flying,0.71089,390,1.160,307,1.116
106,Silvally-Fire,0.70978,260,0.773,201,0.731
107,Regice,0.68778,695,2.067,539,1.959
108,Bellossom,0.65869,689,2.049,527,1.915
109,Musharna,0.64111,329,0.978,268,0.974
110,Corsola-Galar,0.59214,677,2.013,594,2.159
111,Vibrava,0.56391,93,0.277,74,0.269
112,Mareanie,0.56184,73,0.217,67,0.244
113,Beheeyem,0.55889,844,2.510,676,2.457
114,Relicanth,0.55056,389,1.157,330,1.199
115,Hippopotas,0.54780,339,1.008,309,1.123
116,Shiinotic,0.52986,724,2.153,619,2.250
117,Raboot,0.52611,446,1.326,349,1.268
118,Swoobat,0.45173,1171,3.483,920,3.344
119,Stonjourner,0.43786,213,0.633,165,0.600
120,Silvally-Water,0.41798,302,0.898,250,0.909
121,Whiscash,0.40435,427,1.270,340,1.236
122,Bouffalant,0.39438,1529,4.547,1188,4.318
123,Gourgeist,0.37364,90,0.268,70,0.254
124,Fletchinder,0.36761,49,0.146,42,0.153
125,Ditto,0.36216,1069,3.179,812,2.951
126,Calyrex,0.36124,292,0.868,218,0.792
127,Cryogonal,0.33773,1012,3.010,807,2.933
128,Stoutland,0.31684,392,1.166,310,1.127
129,Beartic,0.31677,327,0.973,241,0.876
130,Swirlix,0.31136,88,0.262,88,0.320
131,Orbeetle,0.30222,638,1.897,561,2.039
132,Greedent,0.29564,403,1.199,293,1.065
133,Vullaby,0.29159,86,0.256,72,0.262
134,Hakamo-o,0.26963,75,0.223,60,0.218
135,Metang,0.26625,134,0.399,111,0.403
136,Dubwool,0.26409,501,1.490,362,1.316
137,Mr.-Mime,0.26269,327,0.973,237,0.861
138,Noctowl,0.25526,352,1.047,257,0.934
139,Armaldo,0.25291,1139,3.387,943,3.427
140,Dunsparce,0.25120,232,0.690,174,0.632
