Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mewtwo,100.00000,105,99.057,85,97.701
2,Mew,100.00000,79,74.528,57,65.517
3,Chansey,94.96306,73,68.868,57,65.517
4,Jynx,85.43641,22,20.755,21,24.138
5,Snorlax,81.74624,70,66.038,56,64.368
6,Alakazam,42.68808,24,22.642,22,25.287
7,Tauros,42.17881,67,63.208,62,71.264
8,Exeggutor,16.53529,36,33.962,32,36.782
9,Electrode,13.64176,11,10.377,10,11.494
10,Hypno,12.24329,2,1.887,2,2.299
11,Golem,4.95146,2,1.887,1,1.149
12,Starmie,3.76052,5,4.717,5,5.747
13,Moltres,0.95696,1,0.943,1,1.149
14,Gengar,0.89169,21,19.811,21,24.138
15,Jolteon,0.00486,25,23.585,24,27.586
16,Slowbro,0.00157,16,15.094,14,16.092
17,Cloyster,0.00000,3,2.830,2,2.299
18,Dragonite,0.00000,12,11.321,11,12.644
19,Machamp,0.00000,3,2.830,3,3.448
20,Charizard,0.00000,4,3.774,3,3.448
21,Rhydon,0.00000,19,17.925,14,16.092
22,Dewgong,0.00000,1,0.943,0,0.000
23,Victreebel,0.00000,2,1.887,1,1.149
24,Aerodactyl,0.00000,2,1.887,2,2.299
25,Gyarados,0.00000,1,0.943,0,0.000
26,Tentacruel,0.00000,1,0.943,0,0.000
27,Lapras,0.00000,2,1.887,2,2.299
28,Persian,0.00000,1,0.943,1,1.149
29,Nidoking,0.00000,1,0.943,0,0.000
30,Zapdos,0.00000,11,10.377,7,8.046
31,Venusaur,0.00000,5,4.717,5,5.747
32,Articuno,0.00000,1,0.943,1,1.149
