Rank,Pokemon,Usage %,Raw,%,Real,%
1,Excadrill,38.76148%,22399,18.730%,17425,18.660%
2,Landorus-Therian,31.75749%,21677,18.126%,18754,20.083%
3,Rotom-Wash,21.92774%,17540,14.667%,14858,15.911%
4,Tornadus-Therian,21.61987%,9808,8.201%,8087,8.660%
5,Heatran,19.29741%,14320,11.974%,11924,12.769%
6,Bisharp,18.69004%,13855,11.585%,9901,10.603%
7,Clefable,18.47294%,15826,13.233%,12270,13.140%
8,Scizor-Mega,16.77865%,10801,9.032%,8363,8.956%
9,Keldeo,16.71662%,11885,9.938%,9138,9.786%
10,Metagross-Mega,15.31198%,12799,10.702%,9729,10.419%
11,Garchomp,13.63297%,15198,12.708%,12226,13.093%
12,Ferrothorn,12.60979%,17051,14.258%,14646,15.684%
13,Tyranitar,12.46540%,14133,11.818%,11438,12.249%
14,Serperior,12.01420%,15611,13.054%,11885,12.727%
15,Lopunny-Mega,11.29366%,7755,6.485%,6314,6.761%
16,Latios,10.80285%,10036,8.392%,7377,7.900%
17,Manaphy,10.69078%,7597,6.352%,5710,6.115%
18,Thundurus,10.59187%,5989,5.008%,4741,5.077%
19,Weavile,10.57952%,12260,10.252%,9125,9.772%
20,Azumarill,10.40607%,11622,9.718%,9017,9.656%
21,Talonflame,10.28518%,15624,13.064%,11779,12.614%
22,Zapdos,10.21415%,7196,6.017%,5793,6.204%
23,Magnezone,9.02493%,8111,6.782%,6287,6.733%
24,Latias,8.33470%,5239,4.381%,3878,4.153%
25,Mew,7.48606%,4223,3.531%,3537,3.788%
26,Volcarona,6.99543%,5978,4.999%,4241,4.542%
27,Amoonguss,6.77517%,6312,5.278%,4911,5.259%
28,Gengar,6.69083%,12179,10.184%,8933,9.566%
29,Chansey,6.45254%,7785,6.510%,5839,6.253%
30,Sylveon,6.41681%,2800,2.341%,2110,2.260%
31,Thundurus-Therian,6.27839%,2578,2.156%,2004,2.146%
32,Slowbro,5.56389%,6684,5.589%,5250,5.622%
33,Skarmory,5.49329%,7505,6.276%,6514,6.976%
34,Volcanion,5.48320%,4855,4.060%,3927,4.205%
35,Gliscor,5.33213%,13061,10.921%,10357,11.091%
36,Dragonite,5.31962%,8935,7.471%,6301,6.748%
37,Breloom,4.91813%,8390,7.016%,6419,6.874%
38,Diancie-Mega,4.89935%,4829,4.038%,4026,4.311%
39,Seismitoad,4.79953%,1134,0.948%,1008,1.079%
40,Nidoking,4.73679%,1997,1.670%,1507,1.614%
41,Shuckle,4.58829%,3828,3.201%,3583,3.837%
42,Slowbro-Mega,4.39387%,2082,1.741%,1724,1.846%
43,Cofagrigus,4.34745%,1602,1.340%,1339,1.434%
44,Medicham-Mega,4.20895%,4819,4.030%,3969,4.250%
45,Jirachi,4.18135%,4482,3.748%,3520,3.769%
46,Tangrowth,3.99873%,4603,3.849%,3743,4.008%
47,Venusaur-Mega,3.94131%,4442,3.714%,3522,3.772%
48,Heracross-Mega,3.90313%,2764,2.311%,2123,2.273%
49,Pinsir-Mega,3.84508%,4467,3.735%,3194,3.420%
50,Charizard-Mega-Y,3.72708%,7607,6.361%,6163,6.600%
51,Gyarados-Mega,3.63475%,2555,2.136%,2000,2.142%
52,Starmie,3.57013%,7511,6.281%,5707,6.111%
53,Milotic,3.29223%,2821,2.359%,2211,2.368%
54,Scizor,2.96560%,5503,4.601%,4093,4.383%
55,Azelf,2.55165%,4449,3.720%,4138,4.431%
56,Altaria-Mega,2.54828%,2801,2.342%,2102,2.251%
57,Charizard-Mega-X,2.53015%,8764,7.328%,6645,7.116%
58,Tyranitar-Mega,2.52531%,3575,2.989%,2739,2.933%
59,Hoopa,2.28675%,958,0.801%,639,0.684%
60,Conkeldurr,2.24466%,2741,2.292%,2143,2.295%
61,Latias-Mega,2.22334%,1316,1.100%,1002,1.073%
62,Ampharos-Mega,2.00231%,737,0.616%,558,0.598%
63,Alakazam-Mega,1.98534%,2521,2.108%,1807,1.935%
64,Gardevoir,1.92452%,1319,1.103%,951,1.018%
65,Hydreigon,1.92034%,3273,2.737%,2484,2.660%
66,Kyurem-Black,1.90425%,3487,2.916%,2548,2.729%
67,Jellicent,1.85228%,2229,1.864%,1748,1.872%
68,Politoed,1.71096%,2320,1.940%,2142,2.294%
