Rank,Pokemon,Usage %,Raw,%,Real,%
1,Groudon-Primal,64.16194%,25810,35.808%,19493,37.428%
2,Necrozma-Dusk-Mane,45.32617%,13540,18.785%,9509,18.258%
3,Xerneas,38.56533%,15690,21.768%,10575,20.305%
4,Yveltal,29.30250%,11813,16.389%,9024,17.327%
5,Marshadow,24.92142%,11622,16.124%,7925,15.217%
6,Arceus,24.31866%,8580,11.904%,5747,11.035%
7,Kyogre-Primal,22.51832%,13477,18.698%,9412,18.072%
8,Zygarde,22.47291%,6801,9.436%,4762,9.143%
9,Arceus-Ground,21.68349%,4132,5.733%,3193,6.131%
10,Ho-Oh,19.01485%,4777,6.628%,3721,7.145%
11,Giratina-Origin,14.53791%,3980,5.522%,3004,5.768%
12,Lugia,13.15617%,5091,7.063%,3637,6.983%
13,Salamence-Mega,13.14885%,7253,10.063%,4844,9.301%
14,Magearna,11.26221%,2727,3.783%,2023,3.884%
15,Sableye-Mega,10.81807%,2048,2.841%,1872,3.594%
16,Lucario-Mega,10.12442%,7049,9.780%,5051,9.698%
17,Pheromosa,9.82087%,2729,3.786%,1903,3.654%
18,Mawile-Mega,9.41798%,1632,2.264%,1228,2.358%
19,Necrozma-Dawn-Wings,9.38795%,2725,3.781%,1881,3.612%
20,Stakataka,9.15417%,778,1.079%,635,1.219%
21,Arceus-Fairy,8.39883%,3261,4.524%,2381,4.572%
22,Ferrothorn,7.79991%,5212,7.231%,4281,8.220%
23,Mewtwo-Mega-X,7.59530%,2866,3.976%,2078,3.990%
24,Lunala,7.49652%,2276,3.158%,1585,3.043%
25,Kyurem-White,7.35016%,1635,2.268%,1117,2.145%
26,Giratina,6.36984%,1422,1.973%,1087,2.087%
27,Arceus-Water,6.00200%,2162,3.000%,1607,3.086%
28,Aerodactyl,5.98838%,673,0.934%,615,1.181%
29,Arceus-Dark,5.88780%,1571,2.180%,1201,2.306%
30,Gengar-Mega,5.68550%,6167,8.556%,4356,8.364%
31,Chansey,5.40933%,2041,2.832%,1383,2.655%
32,Mewtwo-Mega-Y,5.15711%,4653,6.456%,3210,6.163%
33,Celesteela,5.12960%,1233,1.711%,961,1.845%
34,Blissey,5.00507%,1273,1.766%,960,1.843%
35,Arceus-Dragon,4.10068%,669,0.928%,527,1.012%
36,Ditto,3.87478%,1745,2.421%,1105,2.122%
37,Rayquaza,3.80931%,4364,6.055%,3113,5.977%
38,Scizor-Mega,3.70885%,1969,2.732%,1522,2.922%
39,Deoxys-Speed,3.55495%,3065,4.252%,2820,5.415%
40,Skarmory,3.15324%,1311,1.819%,1082,2.078%
41,Kyogre,2.28517%,2800,3.885%,1845,3.543%
42,Tapu Fini,2.25781%,588,0.816%,467,0.897%
43,Genesect,2.17850%,1817,2.521%,1325,2.544%
44,Smeargle,1.90945%,1994,2.766%,1732,3.326%
45,Swampert-Mega,1.79981%,1256,1.743%,1037,1.991%
46,Cloyster,1.75099%,1899,2.635%,1402,2.692%
47,Deoxys-Attack,1.72675%,3463,4.805%,2464,4.731%
48,Aegislash,1.71182%,6837,9.486%,4838,9.289%
49,Toxapex,1.67903%,2322,3.222%,1787,3.431%
50,Dugtrio,1.65665%,546,0.758%,406,0.780%
51,Scolipede,1.63397%,859,1.192%,727,1.396%
52,Pyukumuku,1.42172%,320,0.444%,234,0.449%
53,Shedinja,1.41256%,884,1.226%,611,1.173%
54,Darkrai,1.36106%,4708,6.532%,3446,6.617%
55,Mewtwo,1.35691%,1093,1.516%,769,1.477%
56,Blaziken-Mega,1.31776%,4830,6.701%,3509,6.738%
57,Diancie-Mega,1.24574%,1674,2.322%,1379,2.648%
58,Excadrill,1.15566%,1828,2.536%,1455,2.794%
59,Shaymin-Sky,1.15346%,2919,4.050%,1978,3.798%
60,Klefki,1.15194%,1012,1.404%,847,1.626%
61,Lopunny-Mega,1.13208%,1088,1.509%,855,1.642%
62,Zekrom,1.11018%,1404,1.948%,903,1.734%
63,Arceus-Poison,1.10052%,454,0.630%,315,0.605%
64,Gothitelle,1.09930%,384,0.533%,259,0.497%
65,Unown,1.07682%,63,0.087%,30,0.058%
66,Probopass,1.01941%,145,0.201%,125,0.240%
67,Arceus-Flying,1.01170%,584,0.810%,315,0.605%
68,Espeon,1.00630%,1043,1.447%,814,1.563%
69,Tapu Koko,0.86062%,2270,3.149%,1594,3.061%
70,Dialga,0.79023%,1754,2.433%,1261,2.421%
71,Tapu Lele,0.78836%,1332,1.848%,975,1.872%
72,Landorus-Therian,0.74120%,2390,3.316%,1939,3.723%
73,Greninja-Ash,0.73734%,5926,8.222%,4552,8.740%
74,Greninja,0.70670%,3070,4.259%,2337,4.487%
75,Landorus,0.68130%,1154,1.601%,877,1.684%
76,Naganadel,0.65370%,1946,2.700%,1234,2.369%
77,Ribombee,0.65272%,584,0.810%,536,1.029%
78,Arceus-Steel,0.64964%,1164,1.615%,858,1.647%
79,Solgaleo,0.64438%,831,1.153%,595,1.142%
80,Hydreigon,0.63619%,906,1.257%,672,1.290%
81,Kangaskhan-Mega,0.58044%,2439,3.384%,1859,3.569%
82,Arceus-Ghost,0.51996%,603,0.837%,414,0.795%
83,Metagross-Mega,0.51882%,2845,3.947%,2074,3.982%
84,Tyranitar-Mega,0.51749%,966,1.340%,659,1.265%
85,Palkia,0.51507%,1324,1.837%,867,1.665%
86,Slurpuff,0.51188%,318,0.441%,240,0.461%
87,Shuckle,0.44605%,2114,2.933%,1971,3.784%
88,Haxorus,0.43949%,790,1.096%,597,1.146%
89,Blaziken,0.43672%,2309,3.203%,1653,3.174%
90,Magneton,0.42326%,58,0.080%,41,0.079%
91,Arceus-Rock,0.41840%,107,0.148%,90,0.173%
92,Alomomola,0.39152%,169,0.234%,125,0.240%
93,Groudon,0.35267%,380,0.527%,288,0.553%
94,Gliscor,0.35167%,3296,4.573%,2492,4.785%
95,Nihilego,0.34455%,224,0.311%,170,0.326%
96,Reshiram,0.34150%,764,1.060%,517,0.993%
97,Kartana,0.33080%,2015,2.796%,1422,2.730%
98,Dragonite,0.31598%,2172,3.013%,1587,3.047%
99,Tangrowth,0.28317%,504,0.699%,367,0.705%
100,Slowbro-Mega,0.27212%,242,0.336%,179,0.344%
101,Solrock,0.27064%,31,0.043%,28,0.054%
102,Xurkitree,0.22812%,855,1.186%,604,1.160%
103,Roserade,0.22582%,472,0.655%,376,0.722%
104,Magnezone,0.22559%,663,0.920%,490,0.941%
105,Furfrou,0.22331%,23,0.032%,15,0.029%
106,Aggron-Mega,0.22201%,329,0.456%,262,0.503%
107,Gyarados-Mega,0.21270%,706,0.979%,514,0.987%
108,Slaking,0.21268%,293,0.407%,185,0.355%
109,Clefable,0.21252%,836,1.160%,605,1.162%
110,Garchomp,0.18996%,3488,4.839%,2603,4.998%
111,Porygon-Z,0.17985%,680,0.943%,505,0.970%
112,Arceus-Electric,0.16502%,329,0.456%,234,0.449%
113,Aerodactyl-Mega,0.16438%,286,0.397%,217,0.417%
114,Bronzong,0.16038%,193,0.268%,153,0.294%
115,Ludicolo,0.16006%,168,0.233%,122,0.234%
116,Diggersby,0.16006%,198,0.275%,139,0.267%
117,Seismitoad,0.15633%,96,0.133%,70,0.134%
118,Zeraora,0.15371%,971,1.347%,749,1.438%
119,Mimikyu,0.14787%,1972,2.736%,1469,2.821%
120,Milotic,0.14374%,1136,1.576%,856,1.644%
121,Tyranitar,0.13395%,1873,2.599%,1397,2.682%
122,Wobbuffet,0.12768%,752,1.043%,579,1.112%
123,Beedrill-Mega,0.12155%,851,1.181%,599,1.150%
124,Swampert,0.12062%,966,1.340%,796,1.528%
125,Venusaur-Mega,0.10754%,739,1.025%,524,1.006%
126,Omastar,0.10274%,53,0.074%,38,0.073%
127,Spiritomb,0.10204%,368,0.511%,294,0.565%
128,Heatran,0.10084%,938,1.301%,682,1.309%
129,Charizard-Mega-X,0.09862%,2156,2.991%,1641,3.151%
130,Tornadus-Therian,0.09179%,260,0.361%,168,0.323%
131,Serperior,0.08033%,2008,2.786%,1415,2.717%
132,Absol-Mega,0.07865%,206,0.286%,151,0.290%
133,Sharpedo-Mega,0.07858%,169,0.234%,114,0.219%
134,Scizor,0.07436%,1148,1.593%,830,1.594%
135,Arceus-Fire,0.06603%,202,0.280%,148,0.284%
136,Pinsir-Mega,0.06489%,154,0.214%,114,0.219%
137,Weavile,0.06379%,1328,1.842%,984,1.889%
138,Victini,0.06334%,998,1.385%,714,1.371%
139,Zapdos,0.06033%,648,0.899%,451,0.866%
140,Breloom,0.05627%,1068,1.482%,804,1.544%
141,Hippowdon,0.05530%,520,0.721%,453,0.870%
142,Jirachi,0.05443%,699,0.970%,500,0.960%
143,Metagross,0.05367%,1155,1.602%,837,1.607%
144,Mienshao,0.05292%,155,0.215%,118,0.227%
145,Amoonguss,0.05124%,444,0.616%,325,0.624%
146,Arceus-Grass,0.05057%,201,0.279%,129,0.248%
147,Kyurem-Black,0.05011%,428,0.594%,280,0.538%
148,Charizard-Mega-Y,0.04777%,1297,1.799%,935,1.795%
149,Bisharp,0.04656%,952,1.321%,705,1.354%
150,Hoopa-Unbound,0.04479%,684,0.949%,419,0.805%
151,Doublade,0.04033%,129,0.179%,98,0.188%
152,Arcanine,0.03746%,416,0.577%,297,0.570%
153,Quagsire,0.03709%,527,0.731%,389,0.747%
154,Sceptile-Mega,0.03659%,732,1.016%,522,1.002%
155,Umbreon,0.03627%,911,1.264%,670,1.286%
156,Vivillon,0.03564%,200,0.277%,158,0.303%
157,Clamperl,0.03555%,36,0.050%,20,0.038%
158,Blacephalon,0.03507%,461,0.640%,302,0.580%
159,Alakazam,0.03489%,355,0.493%,245,0.470%
160,Arceus-Psychic,0.03449%,90,0.125%,49,0.094%
161,Galvantula,0.03030%,1630,2.261%,1483,2.847%
162,Kommo-o,0.02994%,1012,1.404%,740,1.421%
163,Starmie,0.02897%,170,0.236%,129,0.248%
164,Togekiss,0.02882%,1611,2.235%,1200,2.304%
165,Manaphy,0.02801%,368,0.511%,260,0.499%
166,Cresselia,0.02617%,250,0.347%,171,0.328%
167,Talonflame,0.02609%,1160,1.609%,891,1.711%
168,Lucario,0.02579%,1050,1.457%,787,1.511%
169,Delphox,0.02567%,419,0.581%,297,0.570%
170,Slowbro,0.02540%,286,0.397%,225,0.432%
171,Mandibuzz,0.02531%,224,0.311%,167,0.321%
172,Volcarona,0.02445%,1652,2.292%,1093,2.099%
173,Cinccino,0.02207%,196,0.272%,126,0.242%
174,Medicham-Mega,0.02201%,569,0.789%,432,0.829%
175,Arceus-Ice,0.02167%,143,0.198%,83,0.159%
176,Porygon2,0.02128%,401,0.556%,258,0.495%
177,Latios-Mega,0.02068%,161,0.223%,128,0.246%
178,Typhlosion,0.02036%,381,0.529%,287,0.551%
179,Feraligatr,0.02016%,288,0.400%,242,0.465%
180,Mew,0.01848%,510,0.708%,402,0.772%
181,Staraptor,0.01803%,653,0.906%,449,0.862%
182,Golem,0.01778%,69,0.096%,57,0.109%
183,Zoroark,0.01748%,697,0.967%,324,0.622%
184,Blastoise,0.01745%,237,0.329%,200,0.384%
185,Sylveon,0.01706%,977,1.355%,663,1.273%
186,Volcanion,0.01691%,202,0.280%,157,0.301%
187,Deoxys-Defense,0.01663%,883,1.225%,694,1.333%
188,Jolteon,0.01622%,558,0.774%,405,0.778%
189,Electrode,0.01544%,105,0.146%,92,0.177%
190,Rotom-Heat,0.01521%,386,0.536%,296,0.568%
