Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Dracovish,29.41097,2308,12.658,772,25.368
2,Tapu-Fini,26.05142,1069,5.863,205,6.736
3,Sableye,24.27506,1046,5.737,342,11.238
4,Moltres-Galar,21.59269,758,4.157,38,1.249
5,Rillaboom,20.40500,1256,6.888,308,10.121
6,Incineroar,18.00715,1852,10.157,460,15.116
7,Regieleki,12.66722,1453,7.969,291,9.562
8,Dragapult,12.10202,1621,8.890,427,14.031
9,Volcanion,10.93288,562,3.082,134,4.403
10,Zygarde,9.99332,434,2.380,140,4.600
11,Genesect,9.91094,574,3.148,126,4.140
12,Indeedee-F,8.30023,1011,5.545,264,8.675
13,Zeraora,6.72066,1068,5.857,219,7.196
14,Landorus,6.65272,290,1.590,93,3.056
15,Gastrodon,6.26963,1706,9.356,514,16.890
16,Indeedee,5.96812,421,2.309,89,2.925
17,Talonflame,5.79138,395,2.166,100,3.286
18,Weezing-Galar,5.40110,611,3.351,181,5.948
19,Kyurem-Black,5.31775,764,4.190,295,9.694
20,Naganadel,5.16495,195,1.069,62,2.037
21,Clefairy,5.07079,252,1.382,90,2.957
22,Tapu-Koko,4.76931,371,2.035,92,3.023
23,Mimikyu,4.30844,487,2.671,217,7.131
24,Victini,3.96282,637,3.493,169,5.553
25,Landorus-Therian,3.75919,825,4.525,192,6.309
26,Blacephalon,3.37500,409,2.243,152,4.995
27,Zapdos,3.33843,319,1.749,86,2.826
28,Heatran,3.18520,728,3.993,150,4.929
29,Porygon2,3.14523,531,2.912,150,4.929
30,Metagross,3.12539,880,4.826,203,6.671
31,Venusaur,3.05496,555,3.044,182,5.981
32,Charizard,3.04661,698,3.828,196,6.441
33,Zapdos-Galar,3.03008,267,1.464,70,2.300
34,Pheromosa,2.91217,149,0.817,32,1.052
35,Tyranitar,2.71728,1073,5.885,238,7.821
36,Garchomp,2.66919,799,4.382,199,6.539
37,Seismitoad,2.56881,315,1.728,49,1.610
38,Torkoal,2.56075,971,5.325,240,7.887
39,Corsola-Galar,2.54797,271,1.486,13,0.427
40,Regidrago,2.52549,218,1.196,68,2.235
41,Weavile,2.46642,267,1.464,83,2.727
42,Exeggutor-Alola,2.46262,79,0.433,27,0.887
43,Cinderace,2.35637,531,2.912,123,4.042
44,Thundurus,2.15778,121,0.664,6,0.197
45,Celesteela,2.15384,328,1.799,82,2.695
46,Oranguru,1.88322,314,1.722,133,4.370
47,Togekiss,1.85502,641,3.515,224,7.361
48,Mew,1.83487,885,4.854,252,8.281
49,Amoonguss,1.80437,1042,5.715,226,7.426
50,Pelipper,1.60030,719,3.943,142,4.666
51,Toxtricity,1.48351,201,1.102,76,2.497
52,Leafeon,1.40063,108,0.592,26,0.854
53,Dragonite,1.31625,354,1.941,94,3.089
54,Diancie,1.27112,371,2.035,109,3.582
55,Clefable,1.26701,429,2.353,134,4.403
56,Hatterene,1.23552,530,2.907,173,5.685
57,Kartana,1.21154,298,1.634,91,2.990
58,Arcanine,1.17305,218,1.196,33,1.084
59,Excadrill,1.12694,278,1.525,78,2.563
60,Ninetales-Alola,1.07259,557,3.055,137,4.502
61,Dusclops,1.06071,326,1.788,115,3.779
62,Tsareena,0.94127,325,1.782,87,2.859
63,Politoed,0.91621,317,1.739,88,2.892
64,Greedent,0.90701,100,0.548,21,0.690
65,Suicune,0.90058,51,0.280,9,0.296
66,Arctozolt,0.89260,74,0.406,44,1.446
67,Krookodile,0.87480,191,1.047,43,1.413
68,Ferrothorn,0.85525,421,2.309,108,3.549
69,Stakataka,0.84597,423,2.320,120,3.943
70,Kingdra,0.83472,228,1.250,72,2.366
71,Hawlucha,0.82911,147,0.806,37,1.216
72,Cloyster,0.82732,155,0.850,42,1.380
73,Darmanitan-Galar,0.80791,101,0.554,26,0.854
74,Piloswine,0.77041,20,0.110,0,0.000
75,Grimmsnarl,0.77026,390,2.139,106,3.483
76,Dracozolt,0.73965,214,1.174,62,2.037
77,Spectrier,0.70475,27,0.148,10,0.329
78,Mr.-Mime,0.68803,104,0.570,36,1.183
79,Lucario,0.63332,334,1.832,83,2.727
80,Primarina,0.63314,280,1.536,103,3.385
81,Nihilego,0.62807,55,0.302,9,0.296
82,Milotic,0.59111,288,1.579,75,2.465
83,Exploud,0.57313,65,0.356,18,0.591
84,Noivern,0.57262,67,0.367,28,0.920
85,Wailord,0.56573,42,0.230,16,0.526
86,Hippowdon,0.56516,152,0.834,51,1.676
87,Conkeldurr,0.56129,74,0.406,10,0.329
88,Blaziken,0.55936,312,1.711,73,2.399
89,Coalossal,0.55325,298,1.634,67,2.202
90,Gigalith,0.54236,104,0.570,23,0.756
91,Durant,0.53613,111,0.609,17,0.559
92,Gardevoir,0.52716,280,1.536,59,1.939
93,Chandelure,0.50130,94,0.516,16,0.526
94,Roserade,0.47446,56,0.307,17,0.559
95,Grapploct,0.40657,72,0.395,18,0.591
96,Shuckle,0.38672,319,1.749,98,3.220
97,Sylveon,0.38521,230,1.261,69,2.267
98,Cinccino,0.38166,122,0.669,39,1.282
99,Kommo-o,0.35851,172,0.943,46,1.512
100,Blastoise,0.35770,333,1.826,91,2.990
101,Shedinja,0.35096,692,3.795,171,5.619
102,Polteageist,0.35068,69,0.378,20,0.657
103,Aerodactyl,0.35022,103,0.565,23,0.756
104,Tornadus-Therian,0.33464,32,0.175,3,0.099
