Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Scizor,51.28845,79,31.102,41,34.746
2,Garchomp,44.88876,81,31.890,36,30.508
3,Cresselia,44.00019,42,16.535,20,16.949
4,Togekiss,35.62676,70,27.559,28,23.729
5,Heatran,33.48511,68,26.772,31,26.271
6,Hitmontop,33.40588,50,19.685,21,17.797
7,Arcanine,16.42658,47,18.504,18,15.254
8,Tyranitar,16.41852,48,18.898,22,18.644
9,Gastrodon,15.62116,43,16.929,22,18.644
10,Latios,15.62116,35,13.780,11,9.322
11,Rotom-Wash,10.59563,24,9.449,13,11.017
12,Ninetales,10.59497,5,1.969,2,1.695
13,Charizard,10.59497,9,3.543,3,2.542
14,Meganium,10.59497,6,2.362,2,1.695
15,Raikou,9.09664,48,18.898,22,18.644
16,Roserade,6.60375,5,1.969,1,0.847
17,Azumarill,3.81837,28,11.024,15,12.712
18,Kingdra,3.77967,19,7.480,9,7.627
19,Pelipper,3.02101,20,7.874,9,7.627
20,Drifblim,2.26206,11,4.331,3,2.542
21,Persian,2.26206,9,3.543,2,1.695
22,Ditto,2.26206,5,1.969,3,2.542
23,Altaria,2.14332,14,5.512,5,4.237
24,Electrode,1.51760,1,0.394,1,0.847
25,Empoleon,1.51760,4,1.575,2,1.695
26,Armaldo,1.51760,3,1.181,2,1.695
27,Pachirisu,1.50667,4,1.575,1,0.847
28,Breloom,1.50341,44,17.323,18,15.254
29,Clefable,1.50341,12,4.724,5,4.237
30,Abomasnow,0.71813,12,4.724,6,5.085
31,Drapion,0.20603,5,1.969,3,2.542
32,Spiritomb,0.08729,2,0.787,0,0.000
33,Ambipom,0.08729,13,5.118,5,4.237
34,Gyarados,0.08729,16,6.299,8,6.780
35,Tangrowth,0.07922,21,8.268,15,12.712
36,Tauros,0.00326,8,3.150,4,3.390
37,Froslass,0.00326,8,3.150,4,3.390
38,Gardevoir,0.00326,12,4.724,7,5.932
39,Zapdos,0.00326,8,3.150,5,4.237
40,Exeggutor,0.00066,9,3.543,3,2.542
41,Azelf,0.00066,13,5.118,6,5.085
42,Porygon-Z,0.00000,3,1.181,3,2.542
43,Weezing,0.00000,10,3.937,7,5.932
44,Bronzong,0.00000,23,9.055,9,7.627
45,Delcatty,0.00000,1,0.394,0,0.000
46,Snorlax,0.00000,4,1.575,1,0.847
47,Uxie,0.00000,3,1.181,3,2.542
