Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Heatran,56.14901,1564,13.846,1004,13.269
2,Torkoal,54.69669,1056,9.348,752,9.939
3,Darkrai,54.46330,726,6.427,487,6.436
4,Crobat,51.31861,534,4.727,328,4.335
5,Venusaur,50.57373,615,5.444,408,5.392
6,Garchomp,49.52726,3456,30.595,2269,29.987
7,Gastrodon,21.42478,1396,12.358,983,12.991
8,Tyranitar,20.42020,1820,16.112,1225,16.190
9,Dragonite,18.48046,420,3.718,267,3.529
10,Hariyama,17.86933,600,5.312,406,5.366
11,Deoxys-Speed,17.07872,306,2.709,179,2.366
12,Houndoom,14.83757,146,1.292,97,1.282
13,Togekiss,11.83210,2824,25.000,1819,24.040
14,Salamence,10.41601,939,8.313,655,8.657
15,Latios,8.33630,670,5.931,420,5.551
16,Rotom-Wash,7.90187,1238,10.960,839,11.088
17,Suicune,7.20886,440,3.895,307,4.057
18,Scizor,6.91811,1859,16.457,1253,16.560
19,Breloom,6.50499,1669,14.775,1156,15.278
20,Arcanine,5.85605,1643,14.545,1171,15.476
21,Cresselia,5.30513,1350,11.951,963,12.727
22,Hitmontop,5.25316,1100,9.738,801,10.586
23,Electivire,4.84418,349,3.090,218,2.881
24,Entei,4.71662,444,3.931,300,3.965
25,Raikou,4.23407,463,4.099,325,4.295
26,Mamoswine,4.09753,334,2.957,210,2.775
27,Blissey,3.99503,201,1.779,146,1.930
28,Abomasnow,3.14191,519,4.595,330,4.361
29,Gyarados,3.10023,1215,10.756,838,11.075
30,Bronzong,2.88454,642,5.683,415,5.485
31,Azumarill,2.78835,970,8.587,666,8.802
32,Politoed,2.46409,755,6.684,514,6.793
33,Deoxys-Attack,2.42482,246,2.178,165,2.181
34,Honchkrow,2.20427,63,0.558,46,0.608
35,Cherrim,2.19952,71,0.629,52,0.687
36,Metagross,2.17048,410,3.630,278,3.674
37,Milotic,2.14376,812,7.188,528,6.978
38,Weavile,2.08250,702,6.215,441,5.828
39,Kingdra,2.00042,813,7.197,575,7.599
40,Butterfree,1.91437,159,1.408,96,1.269
41,Pelipper,1.88404,944,8.357,625,8.260
42,Slowking,1.84632,211,1.868,138,1.824
43,Typhlosion,1.72140,401,3.550,262,3.463
44,Weezing,1.71796,432,3.824,305,4.031
45,Snorlax,1.71760,273,2.417,176,2.326
46,Rhyperior,1.68871,255,2.257,190,2.511
47,Sableye,1.65364,985,8.720,523,6.912
48,Nidoqueen,1.54208,149,1.319,106,1.401
49,Ludicolo,1.42187,645,5.710,459,6.066
50,Clefable,1.37240,788,6.976,595,7.864
51,Exeggutor,1.22913,174,1.540,113,1.493
52,Armaldo,1.20092,135,1.195,101,1.335
53,Dusknoir,1.17959,195,1.726,114,1.507
54,Celebi,1.12790,180,1.593,121,1.599
55,Cradily,1.10578,841,7.445,632,8.353
56,Porygon-Z,0.91064,243,2.151,167,2.207
57,Slaking,0.89776,370,3.275,216,2.855
58,Machamp,0.86482,68,0.602,59,0.780
59,Staraptor,0.82614,229,2.027,166,2.194
60,Drapion,0.82023,221,1.956,154,2.035
61,Infernape,0.77060,824,7.295,565,7.467
62,Torterra,0.66041,159,1.408,107,1.414
63,Stantler,0.57353,196,1.735,125,1.652
64,Jolteon,0.56207,165,1.461,110,1.454
65,Aerodactyl,0.55382,144,1.275,98,1.295
66,Gengar,0.54811,642,5.683,460,6.079
67,Ninetales,0.53441,529,4.683,356,4.705
68,Azelf,0.53208,213,1.886,139,1.837
69,Ampharos,0.50005,170,1.505,131,1.731
70,Rotom-Frost,0.47423,123,1.089,83,1.097
71,Bellossom,0.45557,266,2.355,189,2.498
72,Gardevoir,0.43927,1037,9.180,713,9.423
73,Latias,0.41110,308,2.727,211,2.789
74,Quagsire,0.39687,72,0.637,46,0.608
75,Kabutops,0.36488,56,0.496,40,0.529
76,Gliscor,0.35597,594,5.258,408,5.392
77,Meganium,0.34737,139,1.231,98,1.295
78,Raichu,0.33271,980,8.676,701,9.265
79,Shaymin-Sky,0.33078,191,1.691,125,1.652
80,Charizard,0.32349,243,2.151,165,2.181
81,Blastoise,0.31781,293,2.594,200,2.643
82,Regirock,0.30232,48,0.425,33,0.436
83,Lucario,0.30078,629,5.568,405,5.353
84,Hippowdon,0.28754,103,0.912,64,0.846
85,Zapdos,0.28069,810,7.171,590,7.798
86,Luxray,0.27390,122,1.080,90,1.189
87,Manaphy,0.27236,150,1.328,96,1.269
88,Roserade,0.26298,257,2.275,170,2.247
89,Pachirisu,0.25535,303,2.682,199,2.630
90,Tangrowth,0.24325,214,1.894,156,2.062
91,Kangaskhan,0.21663,82,0.726,44,0.582
92,Regice,0.20340,43,0.381,33,0.436
93,Mawile,0.20320,77,0.682,49,0.648
94,Dusclops,0.20318,30,0.266,17,0.225
95,Empoleon,0.20216,574,5.081,358,4.731
96,Octillery,0.19850,309,2.735,173,2.286
97,Rotom-Mow,0.19357,72,0.637,52,0.687
98,Floatzel,0.17844,97,0.859,59,0.780
99,Golduck,0.16396,38,0.336,24,0.317
100,Exploud,0.16160,35,0.310,27,0.357
101,Murkrow,0.14468,135,1.195,75,0.991
102,Crawdaunt,0.14150,113,1.000,76,1.004
103,Poliwrath,0.13490,121,1.071,78,1.031
104,Feraligatr,0.13484,128,1.133,89,1.176
105,Deoxys-Defense,0.13281,473,4.187,314,4.150
106,Vaporeon,0.13270,229,2.027,164,2.167
107,Mismagius,0.13235,223,1.974,148,1.956
108,Rampardos,0.13048,112,0.992,74,0.978
109,Umbreon,0.12526,248,2.195,165,2.181
110,Cloyster,0.11644,259,2.293,184,2.432
111,Marowak,0.10715,96,0.850,70,0.925
112,Seaking,0.09903,26,0.230,17,0.225
113,Sharpedo,0.09673,26,0.230,15,0.198
114,Espeon,0.09672,152,1.346,112,1.480
115,Electrode,0.09169,59,0.522,29,0.383
116,Kecleon,0.08442,317,2.806,241,3.185
117,Ambipom,0.08179,250,2.213,175,2.313
118,Lumineon,0.08058,94,0.832,70,0.925
119,Articuno,0.07739,57,0.505,35,0.463
120,Aggron,0.07183,85,0.752,58,0.767
121,Regigigas,0.06805,180,1.593,95,1.256
122,Vileplume,0.06662,73,0.646,64,0.846
123,Lickilicky,0.05792,40,0.354,19,0.251
124,Donphan,0.04975,64,0.567,45,0.595
125,Moltres,0.04969,66,0.584,36,0.476
126,Glaceon,0.04872,193,1.709,142,1.877
127,Walrein,0.03852,19,0.168,12,0.159
128,Rotom-Heat,0.03803,233,2.063,178,2.352
129,Mew,0.03688,139,1.231,92,1.216
130,Parasect,0.03486,143,1.266,100,1.322
131,Mesprit,0.03197,27,0.239,22,0.291
132,Alakazam,0.03174,143,1.266,91,1.203
133,Linoone,0.02783,26,0.230,13,0.172
134,Xatu,0.02529,66,0.584,46,0.608
135,Ursaring,0.02507,197,1.744,139,1.837
136,Blaziken,0.02496,237,2.098,158,2.088
137,Gallade,0.02332,296,2.620,248,3.278
138,Altaria,0.02222,63,0.558,48,0.634
139,Girafarig,0.01976,87,0.770,65,0.859
140,Aron,0.01855,110,0.974,36,0.476
141,Tropius,0.01769,12,0.106,9,0.119
142,Illumise,0.01763,42,0.372,28,0.370
143,Shuckle,0.01755,226,2.001,146,1.930
144,Sceptile,0.01741,97,0.859,64,0.846
145,Jirachi,0.01709,139,1.231,81,1.071
146,Arbok,0.01329,67,0.593,45,0.595
147,Starmie,0.01169,69,0.611,48,0.634
148,Zangoose,0.01112,106,0.938,85,1.123
149,Uxie,0.01058,66,0.584,43,0.568
150,Magnezone,0.01051,180,1.593,139,1.837
151,Leafeon,0.01006,99,0.876,74,0.978
152,Jumpluff,0.00810,97,0.859,61,0.806
153,Cacturne,0.00687,118,1.045,77,1.018
154,Nidoking,0.00681,257,2.275,155,2.049
155,Slowbro,0.00592,68,0.602,47,0.621
156,Ditto,0.00591,50,0.443,38,0.502
157,Spiritomb,0.00564,99,0.876,61,0.806
158,Medicham,0.00557,46,0.407,26,0.344
159,Qwilfish,0.00546,11,0.097,7,0.093
160,Bastiodon,0.00537,33,0.292,16,0.211
