Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mankey,83.60672,6,11.111,4,9.877
2,Snubbull,83.60672,2,3.704,1,2.469
3,Squirtle,83.60672,1,1.852,0,0.000
4,Ponyta,83.60672,5,9.259,3,7.407
5,Meowth,83.60672,2,3.704,2,4.938
6,Natu,83.60672,2,3.704,2,4.938
7,Mareep,0.00000,1,1.852,0,0.000
8,Buneary,0.00000,1,1.852,1,2.469
9,Duskull,0.00000,6,11.111,6,14.815
10,Growlithe,0.00000,1,1.852,1,2.469
11,Eevee,0.00000,1,1.852,1,2.469
12,Aron,0.00000,7,12.963,6,14.815
13,Swinub,0.00000,1,1.852,1,2.469
14,Omanyte,0.00000,7,12.963,5,12.346
15,Slowpoke,0.00000,1,1.852,1,2.469
16,Diglett,0.00000,12,22.222,11,27.160
17,Magnemite,0.00000,5,9.259,3,7.407
18,Koffing,0.00000,2,3.704,2,4.938
19,Shellder,0.00000,2,3.704,1,2.469
20,Dratini,0.00000,8,14.815,7,17.284
21,Houndour,0.00000,2,3.704,1,2.469
22,Corphish,0.00000,2,3.704,2,4.938
23,Hippopotas,0.00000,2,3.704,2,4.938
24,Shieldon,0.00000,3,5.556,2,4.938
25,Piplup,0.00000,1,1.852,1,2.469
26,Bulbasaur,0.00000,2,3.704,2,4.938
27,Abra,0.00000,13,24.074,10,24.691
28,Doduo,0.00000,6,11.111,4,9.877
29,Magikarp,0.00000,1,1.852,1,2.469
30,Geodude,0.00000,1,1.852,1,2.469
31,Rattata,0.00000,2,3.704,2,4.938
32,Croagunk,0.00000,5,9.259,2,4.938
33,Tyrogue,0.00000,2,3.704,2,4.938
34,Bellsprout,0.00000,5,9.259,2,4.938
35,Mime-Jr.,0.00000,1,1.852,0,0.000
36,Nosepass,0.00000,1,1.852,1,2.469
37,Totodile,0.00000,3,5.556,2,4.938
38,Poliwag,0.00000,1,1.852,0,0.000
39,Spearow,0.00000,1,1.852,1,2.469
40,Chimchar,0.00000,4,7.407,3,7.407
41,Trapinch,0.00000,7,12.963,4,9.877
42,Gible,0.00000,1,1.852,1,2.469
43,Ekans,0.00000,1,1.852,1,2.469
44,Wooper,0.00000,1,1.852,0,0.000
45,Voltorb,0.00000,1,1.852,1,2.469
46,Lileep,0.00000,1,1.852,1,2.469
47,Teddiursa,0.00000,7,12.963,5,12.346
48,Elekid,0.00000,6,11.111,3,7.407
49,Zigzagoon,0.00000,5,9.259,2,4.938
50,Smoochum,0.00000,4,7.407,4,9.877
51,Anorith,0.00000,1,1.852,1,2.469
52,Lickitung,0.00000,1,1.852,1,2.469
53,Taillow,0.00000,4,7.407,3,7.407
54,Aipom,0.00000,11,20.370,10,24.691
55,Gastly,0.00000,6,11.111,4,9.877
56,Combee,0.00000,1,1.852,1,2.469
57,Pidgey,0.00000,1,1.852,0,0.000
58,Porygon,0.00000,3,5.556,3,7.407
59,Drifloon,0.00000,13,24.074,10,24.691
60,Sandshrew,0.00000,2,3.704,2,4.938
61,Carvanha,0.00000,6,11.111,5,12.346
62,Shroomish,0.00000,7,12.963,7,17.284
63,Spoink,0.00000,1,1.852,1,2.469
64,Stunky,0.00000,2,3.704,1,2.469
65,Bronzor,0.00000,2,3.704,2,4.938
66,Krabby,0.00000,1,1.852,1,2.469
67,Skitty,0.00000,1,1.852,1,2.469
68,NidoranF,0.00000,3,5.556,3,7.407
69,Finneon,0.00000,4,7.407,4,9.877
70,Hoppip,0.00000,2,3.704,2,4.938
71,Charmander,0.00000,1,1.852,0,0.000
72,NidoranM,0.00000,1,1.852,1,2.469
73,Togepi,0.00000,1,1.852,1,2.469
74,Magby,0.00000,2,3.704,2,4.938
75,Bidoof,0.00000,5,9.259,1,2.469
76,Poochyena,0.00000,1,1.852,1,2.469
77,Clamperl,0.00000,4,7.407,4,9.877
78,Venonat,0.00000,2,3.704,2,4.938
79,Machop,0.00000,2,3.704,2,4.938
80,Spinarak,0.00000,1,1.852,1,2.469
81,Cacnea,0.00000,3,5.556,3,7.407
82,Horsea,0.00000,2,3.704,0,0.000
83,Cranidos,0.00000,16,29.630,11,27.160
84,Numel,0.00000,1,1.852,1,2.469
85,Buizel,0.00000,6,11.111,4,9.877
86,Cyndaquil,0.00000,3,5.556,2,4.938
87,Chinchou,0.00000,5,9.259,5,12.346
88,Torchic,0.00000,1,1.852,0,0.000
89,Gulpin,0.00000,1,1.852,0,0.000
90,Cubone,0.00000,2,3.704,2,4.938
91,Drowzee,0.00000,2,3.704,2,4.938
92,Onix,0.00000,4,7.407,3,7.407
93,Shinx,0.00000,1,1.852,1,2.469
94,Riolu,0.00000,4,7.407,4,9.877
95,Bagon,0.00000,5,9.259,4,9.877
96,Wingull,0.00000,4,7.407,2,4.938
97,Grimer,0.00000,1,1.852,1,2.469
