Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Quagsire,75.33129,25,6.579,22,8.103
2,Gyarados,71.87390,21,5.526,11,4.052
3,Empoleon,71.25930,32,8.421,25,9.208
4,Crawdaunt,71.24958,25,6.579,17,6.262
5,Slowbro,71.24958,6,1.579,4,1.473
6,Rotom-Wash,71.24958,27,7.105,22,8.103
7,Scizor,15.52318,28,7.368,22,8.103
8,Shuckle,15.51346,10,2.632,9,3.315
9,Heracross,15.51346,33,8.684,26,9.576
10,Masquerain,15.51338,9,2.368,6,2.210
11,Pinsir,15.51338,4,1.053,4,1.473
12,Armaldo,15.51338,12,3.158,10,3.683
13,Latias,6.43369,49,12.895,28,10.313
14,Metagross,6.21805,39,10.263,23,8.471
15,Espeon,6.20833,28,7.368,21,7.735
16,Gardevoir,5.02590,34,8.947,17,6.262
17,Slowking,5.02590,17,4.474,14,5.157
18,Jirachi,5.02590,27,7.105,23,8.471
19,Gliscor,4.70604,52,13.684,40,14.733
20,Garchomp,4.30708,40,10.526,30,11.050
21,Donphan,4.08172,8,2.105,5,1.842
22,Mamoswine,4.08172,24,6.316,20,7.366
23,Hippowdon,4.08172,15,3.947,13,4.788
24,Gallade,3.26935,30,7.895,20,7.366
25,Lucario,2.09664,49,12.895,38,13.996
26,Poliwrath,2.08692,21,5.526,15,5.525
27,Infernape,2.08692,40,10.526,30,11.050
28,Hariyama,2.08692,17,4.474,15,5.525
29,Hitmonchan,2.08692,15,3.947,12,4.420
30,Starmie,1.18243,27,7.105,14,5.157
31,Mew,1.18243,5,1.316,1,0.368
32,Salamence,0.84968,28,7.368,13,4.788
33,Dragonite,0.84968,31,8.158,17,6.262
34,Aerodactyl,0.62432,22,5.789,15,5.525
35,Togekiss,0.62432,28,7.368,21,7.735
36,Flygon,0.22536,17,4.474,11,4.052
37,Kingdra,0.22536,24,6.316,15,5.525
38,Magnezone,0.00972,26,6.842,15,5.525
39,Heatran,0.00972,21,5.526,16,5.893
40,Slaking,0.00059,10,2.632,5,1.842
41,Porygon-Z,0.00035,24,6.316,13,4.788
42,Zangoose,0.00035,14,3.684,9,3.315
43,Ambipom,0.00035,13,3.421,11,4.052
44,Lopunny,0.00035,4,1.053,2,0.737
45,Chatot,0.00035,1,0.263,1,0.368
46,Staraptor,0.00023,29,7.632,20,7.366
47,Tauros,0.00023,7,1.842,7,2.578
48,Wigglytuff,0.00023,4,1.053,4,1.473
49,Girafarig,0.00023,3,0.789,3,1.105
50,Bibarel,0.00023,7,1.842,5,1.842
51,Volbeat,0.00009,2,0.526,1,0.368
52,Forretress,0.00007,7,1.842,5,1.842
53,Shedinja,0.00007,9,2.368,7,2.578
54,Beedrill,0.00002,1,0.263,1,0.368
55,Yanmega,0.00002,18,4.737,12,4.420
56,Milotic,0.00001,9,2.368,6,2.210
57,Mantine,0.00001,7,1.842,4,1.473
58,Lanturn,0.00001,13,3.421,10,3.683
59,Tentacruel,0.00001,13,3.421,9,3.315
60,Weezing,0.00000,4,1.053,4,1.473
61,Bronzong,0.00000,4,1.053,4,1.473
62,Delcatty,0.00000,3,0.789,2,0.737
63,Charizard,0.00000,3,0.789,3,1.105
64,Roserade,0.00000,13,3.421,8,2.947
65,Mightyena,0.00000,1,0.263,1,0.368
