Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Skuntank,68.38818,18,15.254,15,15.358
2,Drifblim,68.33993,9,7.627,6,6.143
3,Scyther,68.10185,21,17.797,14,14.334
4,Rhydon,67.81600,16,13.559,14,14.334
5,Miltank,67.81600,16,13.559,15,15.358
6,Magneton,67.81600,4,3.390,3,3.072
7,Hitmonlee,31.12979,20,16.949,18,18.430
8,Gligar,30.31513,22,18.644,19,19.454
9,Rampardos,30.31513,3,2.542,2,2.048
10,Leafeon,30.31513,2,1.695,1,1.024
11,Lumineon,30.31513,1,0.847,1,1.024
12,Sneasel,30.31513,4,3.390,3,3.072
13,Ursaring,0.83821,36,30.508,31,31.741
14,Qwilfish,0.82041,18,15.254,18,18.430
15,Typhlosion,0.74947,47,39.831,41,41.980
16,Sandslash,0.73578,24,20.339,22,22.526
17,Seviper,0.57219,4,3.390,4,4.096
18,Jynx,0.57219,17,14.407,14,14.334
19,Absol,0.53456,16,13.559,8,8.191
20,Mr.-Mime,0.53456,18,15.254,8,8.191
21,Gorebyss,0.52881,12,10.169,10,10.239
22,Whiscash,0.52881,2,1.695,2,2.048
23,Cradily,0.28585,13,11.017,10,10.239
24,Abomasnow,0.28146,12,10.169,11,11.263
25,Poliwrath,0.24459,7,5.932,7,7.167
26,Politoed,0.24357,2,1.695,2,2.048
27,Wailord,0.23808,2,1.695,1,1.024
28,Rapidash,0.23808,2,1.695,2,2.048
29,Armaldo,0.23808,2,1.695,2,2.048
30,Porygon2,0.20122,2,1.695,0,0.000
31,Kingler,0.20122,5,4.237,4,4.096
32,Shuckle,0.20122,11,9.322,9,9.215
33,Regirock,0.04337,10,8.475,10,10.239
34,Pinsir,0.02328,7,5.932,6,6.143
35,Raichu,0.01780,6,5.085,4,4.096
36,Ditto,0.01780,14,11.864,12,12.287
37,Mothim,0.01780,1,0.847,1,1.024
38,Charizard,0.01780,5,4.237,3,3.072
39,Weezing,0.01370,13,11.017,11,11.263
40,Walrein,0.01370,1,0.847,1,1.024
41,Lopunny,0.01370,1,0.847,1,1.024
42,Regice,0.01370,3,2.542,3,3.072
43,Electivire,0.01370,19,16.102,14,14.334
44,Muk,0.00548,1,0.847,1,1.024
45,Lickilicky,0.00548,1,0.847,1,1.024
46,Probopass,0.00548,1,0.847,1,1.024
47,Rotom-Fan,0.00548,1,0.847,1,1.024
48,Corsola,0.00000,2,1.695,2,2.048
49,Kadabra,0.00000,3,2.542,3,3.072
50,Beedrill,0.00000,1,0.847,1,1.024
51,Farfetch'd,0.00000,1,0.847,1,1.024
52,Mesprit,0.00000,14,11.864,14,14.334
53,Lapras,0.00000,2,1.695,1,1.024
54,Altaria,0.00000,1,0.847,1,1.024
55,Noctowl,0.00000,1,0.847,1,1.024
56,Articuno,0.00000,1,0.847,1,1.024
57,Golem,0.00000,3,2.542,3,3.072
58,Kangaskhan,0.00000,11,9.322,9,9.215
59,Huntail,0.00000,2,1.695,1,1.024
60,Piloswine,0.00000,7,5.932,6,6.143
61,Arbok,0.00000,1,0.847,1,1.024
62,Glaceon,0.00000,2,1.695,1,1.024
63,Wigglytuff,0.00000,1,0.847,0,0.000
64,Dusknoir,0.00000,16,13.559,15,15.358
65,Bellossom,0.00000,7,5.932,4,4.096
66,Lanturn,0.00000,33,27.966,29,29.693
67,Beautifly,0.00000,2,1.695,2,2.048
68,Slaking,0.00000,1,0.847,1,1.024
69,Toxicroak,0.00000,15,12.712,11,11.263
70,Masquerain,0.00000,4,3.390,4,4.096
71,Magcargo,0.00000,2,1.695,1,1.024
72,Dustox,0.00000,1,0.847,0,0.000
73,Yanma,0.00000,1,0.847,1,1.024
74,Jumpluff,0.00000,1,0.847,1,1.024
75,Combusken,0.00000,4,3.390,2,2.048
76,Bastiodon,0.00000,1,0.847,1,1.024
77,Metang,0.00000,1,0.847,1,1.024
78,Victreebel,0.00000,3,2.542,3,3.072
79,Furret,0.00000,1,0.847,1,1.024
80,Pidgeot,0.00000,1,0.847,1,1.024
81,Golbat,0.00000,2,1.695,2,2.048
82,Chimecho,0.00000,6,5.085,6,6.143
83,Dodrio,0.00000,2,1.695,2,2.048
84,Persian,0.00000,2,1.695,2,2.048
85,Floatzel,0.00000,1,0.847,1,1.024
86,Electrode,0.00000,2,1.695,2,2.048
87,Grumpig,0.00000,3,2.542,3,3.072
88,Smeargle,0.00000,4,3.390,4,4.096
89,Solrock,0.00000,5,4.237,4,4.096
90,Manectric,0.00000,6,5.085,5,5.119
91,Illumise,0.00000,1,0.847,1,1.024
92,Clamperl,0.00000,1,0.847,1,1.024
93,Kricketune,0.00000,2,1.695,2,2.048
94,Dewgong,0.00000,1,0.847,1,1.024
95,Shiftry,0.00000,9,7.627,6,6.143
96,Ludicolo,0.00000,14,11.864,12,12.287
97,Sudowoodo,0.00000,1,0.847,0,0.000
98,Ninetales,0.00000,2,1.695,2,2.048
99,Dunsparce,0.00000,1,0.847,1,1.024
100,Murkrow,0.00000,4,3.390,4,4.096
101,Camerupt,0.00000,2,1.695,1,1.024
102,Rotom-Frost,0.00000,9,7.627,8,8.191
103,Ariados,0.00000,1,0.847,1,1.024
104,Wormadam-Sandy,0.00000,1,0.847,0,0.000
105,Shedinja,0.00000,2,1.695,2,2.048
106,Sunflora,0.00000,1,0.847,1,1.024
107,Volbeat,0.00000,1,0.847,1,1.024
