Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Clefable,53.80544,21728,17.033,16815,16.493
2,Gliscor,52.65144,34057,26.698,28470,27.925
3,Tangrowth,47.00302,14051,11.015,11392,11.174
4,Heatran,46.10886,23790,18.649,19889,19.508
5,Blissey,45.27536,13969,10.950,11407,11.189
6,Slowbro,31.94751,4622,3.623,3746,3.674
7,Scizor,27.52572,37328,29.262,30599,30.013
8,Rotom-Wash,21.01280,26340,20.648,23562,23.111
9,Infernape,19.03296,27035,21.193,21385,20.975
10,Garchomp,18.39622,30665,24.039,23629,23.176
11,Jirachi,13.91940,6078,4.765,5077,4.980
12,Latias,13.82202,17965,14.083,13643,13.382
13,Starmie,13.13113,15835,12.413,12633,12.391
14,Lucario,12.74555,12628,9.899,9341,9.162
15,Donphan,11.93911,10687,8.378,9185,9.009
16,Roserade,9.15430,6636,5.202,5362,5.259
17,Azumarill,8.70501,13312,10.435,10709,10.504
18,Breloom,8.59305,22291,17.474,17140,16.812
19,Mismagius,8.33916,5317,4.168,4075,3.997
20,Crawdaunt,6.94782,12122,9.503,9498,9.316
21,Milotic,6.88864,6076,4.763,4953,4.858
22,Azelf,6.34517,11310,8.866,10168,9.973
23,Suicune,6.33712,2741,2.149,2298,2.254
24,Skarmory,6.14531,10496,8.228,9182,9.006
25,Honchkrow,6.06232,1515,1.188,1124,1.102
26,Dragonite,5.79699,16858,13.215,12101,11.869
27,Nidoking,5.08117,11540,9.046,8638,8.473
28,Alakazam,4.93209,17141,13.437,12175,11.942
29,Mew,4.74114,5430,4.257,4677,4.587
30,Celebi,4.55926,3506,2.748,2937,2.881
31,Togekiss,4.51879,14776,11.583,11270,11.054
32,Tyranitar,4.04727,11935,9.356,9644,9.459
33,Weavile,3.92352,15484,12.138,11619,11.396
34,Magnezone,3.53501,12481,9.784,10070,9.877
35,Metagross,3.04252,2878,2.256,2357,2.312
36,Quagsire,3.02991,4601,3.607,3780,3.708
37,Porygon-Z,2.81917,3734,2.927,2803,2.749
38,Raikou,2.47525,3546,2.780,2736,2.684
39,Mamoswine,2.31989,9329,7.313,7010,6.876
40,Aerodactyl,2.07719,1635,1.282,1488,1.460
41,Gyarados,1.96902,5290,4.147,4227,4.146
42,Feraligatr,1.91994,10758,8.433,8307,8.148
43,Ditto,1.82624,1209,0.948,888,0.871
44,Cacturne,1.81238,838,0.657,678,0.665
45,Gastrodon,1.79577,3747,2.937,3145,3.085
46,Nidoqueen,1.74374,1202,0.942,924,0.906
47,Froslass,1.69917,2478,1.943,2055,2.016
48,Forretress,1.57619,2622,2.055,2227,2.184
49,Drapion,1.38654,2677,2.099,2175,2.133
50,Sableye,1.31706,2351,1.843,1996,1.958
51,Medicham,1.23888,1937,1.518,1555,1.525
52,Cloyster,1.21687,4728,3.706,3597,3.528
53,Heracross,1.17974,4402,3.451,3350,3.286
54,Entei,1.12512,2579,2.022,2085,2.045
55,Cresselia,1.12065,2754,2.159,2139,2.098
56,Staraptor,1.01011,9279,7.274,7543,7.399
57,Rotom-Heat,0.96384,2736,2.145,2343,2.298
58,Umbreon,0.95408,2832,2.220,2165,2.124
59,Salamence,0.93611,6372,4.995,4698,4.608
60,Slowking,0.88916,1682,1.319,1404,1.377
61,Bronzong,0.84056,2697,2.114,2320,2.276
62,Kingdra,0.69793,3392,2.659,2659,2.608
63,Poliwrath,0.58321,2148,1.684,1634,1.603
64,Uxie,0.54370,1665,1.305,1419,1.392
65,Rotom-Mow,0.53003,2316,1.816,1996,1.958
66,Shedinja,0.44347,996,0.781,734,0.720
67,Snorlax,0.37933,3263,2.558,2573,2.524
68,Arcanine,0.36778,2793,2.189,2234,2.191
69,Empoleon,0.36354,6016,4.716,5028,4.932
70,Volbeat,0.35454,1735,1.360,1495,1.466
71,Drifblim,0.34286,750,0.588,567,0.556
72,Blastoise,0.33801,4312,3.380,3472,3.406
73,Torkoal,0.33316,3836,3.007,3553,3.485
74,Espeon,0.32375,4362,3.419,3620,3.551
75,Shaymin,0.30276,1106,0.867,890,0.873
76,Hariyama,0.30272,1450,1.137,1260,1.236
77,Machamp,0.28348,1839,1.442,1547,1.517
78,Exploud,0.27332,1253,0.982,966,0.947
79,Rhyperior,0.26462,924,0.724,741,0.727
80,Shuckle,0.25283,3456,2.709,3130,3.070
81,Hippowdon,0.24862,1765,1.384,1533,1.504
82,Dusknoir,0.22443,1566,1.228,1328,1.303
83,Typhlosion,0.21435,2233,1.750,1690,1.658
84,Exeggutor,0.20504,912,0.715,722,0.708
85,Torterra,0.20258,1769,1.387,1433,1.406
86,Ambipom,0.18813,4106,3.219,3503,3.436
87,Yanmega,0.18078,2461,1.929,1965,1.927
88,Venusaur,0.16696,3466,2.717,2752,2.699
89,Weezing,0.16147,1610,1.262,1377,1.351
90,Tentacruel,0.16050,2464,1.932,1957,1.920
91,Toxicroak,0.15274,1552,1.217,1182,1.159
92,Kabutops,0.14998,1165,0.913,944,0.926
93,Electivire,0.13816,1661,1.302,1323,1.298
94,Swampert,0.12213,2891,2.266,2477,2.430
95,Victreebel,0.12110,1011,0.793,776,0.761
96,Aggron,0.11449,1012,0.793,799,0.784
97,Zapdos,0.10663,1708,1.339,1409,1.382
98,Kecleon,0.09747,684,0.536,534,0.524
99,Crobat,0.09663,4792,3.756,4013,3.936
100,Ursaring,0.08914,1963,1.539,1559,1.529
101,Charizard,0.08313,2453,1.923,1950,1.913
102,Flygon,0.08284,2369,1.857,1827,1.792
103,Ninjask,0.08012,292,0.229,208,0.204
104,Smeargle,0.07430,677,0.531,634,0.622
105,Slaking,0.06739,742,0.582,551,0.540
106,Xatu,0.06410,1161,0.910,962,0.944
107,Miltank,0.06277,436,0.342,321,0.315
108,Rampardos,0.06154,973,0.763,709,0.695
109,Mawile,0.06051,411,0.322,326,0.320
110,Electrode,0.05950,273,0.214,232,0.228
111,Ludicolo,0.05679,1874,1.469,1455,1.427
112,Houndoom,0.05512,1203,0.943,899,0.882
113,Ninetales,0.05342,1015,0.796,844,0.828
114,Magneton,0.05245,72,0.056,60,0.059
115,Skuntank,0.05055,333,0.261,249,0.244
116,Claydol,0.05049,949,0.744,823,0.807
117,Hitmonchan,0.05019,1226,0.961,973,0.954
118,Swellow,0.04773,1965,1.540,1535,1.506
119,Wigglytuff,0.04760,455,0.357,369,0.362
120,Gardevoir,0.04559,2864,2.245,2086,2.046
121,Mesprit,0.04476,110,0.086,91,0.089
122,Ariados,0.04391,761,0.597,623,0.611
123,Arbok,0.04314,315,0.247,269,0.264
124,Primeape,0.04180,527,0.413,413,0.405
125,Moltres,0.04175,713,0.559,572,0.561
126,Abomasnow,0.04077,1018,0.798,905,0.888
127,Lanturn,0.04039,903,0.708,711,0.697
128,Spiritomb,0.03748,1507,1.181,1324,1.299
129,Masquerain,0.03697,1110,0.870,948,0.930
130,Haunter,0.03615,421,0.330,320,0.314
131,Bibarel,0.03520,706,0.553,579,0.568
132,Venomoth,0.03371,1082,0.848,804,0.789
133,Aron,0.02916,270,0.212,219,0.215
134,Zangoose,0.02916,734,0.575,547,0.537
135,Rattata,0.02909,182,0.143,161,0.158
136,Rapidash,0.02736,438,0.343,327,0.321
137,Porygon2,0.02693,158,0.124,121,0.119
138,Fearow,0.02516,148,0.116,115,0.113
139,Armaldo,0.02461,294,0.230,230,0.226
140,Lopunny,0.02019,291,0.228,234,0.230
