Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Armaldo,55.55206,331,41.793,268,41.284
2,Jumpluff,48.28165,128,16.162,90,13.864
3,Golem,36.48467,91,11.490,85,13.094
4,Rotom-Frost,28.47646,33,4.167,28,4.313
5,Floatzel,26.04644,130,16.414,105,16.175
6,Pelipper,25.74011,41,5.177,36,5.546
7,Camerupt,25.30721,71,8.965,58,8.935
8,Charizard,25.18428,189,23.864,149,22.953
9,Manectric,24.72853,108,13.636,92,14.172
10,Monferno,24.62540,67,8.460,51,7.856
11,Shuckle,24.25480,125,15.783,120,18.485
12,Whiscash,24.25477,133,16.793,110,16.945
13,Weezing,21.99934,84,10.606,75,11.553
14,Bellossom,19.26040,72,9.091,56,8.626
15,Magneton,18.73503,97,12.247,87,13.402
16,Regigigas,16.90239,36,4.545,31,4.775
17,Leafeon,16.89784,52,6.566,42,6.470
18,Rapidash,16.89678,24,3.030,17,2.619
19,Ninjask,14.88697,23,2.904,21,3.235
20,Lumineon,14.33202,161,20.328,136,20.950
21,Volbeat,13.90171,34,4.293,30,4.621
22,Mawile,12.49391,34,4.293,30,4.621
23,Marowak,11.67829,84,10.606,65,10.013
24,Rampardos,11.44291,73,9.217,53,8.164
25,Glaceon,11.04873,26,3.283,16,2.465
26,Masquerain,11.04862,34,4.293,30,4.621
27,Poliwrath,4.83331,73,9.217,60,9.243
28,Lickilicky,2.19502,39,4.924,37,5.700
29,Lunatone,1.60302,48,6.061,33,5.083
30,Vibrava,1.33376,8,1.010,4,0.616
31,Victreebel,1.33376,41,5.177,32,4.929
32,Roselia,1.18225,4,0.505,4,0.616
33,Electrode,1.18225,27,3.409,23,3.543
34,Dewgong,0.60953,11,1.389,8,1.232
35,Delcatty,0.60847,9,1.136,9,1.386
36,Muk,0.60847,59,7.449,46,7.086
37,Flareon,0.54672,72,9.091,55,8.472
38,Meganium,0.52448,24,3.030,20,3.081
39,Corsola,0.36532,37,4.672,29,4.467
40,Raticate,0.36386,61,7.702,54,8.318
41,Kecleon,0.33477,79,9.975,62,9.551
42,Misdreavus,0.29633,12,1.515,10,1.540
43,Ariados,0.26924,38,4.798,32,4.929
44,Dustox,0.26924,36,4.545,22,3.389
45,Dugtrio,0.26513,60,7.576,54,8.318
46,Golduck,0.19700,10,1.263,10,1.540
47,Kadabra,0.10280,17,2.146,12,1.849
48,Gabite,0.10220,9,1.136,8,1.232
49,Porygon2,0.09725,25,3.157,20,3.081
50,Natu,0.09725,8,1.010,7,1.078
51,Octillery,0.09725,14,1.768,13,2.003
52,Dusclops,0.05352,24,3.030,22,3.389
53,Solrock,0.02118,63,7.955,58,8.935
54,Dodrio,0.01935,86,10.859,71,10.937
55,Hypno,0.01393,43,5.429,40,6.162
56,Tropius,0.00134,13,1.641,9,1.386
57,Altaria,0.00106,32,4.040,24,3.697
58,Sudowoodo,0.00106,2,0.253,2,0.308
59,Butterfree,0.00094,9,1.136,8,1.232
60,Pachirisu,0.00094,9,1.136,8,1.232
61,Bastiodon,0.00094,13,1.641,13,2.003
62,Arbok,0.00083,36,4.545,29,4.467
63,Luvdisc,0.00083,3,0.379,2,0.308
