Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Hitmontop,93.84768,29,14.356,25,15.448
2,Gyarados,91.17596,36,17.822,31,19.156
3,Absol,90.68016,20,9.901,18,11.123
4,Nidoqueen,90.68016,42,20.792,35,21.627
5,Rotom,90.68016,17,8.416,13,8.033
6,Kabutops,90.68016,22,10.891,18,11.123
7,Mantine,3.87663,15,7.426,12,7.415
8,Rhyperior,3.87663,21,10.396,16,9.887
9,Hariyama,3.87663,9,4.455,8,4.943
10,Vaporeon,3.87663,17,8.416,13,8.033
11,Electivire,3.87663,7,3.465,6,3.708
12,Abomasnow,3.87663,1,0.495,1,0.618
13,Bronzong,3.16752,19,9.406,18,11.123
14,Cresselia,3.16752,17,8.416,13,8.033
15,Honchkrow,3.16752,21,10.396,11,6.797
16,Slowbro,3.11600,9,4.455,6,3.708
17,Quagsire,3.11600,14,6.931,10,6.179
18,Exploud,2.25631,49,24.257,37,22.863
19,Medicham,2.25631,21,10.396,20,12.358
20,Machamp,1.76051,22,10.891,20,12.358
21,Omastar,1.76051,15,7.426,12,7.415
22,Shuckle,1.76051,3,1.485,3,1.854
23,Claydol,1.76051,28,13.861,23,14.212
24,Sandslash,0.49580,7,3.465,6,3.708
25,Aggron,0.49580,28,13.861,24,14.830
26,Sableye,0.49580,19,9.406,19,11.740
27,Venusaur,0.07090,21,10.396,16,9.887
28,Magmortar,0.05152,32,15.842,23,14.212
29,Aerodactyl,0.01938,14,6.931,13,8.033
30,Huntail,0.01938,4,1.980,3,1.854
31,Regice,0.01938,4,1.980,4,2.472
32,Steelix,0.01938,12,5.941,10,6.179
33,Houndoom,0.01938,21,10.396,15,9.269
34,Spiritomb,0.00000,12,5.941,9,5.561
35,Swellow,0.00000,33,16.337,26,16.066
36,Beedrill,0.00000,2,0.990,2,1.236
37,Regirock,0.00000,1,0.495,1,0.618
38,Hitmonlee,0.00000,8,3.960,8,4.943
39,Gorebyss,0.00000,2,0.990,1,0.618
40,Aron,0.00000,2,0.990,2,1.236
41,Cacturne,0.00000,16,7.921,14,8.651
42,Raichu,0.00000,5,2.475,4,2.472
43,Dragonair,0.00000,2,0.990,1,0.618
44,Gligar,0.00000,4,1.980,3,1.854
45,Exeggutor,0.00000,4,1.980,4,2.472
46,Parasect,0.00000,1,0.495,1,0.618
47,Ditto,0.00000,7,3.465,3,1.854
48,Linoone,0.00000,3,1.485,2,1.236
49,Mesprit,0.00000,13,6.436,13,8.033
50,Lapras,0.00000,6,2.970,6,3.708
51,Zangoose,0.00000,5,2.475,3,1.854
52,Rampardos,0.00000,2,0.990,1,0.618
53,Altaria,0.00000,3,1.485,3,1.854
54,Ampharos,0.00000,2,0.990,1,0.618
55,Bibarel,0.00000,18,8.911,15,9.269
56,Articuno,0.00000,1,0.495,1,0.618
57,Golem,0.00000,1,0.495,1,0.618
58,Pinsir,0.00000,2,0.990,0,0.000
59,Banette,0.00000,2,0.990,2,1.236
60,Pachirisu,0.00000,2,0.990,2,1.236
61,Arbok,0.00000,2,0.990,1,0.618
62,Kecleon,0.00000,1,0.495,1,0.618
63,Glaceon,0.00000,1,0.495,1,0.618
64,Wigglytuff,0.00000,1,0.495,0,0.000
65,Dusknoir,0.00000,6,2.970,5,3.090
66,Chansey,0.00000,10,4.950,8,4.943
67,Skuntank,0.00000,1,0.495,1,0.618
68,Rattata,0.00000,1,0.495,1,0.618
69,Granbull,0.00000,16,7.921,11,6.797
70,Primeape,0.00000,33,16.337,27,16.684
71,Lanturn,0.00000,4,1.980,4,2.472
72,Jolteon,0.00000,19,9.406,16,9.887
73,Golduck,0.00000,2,0.990,2,1.236
74,Pelipper,0.00000,1,0.495,1,0.618
75,Scyther,0.00000,3,1.485,3,1.854
76,Phione,0.00000,2,0.990,2,1.236
77,Meganium,0.00000,7,3.465,6,3.708
78,Mr.-Mime,0.00000,1,0.495,0,0.000
79,Toxicroak,0.00000,3,1.485,3,1.854
80,Masquerain,0.00000,7,3.465,6,3.708
81,Froslass,0.00000,18,8.911,16,9.887
82,Ursaring,0.00000,3,1.485,3,1.854
83,Haunter,0.00000,6,2.970,4,2.472
84,Magcargo,0.00000,2,0.990,2,1.236
85,Vileplume,0.00000,14,6.931,11,6.797
86,Slowking,0.00000,9,4.455,9,5.561
87,Drifblim,0.00000,4,1.980,4,2.472
88,Lopunny,0.00000,1,0.495,1,0.618
89,Jumpluff,0.00000,2,0.990,2,1.236
90,Bastiodon,0.00000,3,1.485,3,1.854
91,Probopass,0.00000,1,0.495,1,0.618
92,Victreebel,0.00000,1,0.495,1,0.618
93,Smeargle,0.00000,3,1.485,2,1.236
94,Cradily,0.00000,9,4.455,7,4.325
95,Tauros,0.00000,6,2.970,3,1.854
96,Rotom-Frost,0.00000,5,2.475,3,1.854
97,Rapidash,0.00000,2,0.990,0,0.000
98,Chimecho,0.00000,2,0.990,1,0.618
99,Typhlosion,0.00000,6,2.970,4,2.472
100,Dodrio,0.00000,3,1.485,2,1.236
101,Persian,0.00000,2,0.990,1,0.618
102,Electrode,0.00000,3,1.485,2,1.236
103,Gastrodon,0.00000,17,8.416,16,9.887
104,Grumpig,0.00000,7,3.465,7,4.325
105,Moltres,0.00000,19,9.406,14,8.651
106,Flareon,0.00000,1,0.495,1,0.618
107,Furret,0.00000,1,0.495,1,0.618
108,Registeel,0.00000,17,8.416,14,8.651
109,Chatot,0.00000,1,0.495,1,0.618
110,Xatu,0.00000,26,12.871,21,12.976
111,Sceptile,0.00000,4,1.980,4,2.472
112,Miltank,0.00000,3,1.485,3,1.854
113,Jynx,0.00000,4,1.980,2,1.236
114,Tropius,0.00000,2,0.990,2,1.236
115,Hitmonchan,0.00000,10,4.950,7,4.325
116,Luxray,0.00000,2,0.990,2,1.236
117,Torterra,0.00000,26,12.871,20,12.358
118,Shiftry,0.00000,1,0.495,1,0.618
119,Qwilfish,0.00000,11,5.446,11,6.797
120,Ludicolo,0.00000,4,1.980,2,1.236
121,Armaldo,0.00000,2,0.990,2,1.236
122,Muk,0.00000,10,4.950,7,4.325
123,Magneton,0.00000,3,1.485,3,1.854
124,Dusclops,0.00000,2,0.990,2,1.236
125,Kingler,0.00000,3,1.485,2,1.236
126,Volbeat,0.00000,2,0.990,0,0.000
127,Lumineon,0.00000,1,0.495,1,0.618
128,Shedinja,0.00000,1,0.495,1,0.618
129,Gallade,0.00000,21,10.396,12,7.415
