Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Arceus,57.11562,416,21.872,308,21.940
2,Mewtwo,48.03478,521,27.392,329,23.436
3,Giratina,47.23053,216,11.356,165,11.754
4,Dialga,41.59402,486,25.552,379,26.998
5,Lugia,39.45814,155,8.149,98,6.981
6,Quagsire,35.87099,58,3.049,45,3.206
7,Palkia,33.63411,455,23.922,295,21.014
8,Rayquaza,33.51326,382,20.084,259,18.449
9,Clefable,30.50217,132,6.940,99,7.052
10,Umbreon,28.73190,44,2.313,32,2.279
11,Deoxys-Speed,26.48364,230,12.093,217,15.458
12,Groudon,22.32366,347,18.244,255,18.165
13,Giratina-Origin,20.86398,341,17.928,246,17.523
14,Kyogre,20.65220,461,24.238,336,23.934
15,Blissey,16.53554,89,4.679,63,4.488
16,Aerodactyl,14.42617,52,2.734,50,3.562
17,Jirachi,11.45779,52,2.734,43,3.063
18,Deoxys-Attack,9.40372,206,10.831,152,10.827
19,Smeargle,7.38683,125,6.572,116,8.263
20,Lucario,6.68194,160,8.412,118,8.406
21,Arceus-Fairy,6.05369,228,11.987,165,11.754
22,Arceus-Steel,5.85524,72,3.785,56,3.989
23,Arceus-Ghost,5.76873,88,4.627,68,4.844
24,Ho-Oh,3.77750,135,7.098,90,6.411
25,Shaymin-Sky,3.70596,292,15.352,203,14.460
26,Arceus-Dark,3.05927,36,1.893,32,2.279
27,Darkrai,2.69182,309,16.246,224,15.956
28,Gengar,2.06451,205,10.778,141,10.044
29,Weezing,1.77546,23,1.209,21,1.496
30,Arceus-Ground,1.56842,15,0.789,9,0.641
31,Gliscor,1.30070,152,7.992,132,9.403
32,Shuckle,1.29655,128,6.730,125,8.904
33,Tangrowth,1.28381,26,1.367,15,1.069
34,Manaphy,1.25159,137,7.203,93,6.625
35,Blaziken,1.13339,274,14.406,195,13.891
36,Donphan,0.94822,33,1.735,25,1.781
37,Skarmory,0.91354,71,3.733,49,3.490
38,Masquerain,0.81996,13,0.683,11,0.784
39,Togekiss,0.29463,122,6.414,92,6.553
