Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Entei,54.87817,217,16.514,164,15.496
2,Milotic,51.50310,190,14.460,166,15.685
3,Roserade,46.53005,114,8.676,92,8.693
4,Forretress,44.66565,329,25.038,292,27.591
5,Hippowdon,39.95123,122,9.285,107,10.110
6,Raikou,36.41934,124,9.437,93,8.787
7,Flygon,30.95693,333,25.342,255,24.094
8,Swampert,24.90630,135,10.274,122,11.528
9,Tentacruel,23.84260,124,9.437,105,9.921
10,Metagross,19.06338,221,16.819,176,16.630
11,Crobat,18.13365,180,13.699,148,13.984
12,Celebi,17.41115,120,9.132,104,9.827
13,Registeel,17.38348,47,3.577,43,4.063
14,Rotom-Mow,16.15375,112,8.524,100,9.449
15,Yanmega,14.87424,149,11.339,109,10.299
16,Mismagius,14.45305,212,16.134,165,15.591
17,Drapion,14.36714,117,8.904,103,9.732
18,Zapdos,13.60532,105,7.991,84,7.937
19,Umbreon,11.99656,116,8.828,96,9.071
20,Empoleon,10.98873,164,12.481,135,12.756
21,Arcanine,8.10445,191,14.536,160,15.118
22,Gardevoir,7.42967,156,11.872,123,11.622
23,Hitmontop,7.29253,25,1.903,21,1.984
24,Chansey,6.20241,88,6.697,73,6.898
25,Sableye,5.65589,107,8.143,98,9.260
26,Vaporeon,5.65589,74,5.632,51,4.819
27,Omastar,4.56337,63,4.795,37,3.496
28,Granbull,3.70469,72,5.479,41,3.874
29,Cresselia,3.56765,44,3.349,35,3.307
30,Nidoqueen,2.78288,33,2.511,25,2.362
31,Froslass,1.97472,59,4.490,54,5.102
32,Shaymin,1.94809,91,6.925,80,7.559
33,Porygon-Z,1.12036,86,6.545,66,6.236
34,Zangoose,1.02311,39,2.968,29,2.740
35,Machamp,0.99658,29,2.207,27,2.551
36,Cloyster,0.98423,155,11.796,114,10.772
37,Bronzong,0.85935,51,3.881,46,4.346
38,Kecleon,0.85935,9,0.685,7,0.661
39,Carnivine,0.85935,3,0.228,1,0.094
40,Rotom-Heat,0.85819,95,7.230,81,7.654
41,Vileplume,0.78794,10,0.761,6,0.567
42,Quagsire,0.68674,64,4.871,51,4.819
43,Weezing,0.65058,48,3.653,39,3.685
44,Torkoal,0.63182,86,6.545,79,7.465
45,Victreebel,0.63182,27,2.055,16,1.512
46,Magneton,0.58716,31,2.359,28,2.646
47,Suicune,0.52647,55,4.186,41,3.874
48,Blastoise,0.47389,147,11.187,110,10.394
49,Gyarados,0.46376,112,8.524,85,8.031
50,Kabutops,0.44992,23,1.750,20,1.890
51,Ludicolo,0.44992,57,4.338,46,4.346
52,Kingdra,0.37029,75,5.708,55,5.197
53,Xatu,0.34405,25,1.903,20,1.890
54,Shiftry,0.34405,6,0.457,6,0.567
55,Ninetales,0.34405,19,1.446,18,1.701
56,Uxie,0.32692,81,6.164,76,7.181
57,Sharpedo,0.32395,75,5.708,52,4.913
58,Gastrodon,0.29742,39,2.968,32,3.024
59,Venusaur,0.28958,26,1.979,19,1.795
60,Charizard,0.28777,26,1.979,16,1.512
61,Exploud,0.18669,22,1.674,16,1.512
62,Sceptile,0.17847,21,1.598,16,1.512
63,Arbok,0.16579,2,0.152,2,0.189
64,Ursaring,0.16579,16,1.218,12,1.134
65,Haunter,0.16579,3,0.228,3,0.283
66,Dusknoir,0.14311,18,1.370,15,1.417
67,Sneasel,0.13723,2,0.152,1,0.094
68,Poliwrath,0.12534,15,1.142,12,1.134
69,Volbeat,0.08576,11,0.837,11,1.039
70,Surskit,0.08576,1,0.076,1,0.094
71,Moltres,0.08576,12,0.913,11,1.039
72,Typhlosion,0.07989,47,3.577,33,3.118
73,Ambipom,0.07728,193,14.688,166,15.685
74,Mew,0.07219,88,6.697,76,7.181
75,Shuckle,0.07070,22,1.674,21,1.984
76,Magmortar,0.06280,42,3.196,30,2.835
77,Rhyperior,0.04481,33,2.511,23,2.173
78,Exeggutor,0.03957,16,1.218,14,1.323
79,Gorebyss,0.03957,5,0.381,5,0.472
80,Aerodactyl,0.03957,23,1.750,19,1.795
81,Bibarel,0.02001,14,1.065,13,1.228
82,Medicham,0.02001,29,2.207,25,2.362
83,Luxray,0.02001,8,0.609,4,0.378
84,Espeon,0.01418,102,7.763,86,8.126
85,Armaldo,0.01375,9,0.685,8,0.756
86,Snorlax,0.01151,141,10.731,111,10.488
87,Swellow,0.01128,39,2.968,30,2.835
88,Toxicroak,0.00965,23,1.750,21,1.984
89,Cacturne,0.00965,12,0.913,10,0.945
90,Wormadam-Trash,0.00965,2,0.152,2,0.189
91,Cradily,0.00523,66,5.023,54,5.102
92,Steelix,0.00523,52,3.957,42,3.969
93,Rampardos,0.00135,3,0.228,2,0.189
94,Venomoth,0.00091,129,9.817,91,8.598
95,Houndoom,0.00044,28,2.131,21,1.984
96,Mantine,0.00024,9,0.685,9,0.850
97,Raticate,0.00004,4,0.304,3,0.283
98,Fearow,0.00004,2,0.152,2,0.189
99,Plusle,0.00004,1,0.076,1,0.094
100,Seviper,0.00004,2,0.152,1,0.094
101,Seaking,0.00004,1,0.076,1,0.094
102,Sunflora,0.00004,1,0.076,1,0.094
103,Aggron,0.00002,13,0.989,12,1.134
104,Dugtrio,0.00000,3,0.228,3,0.283
105,Hitmonlee,0.00000,84,6.393,67,6.331
106,Rapidash,0.00000,10,0.761,8,0.756
107,Jynx,0.00000,3,0.228,2,0.189
108,Delcatty,0.00000,1,0.076,1,0.094
109,Mightyena,0.00000,2,0.152,1,0.094
110,Spiritomb,0.00000,6,0.457,6,0.567
111,Kadabra,0.00000,1,0.076,1,0.094
112,Purugly,0.00000,5,0.381,4,0.378
113,Beedrill,0.00000,3,0.228,2,0.189
114,Aron,0.00000,10,0.761,10,0.945
115,Butterfree,0.00000,1,0.076,1,0.094
116,Raichu,0.00000,8,0.609,8,0.756
117,Dragonair,0.00000,1,0.076,0,0.000
118,Absol,0.00000,25,1.903,19,1.795
119,Parasect,0.00000,3,0.228,2,0.189
120,Hitmonchan,0.00000,11,0.837,7,0.661
121,Linoone,0.00000,6,0.457,5,0.472
122,Mesprit,0.00000,1,0.076,1,0.094
123,Magmar,0.00000,2,0.152,2,0.189
124,Altaria,0.00000,4,0.304,4,0.378
125,Leafeon,0.00000,7,0.533,6,0.567
126,Slowbro,0.00000,18,1.370,16,1.512
127,Ampharos,0.00000,1,0.076,1,0.094
128,Hippopotas,0.00000,8,0.609,6,0.567
129,Noctowl,0.00000,2,0.152,2,0.189
130,Sandslash,0.00000,29,2.207,24,2.268
131,Phione,0.00000,4,0.304,4,0.378
132,Golem,0.00000,6,0.457,5,0.472
133,Pinsir,0.00000,8,0.609,7,0.661
134,Banette,0.00000,2,0.152,2,0.189
135,Vespiquen,0.00000,3,0.228,1,0.094
136,Pachirisu,0.00000,6,0.457,5,0.472
137,Tauros,0.00000,12,0.913,9,0.850
138,Regirock,0.00000,16,1.218,11,1.039
139,Marowak,0.00000,3,0.228,2,0.189
140,Glaceon,0.00000,7,0.533,7,0.661
141,Porygon2,0.00000,1,0.076,1,0.094
142,Bellossom,0.00000,2,0.152,2,0.189
143,Skuntank,0.00000,2,0.152,2,0.189
144,Girafarig,0.00000,3,0.228,2,0.189
145,Primeape,0.00000,8,0.609,6,0.567
146,Hariyama,0.00000,14,1.065,10,0.945
147,Lanturn,0.00000,7,0.533,3,0.283
148,Jolteon,0.00000,14,1.065,10,0.945
149,Beautifly,0.00000,1,0.076,1,0.094
150,Slaking,0.00000,7,0.533,6,0.567
151,Golduck,0.00000,3,0.228,2,0.189
152,Scyther,0.00000,5,0.381,4,0.378
153,Honchkrow,0.00000,31,2.359,23,2.173
154,Politoed,0.00000,1,0.076,1,0.094
155,Togetic,0.00000,4,0.304,3,0.283
156,Walrein,0.00000,3,0.228,3,0.283
157,Vigoroth,0.00000,1,0.076,1,0.094
158,Slowking,0.00000,7,0.533,6,0.567
159,Masquerain,0.00000,15,1.142,13,1.228
160,Kangaskhan,0.00000,1,0.076,1,0.094
161,Spinda,0.00000,1,0.076,1,0.094
162,Muk,0.00000,7,0.533,5,0.472
163,Magcargo,0.00000,29,2.207,20,1.890
164,Whiscash,0.00000,36,2.740,32,3.024
165,Gastly,0.00000,1,0.076,1,0.094
166,Drifblim,0.00000,5,0.381,5,0.472
167,Dustox,0.00000,3,0.228,3,0.283
168,Lopunny,0.00000,10,0.761,8,0.756
169,Jumpluff,0.00000,6,0.457,6,0.567
170,Bastiodon,0.00000,6,0.457,6,0.567
171,Smeargle,0.00000,5,0.381,5,0.472
172,Pidgeot,0.00000,1,0.076,1,0.094
173,Regigigas,0.00000,3,0.228,3,0.283
174,Kingler,0.00000,2,0.152,2,0.189
175,Lickilicky,0.00000,1,0.076,1,0.094
176,Lunatone,0.00000,1,0.076,1,0.094
177,Chimecho,0.00000,1,0.076,0,0.000
