Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Landorus-Therian,29.52958,7326,26.032,6002,28.135
2,Dragapult,29.45333,4902,17.419,3569,16.730
3,Volcarona,28.53140,5892,20.937,3991,18.709
4,Zeraora,21.43084,4808,17.085,3798,17.804
5,Toxapex,20.30561,2383,8.468,1894,8.878
6,Tapu-Koko,19.03364,4509,16.022,3589,16.824
7,Clefable,18.47026,3475,12.348,2669,12.511
8,Corviknight,17.60937,5488,19.501,4286,20.091
9,Excadrill,16.88905,2813,9.996,2117,9.924
10,Weavile,16.80204,2687,9.548,1883,8.827
11,Blissey,16.52584,2633,9.356,1911,8.958
12,Regigigas,16.21614,5245,18.638,4049,18.980
13,Ditto,15.48847,3434,12.202,2366,11.091
14,Urshifu-Rapid-Strike,14.27615,4310,15.315,3288,15.413
15,Dragonite,13.31742,2080,7.391,1501,7.036
16,Ninetales-Alola,12.79596,1400,4.975,1204,5.644
17,Buzzwole,11.48946,3671,13.045,2674,12.535
18,Zapdos-Galar,11.14700,2243,7.970,1564,7.332
19,Melmetal,11.14549,3474,12.345,2632,12.338
20,Garchomp,10.69992,3139,11.154,2339,10.964
21,Ferrothorn,9.70372,2281,8.105,1949,9.136
22,Pelipper,9.39894,2277,8.091,2081,9.755
23,Thundurus-Therian,8.43177,1291,4.587,1035,4.852
24,Nihilego,8.22336,847,3.010,645,3.024
25,Barraskewda,7.60915,2081,7.395,1623,7.608
26,Blacephalon,6.94015,3039,10.799,2188,10.257
27,Zapdos,6.66694,1896,6.737,1521,7.130
28,Tyranitar,6.57445,902,3.205,717,3.361
29,Shuckle,6.51753,2717,9.655,2279,10.683
30,Tapu-Fini,6.23631,1142,4.058,889,4.167
31,Rillaboom,6.03381,2399,8.525,1750,8.203
32,Moltres-Galar,5.57948,446,1.585,309,1.448
33,Tapu-Bulu,5.51447,768,2.729,560,2.625
34,Chansey,5.23466,290,1.030,222,1.041
35,Hippowdon,5.10741,670,2.381,594,2.784
36,Tapu-Lele,5.07586,1520,5.401,1023,4.795
37,Hawlucha,4.94793,448,1.592,309,1.448
38,Gyarados,4.61713,642,2.281,498,2.334
39,Quagsire,4.58363,854,3.035,678,3.178
40,Scolipede,3.44746,556,1.976,463,2.170
41,Ribombee,3.36158,761,2.704,662,3.103
42,Thundurus,3.31459,948,3.369,803,3.764
43,Seismitoad,3.25202,739,2.626,590,2.766
44,Tornadus-Therian,3.04742,1282,4.555,990,4.641
45,Slowbro,2.91615,1376,4.889,1074,5.035
46,Hatterene,2.61809,1670,5.934,1238,5.803
