Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Ferrothorn,40.21128,953,10.236,816,11.499
2,Tapu-Fini,38.25305,618,6.638,493,6.948
3,Cawmodore,29.40974,1711,18.378,1342,18.912
4,Tapu-Lele,27.14331,518,5.564,420,5.919
5,Landorus-Therian,25.17635,827,8.883,734,10.344
6,Saharaja,25.06085,1947,20.913,1594,22.463
7,Blacephalon,23.03360,249,2.675,159,2.241
8,Dragonite,21.44720,246,2.642,173,2.438
9,Equilibra,19.74917,1504,16.155,1210,17.052
10,Pyroak,16.43568,1451,15.585,1124,15.840
11,Astrolotl,15.33450,2156,23.158,1661,23.408
12,Zapdos,15.02361,480,5.156,394,5.552
13,Syclant,14.59975,1481,15.908,1082,15.248
14,Heatran,12.43492,491,5.274,390,5.496
15,Venomicon-Epilogue,12.32968,1779,19.108,1339,18.870
16,Revenankh,11.40411,1278,13.727,961,13.543
17,Arghonaut,11.06523,1566,16.821,1244,17.531
18,Clefable,11.03610,373,4.006,275,3.875
19,Colossoil,10.42871,1385,14.876,1063,14.980
20,Slowbro,10.09790,341,3.663,283,3.988
21,Tornadus-Therian,9.62737,527,5.661,436,6.144
22,Stratagem,9.32234,1847,19.839,1412,19.899
23,Miasmaw,8.61661,1210,12.997,868,12.232
24,Tomohawk,7.05306,1214,13.040,992,13.980
25,Krilowatt,7.02925,770,8.271,611,8.610
26,Dragapult,6.50255,493,5.295,387,5.454
27,Corviknight,6.14413,231,2.481,196,2.762
28,Magnezone,5.98447,126,1.353,94,1.325
29,Slowking-Galar,5.79317,245,2.632,214,3.016
30,Pajantom,5.72998,1069,11.482,794,11.189
31,Tyranitar,5.56305,171,1.837,138,1.945
32,Weavile,5.52484,340,3.652,242,3.410
33,Kartana,5.46907,260,2.793,188,2.649
34,Volkraken,5.10214,765,8.217,564,7.948
35,Jumbao,4.88140,827,8.883,656,9.245
36,Tapu-Koko,4.82915,240,2.578,199,2.804
37,Melmetal,4.39605,291,3.126,231,3.255
38,Voodoom,4.36451,1210,12.997,816,11.499
39,Toxapex,4.12218,255,2.739,205,2.889
