Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Cloyster,83.32925,8,15.385,7,16.733
2,Grimmsnarl,83.32925,7,13.462,6,14.343
3,Necrozma,83.32925,4,7.692,3,7.171
4,Incineroar,79.97541,2,3.846,1,2.390
5,Terrakion,79.97541,4,7.692,4,9.562
6,Polteageist,79.97541,5,9.615,3,7.171
7,Porygon2,19.73885,12,23.077,9,21.514
8,Frosmoth,15.77898,18,34.615,14,33.466
9,Avalugg,13.94513,14,26.923,13,31.076
10,Abomasnow,13.94474,13,25.000,11,26.295
11,Ninetales-Alola,13.94474,10,19.231,10,23.904
12,Lurantis,11.96437,4,7.692,3,7.171
13,Linoone,3.95987,7,13.462,3,7.171
14,Mew,3.35384,5,9.615,5,11.952
15,Malamar,1.98037,2,3.846,2,4.781
16,Articuno-Galar,1.83424,1,1.923,1,2.390
17,Aurorus,1.83424,2,3.846,2,4.781
18,Zarude,1.83424,4,7.692,4,9.562
19,Glastrier,1.83424,2,3.846,2,4.781
20,Blissey,0.60642,6,11.538,5,11.952
21,Tauros,0.60603,1,1.923,1,2.390
22,Obstagoon,0.60603,3,5.769,2,4.781
23,Braviary,0.60603,1,1.923,1,2.390
24,Scolipede,0.12524,4,7.692,4,9.562
25,Articuno,0.12524,2,3.846,2,4.781
26,Starmie,0.12524,1,1.923,1,2.390
27,Hippowdon,0.12524,1,1.923,1,2.390
28,Mienshao,0.12524,1,1.923,1,2.390
29,Tangrowth,0.12524,1,1.923,0,0.000
30,Chansey,0.00046,3,5.769,3,7.171
31,Sandslash-Alola,0.00046,2,3.846,2,4.781
32,Regigigas,0.00046,1,1.923,1,2.390
33,Gengar,0.00046,3,5.769,2,4.781
34,Weavile,0.00046,2,3.846,2,4.781
35,Volcanion,0.00046,1,1.923,0,0.000
36,Slowbro,0.00039,3,5.769,3,7.171
37,Mamoswine,0.00039,3,5.769,2,4.781
38,Zeraora,0.00039,12,23.077,11,26.295
39,Tornadus-Therian,0.00039,3,5.769,3,7.171
40,Volcarona,0.00000,6,11.538,4,9.562
41,Araquanid,0.00000,4,7.692,4,9.562
42,Buzzwole,0.00000,6,11.538,5,11.952
43,Ninjask,0.00000,5,9.615,5,11.952
44,Crustle,0.00000,4,7.692,3,7.171
45,Swoobat,0.00000,1,1.923,1,2.390
46,Snorlax,0.00000,3,5.769,2,4.781
47,Cresselia,0.00000,3,5.769,3,7.171
48,Zapdos-Galar,0.00000,1,1.923,1,2.390
49,Kommo-o,0.00000,3,5.769,2,4.781
50,Marowak-Alola,0.00000,4,7.692,2,4.781
51,Toxapex,0.00000,1,1.923,1,2.390
52,Landorus-Therian,0.00000,1,1.923,1,2.390
53,Indeedee,0.00000,2,3.846,2,4.781
54,Lucario,0.00000,1,1.923,1,2.390
55,Arcanine,0.00000,1,1.923,0,0.000
56,Tapu-Bulu,0.00000,3,5.769,3,7.171
57,Pangoro,0.00000,2,3.846,1,2.390
58,Salamence,0.00000,3,5.769,3,7.171
59,Haxorus,0.00000,1,1.923,1,2.390
60,Melmetal,0.00000,3,5.769,3,7.171
61,Celesteela,0.00000,1,1.923,1,2.390
62,Exploud,0.00000,3,5.769,1,2.390
63,Victini,0.00000,3,5.769,3,7.171
64,Decidueye,0.00000,2,3.846,2,4.781
65,Togedemaru,0.00000,1,1.923,1,2.390
66,Urshifu-Rapid-Strike,0.00000,5,9.615,5,11.952
67,Thwackey,0.00000,1,1.923,0,0.000
68,Maractus,0.00000,1,1.923,1,2.390
69,Pelipper,0.00000,1,1.923,1,2.390
70,Scyther,0.00000,3,5.769,2,4.781
71,Heliolisk,0.00000,1,1.923,0,0.000
72,Alakazam,0.00000,1,1.923,1,2.390
73,Toxicroak,0.00000,2,3.846,2,4.781
74,Froslass,0.00000,1,1.923,1,2.390
75,Dragapult,0.00000,2,3.846,1,2.390
76,Drampa,0.00000,2,3.846,0,0.000
77,Hawlucha,0.00000,1,1.923,1,2.390
78,Blacephalon,0.00000,2,3.846,2,4.781
79,Arctovish,0.00000,1,1.923,0,0.000
80,Electivire,0.00000,1,1.923,0,0.000
81,Tapu-Lele,0.00000,1,1.923,1,2.390
82,Rotom-Fan,0.00000,1,1.923,0,0.000
83,Tyranitar,0.00000,8,15.385,7,16.733
84,Aegislash,0.00000,1,1.923,1,2.390
85,Nihilego,0.00000,2,3.846,2,4.781
86,Accelgor,0.00000,3,5.769,2,4.781
87,Jynx,0.00000,2,3.846,2,4.781
88,Beartic,0.00000,1,1.923,1,2.390
89,Hatterene,0.00000,3,5.769,2,4.781
90,Coalossal,0.00000,7,13.462,5,11.952
91,Lycanroc-Dusk,0.00000,1,1.923,1,2.390
92,Magnezone,0.00000,1,1.923,1,2.390
93,Armaldo,0.00000,1,1.923,1,2.390
94,Azumarill,0.00000,1,1.923,0,0.000
95,Azelf,0.00000,2,3.846,2,4.781
96,Orbeetle,0.00000,1,1.923,0,0.000
