Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Magikarp,100.00000,58852,100.000,15546,158.057
2,Cinderace,62.42483,20724,35.214,3675,37.364
3,Porygon2,56.15909,12220,20.764,2139,21.747
4,Dragapult,48.83765,19145,32.531,2929,29.779
5,Dracozolt,34.24476,9277,15.763,1377,14.000
6,Gastrodon,33.55026,16087,27.335,2339,23.781
7,Ferrothorn,23.75675,9034,15.350,1053,10.706
8,Cradily,22.69343,19713,33.496,4128,41.970
9,Coalossal,18.66849,11542,19.612,1618,16.450
10,Mudsdale,15.57209,2191,3.723,450,4.575
11,Primarina,15.29411,6179,10.499,887,9.018
12,Lapras,13.66135,9495,16.134,1956,19.887
13,Rillaboom,12.07478,9653,16.402,1129,11.479
14,Togekiss,10.90874,2165,3.679,266,2.704
15,Metagross,10.43543,5169,8.783,915,9.303
16,Azumarill,8.32106,5072,8.618,1163,11.824
17,Dragonite,7.43898,3610,6.134,511,5.195
18,Gyarados,6.76101,3099,5.266,569,5.785
19,Tyranitar,6.41800,3520,5.981,469,4.768
20,Conkeldurr,4.58577,1503,2.554,312,3.172
21,Blissey,4.32398,1874,3.184,154,1.566
22,Snorlax,3.96112,3363,5.714,769,7.818
23,Shedinja,3.68894,2129,3.618,217,2.206
24,Krookodile,3.43978,888,1.509,120,1.220
25,Durant,3.19319,1508,2.562,201,2.044
26,Porygon-Z,2.95178,2410,4.095,345,3.508
27,Corviknight,2.80114,2994,5.087,336,3.416
28,Reuniclus,2.35071,350,0.595,14,0.142
29,Hydreigon,2.19491,772,1.312,126,1.281
30,Duraludon,2.06668,538,0.914,126,1.281
31,Magnezone,1.84054,1533,2.605,158,1.606
32,Weezing,1.82245,69,0.117,8,0.081
33,Garchomp,1.66671,2962,5.033,494,5.023
34,Barraskewda,1.64214,2629,4.467,299,3.040
35,Passimian,1.59004,145,0.246,16,0.163
36,Excadrill,1.51347,1257,2.136,164,1.667
37,Rhyperior,1.47891,858,1.458,119,1.210
38,Blastoise,1.40311,489,0.831,89,0.905
39,Darmanitan-Galar,1.36210,1593,2.707,190,1.932
40,Charizard,1.14023,824,1.400,103,1.047
41,Clefable,1.09426,2171,3.689,410,4.169
42,Grimmsnarl,1.08501,1552,2.637,289,2.938
43,Rotom-Wash,1.04781,854,1.451,113,1.149
44,Kingdra,0.94156,864,1.468,93,0.946
45,Blaziken,0.92806,1219,2.071,218,2.216
46,Bisharp,0.91301,1514,2.573,120,1.220
47,Amoonguss,0.79389,607,1.031,68,0.691
48,Kommo-o,0.78375,1376,2.338,328,3.335
49,Chansey,0.77615,1403,2.384,161,1.637
50,Palossand,0.74725,1321,2.245,222,2.257
51,Goodra,0.73620,1207,2.051,275,2.796
