Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Grimmsnarl,72.10930,89,12.396,67,21.895
2,Rillaboom,70.61541,136,18.942,45,14.706
3,Rotom-Heat,67.72896,88,12.256,13,4.248
4,Naganadel,67.67027,43,5.989,22,7.190
5,Piloswine,67.67027,35,4.875,12,3.922
6,Suicune,67.67027,39,5.432,8,2.614
7,Landorus-Therian,25.13965,112,15.599,53,17.320
8,Zapdos,25.01780,185,25.766,51,16.667
9,Mimikyu,20.19831,45,6.267,21,6.863
10,Slowbro,19.41982,29,4.039,10,3.268
11,Hydreigon,18.25381,24,3.343,11,3.595
12,Scizor,13.49885,24,3.343,11,3.595
13,Porygon2,9.33241,37,5.153,6,1.961
14,Volcarona,5.92097,31,4.318,15,4.902
15,Urshifu,5.59530,21,2.925,9,2.941
16,Tapu-Fini,5.53744,68,9.471,30,9.804
17,Salamence,5.33071,69,9.610,30,9.804
18,Hippowdon,4.37825,21,2.925,7,2.288
19,Toxapex,4.08291,51,7.103,20,6.536
20,Blaziken,3.60817,50,6.964,32,10.458
21,Spectrier,3.60817,15,2.089,9,2.941
22,Heatran,2.87101,39,5.432,24,7.843
23,Tyranitar,2.21960,44,6.128,24,7.843
24,Urshifu-Rapid-Strike,2.19915,42,5.850,25,8.170
25,Rhyperior,1.25225,105,14.624,50,16.340
26,Cinderace,1.22463,70,9.749,31,10.131
27,Primarina,1.21885,10,1.393,3,0.980
28,Ferrothorn,1.20415,151,21.031,50,16.340
29,Diggersby,0.94065,12,1.671,5,1.634
30,Magnezone,0.94064,9,1.253,3,0.980
31,Tapu-Koko,0.48724,18,2.507,8,2.614
32,Dragapult,0.47872,112,15.599,50,16.340
33,Garchomp,0.47474,137,19.081,52,16.993
34,Weavile,0.47474,18,2.507,5,1.634
35,Dragonite,0.27007,91,12.674,47,15.359
36,Kommo-o,0.22537,13,1.811,6,1.961
37,Ninetales-Alola,0.12894,54,7.521,36,11.765
38,Mudsdale,0.12527,3,0.418,2,0.654
39,Gengar,0.12527,35,4.875,18,5.882
40,Chandelure,0.12527,9,1.253,4,1.307
41,Dracozolt,0.12527,4,0.557,2,0.654
42,Indeedee,0.12185,6,0.836,1,0.327
43,Avalugg,0.12185,7,0.975,4,1.307
44,Corviknight,0.05878,54,7.521,13,4.248
45,Dracovish,0.03581,54,7.521,22,7.190
46,Celesteela,0.03340,60,8.357,35,11.438
47,Cofagrigus,0.02294,22,3.064,21,6.863
48,Venusaur,0.02294,38,5.292,10,3.268
49,Buzzwole,0.01046,10,1.393,5,1.634
50,Aegislash,0.00806,33,4.596,18,5.882
51,Excadrill,0.00709,9,1.253,3,0.980
52,Tapu-Bulu,0.00521,6,0.836,3,0.980
53,Lycanroc-Midnight,0.00399,4,0.557,2,0.654
54,Charizard,0.00399,30,4.178,17,5.556
55,Landorus,0.00399,2,0.279,0,0.000
56,Clawitzer,0.00389,8,1.114,3,0.980
57,Golisopod,0.00316,5,0.696,4,1.307
58,Lanturn,0.00316,4,0.557,0,0.000
59,Latios,0.00205,20,2.786,3,0.980
60,Zoroark,0.00205,21,2.925,4,1.307
61,Glastrier,0.00205,2,0.279,2,0.654
62,Moltres,0.00205,1,0.139,1,0.327
63,Thundurus,0.00180,5,0.696,2,0.654
64,Cryogonal,0.00180,1,0.139,1,0.327
65,Mantyke,0.00159,2,0.279,0,0.000
66,Toxel,0.00159,2,0.279,2,0.654
67,Mime-Jr.,0.00159,2,0.279,0,0.000
68,Poipole,0.00159,2,0.279,2,0.654
69,Magby,0.00159,2,0.279,0,0.000
70,Munchlax,0.00159,3,0.418,3,0.980
71,Arctozolt,0.00106,10,1.393,7,2.288
72,Hitmonlee,0.00098,5,0.696,4,1.307
73,Hawlucha,0.00098,8,1.114,3,0.980
74,Mamoswine,0.00008,10,1.393,2,0.654
75,Azumarill,0.00001,26,3.621,16,5.229
76,Froslass,0.00001,9,1.253,7,2.288
77,Regieleki,0.00000,61,8.496,19,6.209
78,Kartana,0.00000,38,5.292,10,3.268
79,Cresselia,0.00000,4,0.557,3,0.980
80,Seismitoad,0.00000,73,10.167,31,10.131
81,Pelipper,0.00000,9,1.253,6,1.961
82,Inteleon,0.00000,19,2.646,10,3.268
83,Pheromosa,0.00000,72,10.028,52,16.993
84,Spiritomb,0.00000,15,2.089,8,2.614
85,Clefable,0.00000,41,5.710,19,6.209
86,Nihilego,0.00000,65,9.053,27,8.824
87,Raikou,0.00000,42,5.850,10,3.268
88,Politoed,0.00000,36,5.014,27,8.824
89,Porygon-Z,0.00000,5,0.696,2,0.654
90,Mandibuzz,0.00000,23,3.203,16,5.229
91,Swoobat,0.00000,2,0.279,2,0.654
92,Bronzong,0.00000,8,1.114,5,1.634
93,Accelgor,0.00000,1,0.139,1,0.327
94,Raichu-Alola,0.00000,4,0.557,3,0.980
95,Swampert,0.00000,22,3.064,17,5.556
96,Toxicroak,0.00000,3,0.418,1,0.327
97,Lombre,0.00000,1,0.139,1,0.327
98,Snorlax,0.00000,13,1.811,9,2.941
99,Uxie,0.00000,1,0.139,1,0.327
100,Sirfetch'd,0.00000,2,0.279,2,0.654
101,Regirock,0.00000,5,0.696,3,0.980
102,Magmortar,0.00000,1,0.139,1,0.327
103,Barraskewda,0.00000,12,1.671,6,1.961
104,Duraludon,0.00000,4,0.557,2,0.654
105,Machamp,0.00000,3,0.418,0,0.000
106,Emolga,0.00000,1,0.139,0,0.000
107,Butterfree,0.00000,2,0.279,1,0.327
108,Raichu,0.00000,3,0.418,0,0.000
109,Wobbuffet,0.00000,6,0.836,3,0.980
110,Tangela,0.00000,2,0.279,0,0.000
