Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Leafeon,63.69789,11,3.216,8,2.855
2,Liepard,53.19272,4,1.170,4,1.428
3,Jellicent,52.78060,22,6.433,20,7.139
4,Jirachi,51.83978,7,2.047,7,2.499
5,Braviary,51.83978,1,0.292,1,0.357
6,Crustle,51.83978,4,1.170,4,1.428
7,Cinccino,26.05166,33,9.649,27,9.637
8,Quagsire,18.01697,29,8.480,20,7.139
9,Haunter,15.96077,11,3.216,8,2.855
10,Scyther,15.66591,33,9.649,23,8.209
11,Tangela,15.16646,11,3.216,5,1.785
12,Ninetales,12.50004,27,7.895,25,8.923
13,Charizard,12.50004,14,4.094,11,3.926
14,Mantine,11.85863,12,3.509,9,3.212
15,Scrafty,11.09111,18,5.263,14,4.997
16,Hitmonlee,10.58845,27,7.895,18,6.425
17,Rotom-Frost,9.76414,9,2.632,7,2.499
18,Throh,7.67011,10,2.924,10,3.569
19,Arctovish,7.50910,21,6.140,18,6.425
20,Ninjask,7.49225,12,3.509,11,3.926
21,Mr.-Rime,7.49221,1,0.292,1,0.357
22,Araquanid,6.85503,7,2.047,7,2.499
23,Politoed,5.49982,18,5.263,17,6.068
24,Kabutops,5.49982,12,3.509,9,3.212
25,Magneton,5.11348,8,2.339,8,2.855
26,Sirfetch'd,4.62736,8,2.339,5,1.785
27,Mienfoo,4.59199,3,0.877,1,0.357
28,Sneasel,4.14694,16,4.678,13,4.640
29,Kingdra,4.14688,13,3.801,11,3.926
30,Grimmsnarl,4.14688,12,3.509,8,2.855
31,Swoobat,2.88547,8,2.339,6,2.142
32,Lurantis,2.77611,3,0.877,2,0.714
33,Gigalith,2.77611,14,4.094,12,4.283
34,Pikachu,2.77611,21,6.140,18,6.425
35,Drampa,1.79230,3,0.877,1,0.357
36,Galvantula,1.46426,20,5.848,18,6.425
37,Avalugg,1.37094,21,6.140,16,5.711
38,Blissey,1.36277,4,1.170,3,1.071
39,Lanturn,1.35294,6,1.754,4,1.428
40,Ludicolo,1.35294,2,0.585,2,0.714
41,Thievul,0.94842,10,2.924,7,2.499
42,Eldegoss,0.93925,23,6.725,21,7.496
