Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Snorlax,99.84823,588,72.414,454,70.062
2,Chansey,99.78144,580,71.429,454,70.062
3,Tauros,95.97365,562,69.212,381,58.796
4,Exeggutor,88.71108,468,57.635,405,62.500
5,Jolteon,38.62032,211,25.985,174,26.852
6,Alakazam,34.17421,390,48.030,320,49.383
7,Golem,26.60831,148,18.227,121,18.673
8,Porygon,25.08156,61,7.512,49,7.562
9,Gengar,15.38805,184,22.660,157,24.228
10,Lapras,15.26430,78,9.606,68,10.494
11,Starmie,14.12507,220,27.094,200,30.864
12,Rhydon,13.52025,192,23.645,163,25.154
13,Cloyster,11.51514,78,9.606,61,9.414
14,Slowbro,9.37404,81,9.975,71,10.957
15,Nidoking,4.94520,39,4.803,31,4.784
16,Persian,2.65148,83,10.222,68,10.494
17,Jynx,1.17657,76,9.360,70,10.802
18,Muk,0.78673,5,0.616,4,0.617
19,Articuno,0.78523,27,3.325,23,3.549
20,Clefable,0.71429,1,0.123,0,0.000
21,Omastar,0.15502,7,0.862,3,0.463
22,Vaporeon,0.12928,7,0.862,5,0.772
23,Arcanine,0.12376,19,2.340,16,2.469
24,Dragonite,0.12376,63,7.759,51,7.870
25,Vileplume,0.12376,8,0.985,7,1.080
26,Zapdos,0.11269,138,16.995,109,16.821
27,Poliwrath,0.06126,5,0.616,4,0.617
28,Ninetales,0.06126,8,0.985,6,0.926
29,Raticate,0.01951,1,0.123,1,0.154
30,Golbat,0.01951,2,0.246,2,0.309
31,Electrode,0.01951,13,1.601,11,1.698
32,Flareon,0.00552,11,1.355,10,1.543
33,Oddish,0.00000,2,0.246,1,0.154
34,Weezing,0.00000,1,0.123,1,0.154
35,Caterpie,0.00000,1,0.123,1,0.154
36,Paras,0.00000,2,0.246,2,0.309
37,Kadabra,0.00000,1,0.123,1,0.154
38,Growlithe,0.00000,1,0.123,1,0.154
39,Kangaskhan,0.00000,28,3.448,25,3.858
40,Hitmonlee,0.00000,10,1.232,9,1.389
41,Machamp,0.00000,13,1.601,12,1.852
42,Butterfree,0.00000,2,0.246,1,0.154
43,Raichu,0.00000,6,0.739,5,0.772
44,Omanyte,0.00000,1,0.123,1,0.154
45,Tangela,0.00000,1,0.123,1,0.154
46,Dragonair,0.00000,1,0.123,1,0.154
47,Parasect,0.00000,5,0.616,4,0.617
48,Tentacool,0.00000,3,0.369,3,0.463
49,Ditto,0.00000,4,0.493,3,0.463
50,Aerodactyl,0.00000,11,1.355,11,1.698
51,Mankey,0.00000,1,0.123,1,0.154
52,Charmeleon,0.00000,3,0.369,3,0.463
53,Sandslash,0.00000,2,0.246,1,0.154
54,Venusaur,0.00000,30,3.695,24,3.704
55,Blastoise,0.00000,39,4.803,32,4.938
56,Pinsir,0.00000,1,0.123,1,0.154
57,Beedrill,0.00000,13,1.601,11,1.698
58,Bulbasaur,0.00000,4,0.493,3,0.463
59,Kabutops,0.00000,6,0.739,3,0.463
60,Arbok,0.00000,8,0.985,6,0.926
61,Marowak,0.00000,4,0.493,4,0.617
62,Wartortle,0.00000,1,0.123,1,0.154
63,Wigglytuff,0.00000,2,0.246,2,0.309
64,Rattata,0.00000,3,0.369,3,0.463
65,Primeape,0.00000,8,0.985,7,1.080
66,Squirtle,0.00000,4,0.493,4,0.617
67,Bellsprout,0.00000,1,0.123,1,0.154
68,Meowth,0.00000,2,0.246,2,0.309
69,Spearow,0.00000,1,0.123,1,0.154
70,Golduck,0.00000,1,0.123,1,0.154
71,Scyther,0.00000,8,0.985,7,1.080
72,Mr.-Mime,0.00000,1,0.123,1,0.154
73,Gyarados,0.00000,22,2.709,17,2.623
74,Diglett,0.00000,1,0.123,1,0.154
75,Haunter,0.00000,5,0.616,3,0.463
76,Ivysaur,0.00000,3,0.369,1,0.154
77,Pidgey,0.00000,2,0.246,2,0.309
78,Hypno,0.00000,3,0.369,2,0.309
79,Eevee,0.00000,5,0.616,2,0.309
80,Venomoth,0.00000,1,0.123,1,0.154
81,Victreebel,0.00000,15,1.847,14,2.160
82,Pidgeot,0.00000,8,0.985,7,1.080
83,Tentacruel,0.00000,3,0.369,2,0.309
84,Kingler,0.00000,1,0.123,1,0.154
85,Weepinbell,0.00000,1,0.123,1,0.154
86,Rapidash,0.00000,3,0.369,1,0.154
87,Dugtrio,0.00000,8,0.985,6,0.926
88,Dodrio,0.00000,4,0.493,3,0.463
89,Zubat,0.00000,1,0.123,1,0.154
90,Charmander,0.00000,3,0.369,2,0.309
91,Moltres,0.00000,25,3.079,19,2.932
92,Electabuzz,0.00000,2,0.246,2,0.309
93,Weedle,0.00000,2,0.246,2,0.309
94,Charizard,0.00000,77,9.483,62,9.568
95,Pikachu,0.00000,13,1.601,10,1.543
96,Seaking,0.00000,1,0.123,1,0.154
97,Dewgong,0.00000,5,0.616,4,0.617
98,Hitmonchan,0.00000,3,0.369,3,0.463
99,Rhyhorn,0.00000,1,0.123,0,0.000
100,Venonat,0.00000,1,0.123,1,0.154
101,Onix,0.00000,8,0.985,8,1.235
102,Clefairy,0.00000,1,0.123,1,0.154
103,Magneton,0.00000,5,0.616,4,0.617
104,Magmar,0.00000,2,0.246,2,0.309
105,Staryu,0.00000,1,0.123,1,0.154
