Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Toxapex,75.75188,88,14.194,66,15.248
2,Samurott-Hisui,74.45475,174,28.065,143,33.038
3,Goodra-Hisui,73.93835,123,19.839,100,23.104
4,Typhlosion-Hisui,70.57580,106,17.097,62,14.324
5,Enamorus,70.08511,63,10.161,41,9.472
6,Zapdos-Galar,70.07287,19,3.065,12,2.772
7,Corviknight,13.27946,75,12.097,59,13.631
8,Annihilape,10.97757,43,6.935,30,6.931
9,Slaking,8.99747,120,19.355,82,18.945
10,Dragapult,8.51589,62,10.000,44,10.166
11,Walking-Wake,8.49783,69,11.129,49,11.321
12,Ursaluna,8.19430,60,9.677,39,9.010
13,Chansey,7.44392,18,2.903,9,2.079
14,Haxorus,7.25031,17,2.742,10,2.310
15,Ditto,6.34712,19,3.065,13,3.003
16,Volcanion,6.31780,60,9.677,34,7.855
17,Pelipper,6.30885,18,2.903,18,4.159
18,Blissey,6.01487,8,1.290,6,1.386
19,Veluza,5.39565,35,5.645,18,4.159
20,Baxcalibur,4.10692,19,3.065,10,2.310
21,Regieleki,4.03474,45,7.258,31,7.162
22,Great-Tusk,3.82135,38,6.129,29,6.700
23,Iron-Bundle,3.40914,23,3.710,17,3.928
24,Scream-Tail,3.39684,36,5.806,28,6.469
25,Polteageist,3.38179,7,1.129,3,0.693
26,Dragonite,3.07469,81,13.065,60,13.862
27,Cinderace,2.99000,40,6.452,34,7.855
28,Volcarona,2.89824,19,3.065,13,3.003
29,Ting-Lu,2.54765,60,9.677,41,9.472
30,Hoopa-Unbound,2.44734,18,2.903,12,2.772
31,Grimmsnarl,2.03477,62,10.000,51,11.783
32,Mew,1.80910,4,0.645,4,0.924
33,Hippowdon,1.80910,3,0.484,3,0.693
34,Noivern,1.62612,42,6.774,18,4.159
35,Jolteon,1.51338,34,5.484,18,4.159
36,Slowbro-Galar,1.49000,3,0.484,2,0.462
37,Skeledirge,1.42529,42,6.774,33,7.624
38,Lilligant-Hisui,0.96493,20,3.226,10,2.310
39,Scizor,0.90358,10,1.613,9,2.079
40,Typhlosion,0.87023,12,1.935,8,1.848
41,Arboliva,0.86836,10,1.613,8,1.848
42,Floatzel,0.68041,17,2.742,13,3.003
43,Clodsire,0.62236,18,2.903,13,3.003
44,Torkoal,0.56448,21,3.387,17,3.928
45,Greninja,0.55792,27,4.355,19,4.390
46,Kleavor,0.52233,61,9.839,54,12.476
47,Landorus-Therian,0.47761,15,2.419,14,3.235
48,Sableye,0.44019,24,3.871,21,4.852
49,Rotom-Wash,0.40423,34,5.484,23,5.314
50,Thundurus-Therian,0.38138,15,2.419,13,3.003
51,Vigoroth,0.38135,9,1.452,8,1.848
52,Rillaboom,0.35754,64,10.323,48,11.090
53,Dudunsparce,0.35326,26,4.194,17,3.928
54,Gengar,0.34172,15,2.419,7,1.617
55,Amoonguss,0.29395,9,1.452,9,2.079
56,Delphox,0.27174,18,2.903,15,3.466
57,Articuno-Galar,0.24753,6,0.968,5,1.155
58,Cyclizar,0.24023,4,0.645,3,0.693
59,Slowbro,0.23271,24,3.871,15,3.466
60,Tauros,0.15689,13,2.097,8,1.848
61,Heatran,0.15575,23,3.710,17,3.928
62,Lokix,0.15515,14,2.258,12,2.772
63,Numel,0.14734,8,1.290,8,1.848
64,Scovillain,0.13310,9,1.452,5,1.155
65,Pikachu,0.12585,12,1.935,9,2.079
66,Mimikyu,0.12585,5,0.806,4,0.924
67,Ceruledge,0.10616,21,3.387,17,3.928
68,Enamorus-Therian,0.10003,7,1.129,4,0.924
69,Slowking-Galar,0.09709,15,2.419,11,2.541
70,Muk-Alola,0.09254,29,4.677,24,5.545
71,Moltres-Galar,0.08872,18,2.903,12,2.772
72,Glastrier,0.08290,9,1.452,6,1.386
73,Azelf,0.07871,8,1.290,5,1.155
74,Regidrago,0.07548,7,1.129,5,1.155
75,Sylveon,0.07535,15,2.419,11,2.541
76,Tropius,0.07502,4,0.645,4,0.924
77,Slither-Wing,0.07337,2,0.323,1,0.231
78,Azumarill,0.07160,26,4.194,22,5.083
79,Arcanine-Hisui,0.05789,17,2.742,10,2.310
80,Meowscarada,0.05530,44,7.097,34,7.855
81,Sawsbuck,0.05481,13,2.097,9,2.079
82,Bisharp,0.05138,4,0.645,3,0.693
83,Braviary-Hisui,0.05019,34,5.484,22,5.083
84,Iron-Moth,0.04219,26,4.194,13,3.003
85,Revavroom,0.04169,21,3.387,15,3.466
86,Hydreigon,0.03674,13,2.097,9,2.079
87,Garchomp,0.02731,34,5.484,26,6.007
88,Decidueye-Hisui,0.02635,22,3.548,16,3.697
89,Thundurus,0.02393,13,2.097,9,2.079
90,Tornadus-Therian,0.02225,21,3.387,16,3.697
91,Zoroark-Hisui,0.02149,5,0.806,2,0.462
92,Lycanroc-Dusk,0.01969,10,1.613,6,1.386
93,Vaporeon,0.01969,3,0.484,0,0.000
94,Persian,0.01969,10,1.613,7,1.617
95,Eelektross,0.01921,37,5.968,30,6.931
96,Sandy-Shocks,0.01420,9,1.452,4,0.924
97,Kilowattrel,0.01420,1,0.161,1,0.231
98,Flareon,0.01314,29,4.677,21,4.852
