Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Calyrex-Shadow,72.38780,104630,22.751,75045,24.510
2,Arceus,62.79547,44012,9.570,28312,9.247
3,Koraidon,52.11171,45617,9.919,31558,10.307
4,Miraidon,41.84183,66557,14.472,45193,14.760
5,Ting-Lu,36.45122,29362,6.384,23252,7.594
6,Zacian-Crowned,28.98142,76539,16.643,51529,16.830
7,Arceus-Ground,27.84240,14346,3.119,10123,3.306
8,Kyogre,21.47087,37712,8.200,26042,8.505
9,Eternatus,17.12252,21744,4.728,14720,4.808
10,Arceus-Fairy,15.66407,10576,2.300,7435,2.428
11,Giratina-Origin,15.24908,14472,3.147,10149,3.315
12,Toxapex,13.98572,28892,6.282,22015,7.190
13,Skeledirge,12.25979,24867,5.407,17689,5.777
14,Ditto,11.75460,40090,8.717,18657,6.093
15,Corviknight,8.20837,20584,4.476,14665,4.790
16,Grimmsnarl,6.84768,17058,3.709,13670,4.465
17,Glimmora,5.90568,31647,6.881,27658,9.033
18,Great-Tusk,5.86318,18032,3.921,12732,4.158
19,Arceus-Dark,5.82556,4547,0.989,3137,1.025
20,Clodsire,5.71425,29791,6.478,22039,7.198
21,Landorus-Therian,4.90908,9992,2.173,7629,2.492
22,Groudon,4.76199,18143,3.945,12963,4.234
23,Arceus-Poison,4.59462,2233,0.486,1626,0.531
24,Rayquaza,4.27289,20915,4.548,13737,4.487
25,Regieleki,3.78286,37337,8.119,25763,8.414
26,Flutter-Mane,3.73612,30904,6.720,20090,6.562
27,Chien-Pao,3.69253,27717,6.027,18755,6.126
28,Hatterene,3.62188,13950,3.033,9753,3.185
29,Gholdengo,3.49875,24440,5.314,16429,5.366
30,Arceus-Water,3.13004,2924,0.636,2171,0.709
31,Dondozo,3.10505,13355,2.904,8621,2.816
32,Iron-Bundle,3.07181,16745,3.641,11472,3.747
33,Kingambit,3.05956,35771,7.778,21715,7.092
34,Blissey,2.81382,7788,1.693,5073,1.657
35,Basculegion,2.40889,18762,4.080,10444,3.411
36,Chi-Yu,2.38868,11739,2.553,7574,2.474
37,Annihilape,2.29181,43793,9.522,26108,8.527
38,Spidops,2.28883,8664,1.884,7663,2.503
39,Iron-Treads,2.28563,11675,2.539,8473,2.767
40,Cyclizar,1.92812,16967,3.689,13733,4.485
41,Calyrex-Ice,1.92306,7010,1.524,4941,1.614
42,Espathra,1.83404,31238,6.792,22635,7.393
43,Meowscarada,1.78608,20471,4.451,14925,4.875
44,Palafin,1.69950,27439,5.966,22021,7.192
45,Magearna,1.62599,14238,3.096,10256,3.350
46,Wo-Chien,1.52157,3332,0.725,2423,0.791
47,Masquerain,1.41114,7502,1.631,6472,2.114
48,Urshifu,1.40575,9680,2.105,6603,2.157
49,Samurott-Hisui,1.36188,15043,3.271,11548,3.772
50,Giratina,1.31537,5805,1.262,4020,1.313
51,Maushold,1.27700,58220,12.659,25793,8.424
52,Arceus-Steel,1.24177,3250,0.707,2155,0.704
53,Ursaluna,1.23068,16836,3.661,11179,3.651
54,Greninja,1.15312,21723,4.723,15607,5.097
55,Garganacl,1.11542,24225,5.267,16136,5.270
56,Dragapult,1.08636,36331,7.900,25144,8.212
57,Hippowdon,0.98950,4151,0.903,3347,1.093
58,Iron-Valiant,0.94938,18440,4.010,12059,3.939
59,Walking-Wake,0.94643,9754,2.121,6510,2.126
60,Urshifu-Rapid-Strike,0.92032,16846,3.663,11296,3.689
61,Zoroark-Hisui,0.88797,17700,3.849,6827,2.230
62,Vivillon,0.88501,5950,1.294,3710,1.212
63,Dragonite,0.85324,22794,4.956,15249,4.980
64,Roaring-Moon,0.79147,10960,2.383,7310,2.387
65,Dialga-Origin,0.78820,7006,1.523,4893,1.598
66,Tyranitar,0.77878,16887,3.672,12206,3.987
67,Arceus-Ghost,0.75617,2754,0.599,1833,0.599
68,Bisharp,0.73940,5442,1.183,3864,1.262
69,Ceruledge,0.70759,22972,4.995,16297,5.323
70,Drifblim,0.66398,28662,6.232,23622,7.715
71,Cinderace,0.63521,23230,5.051,15590,5.092
72,Kricketune,0.63212,1393,0.303,1146,0.374
73,Mewtwo,0.58866,15122,3.288,10011,3.270
74,Volcarona,0.56652,23614,5.135,15815,5.165
75,Palkia-Origin,0.56044,5403,1.175,3496,1.142
76,Houndstone,0.55919,16261,3.536,9666,3.157
77,Garchomp,0.55705,31023,6.746,22402,7.317
78,Grafaiai,0.55008,6014,1.308,4376,1.429
79,Arceus-Grass,0.54472,1345,0.292,881,0.288
80,Amoonguss,0.53946,20279,4.409,14366,4.692
81,Gothitelle,0.53508,2221,0.483,1589,0.519
82,Arceus-Fire,0.52326,3011,0.655,1921,0.627
83,Baxcalibur,0.51847,16243,3.532,10537,3.441
84,Polteageist,0.50652,14122,3.071,9454,3.088
85,Muk-Alola,0.48541,3105,0.675,2326,0.760
86,Pelipper,0.46243,8041,1.748,6403,2.091
87,Espeon,0.45470,14782,3.214,9703,3.169
88,Orthworm,0.44558,5102,1.109,3993,1.304
89,Zamazenta-Crowned,0.44456,9482,2.062,6033,1.970
90,Chansey,0.44192,4334,0.942,2869,0.937
91,Scream-Tail,0.43449,5634,1.225,4194,1.370
92,Mimikyu,0.41667,16316,3.548,11346,3.706
93,Goodra-Hisui,0.41468,12246,2.663,8718,2.847
94,Scovillain,0.40734,9849,2.142,7029,2.296
95,Sneasler,0.40506,14208,3.089,9948,3.249
96,Heatran,0.39307,6498,1.413,4621,1.509
97,Quagsire,0.37320,8928,1.941,6249,2.041
98,Arceus-Flying,0.37177,1080,0.235,676,0.221
99,Landorus,0.36247,4807,1.045,3305,1.079
100,Breloom,0.35938,16755,3.643,11377,3.716
101,Cloyster,0.35103,21558,4.688,13933,4.551
102,Pawmot,0.34194,10613,2.308,6454,2.108
103,Oricorio-Pom-Pom,0.34100,3901,0.848,2773,0.906
104,Quaquaval,0.33830,15264,3.319,10716,3.500
105,Alomomola,0.32885,3580,0.778,2266,0.740
106,Dialga,0.31945,4393,0.955,2966,0.969
107,Altaria,0.31026,2871,0.624,1894,0.619
108,Arceus-Fighting,0.29910,1235,0.269,815,0.266
109,Iron-Moth,0.28738,8072,1.755,5572,1.820
110,Oricorio,0.27952,1176,0.256,815,0.266
111,Arceus-Electric,0.26973,2190,0.476,1325,0.433
112,Scizor,0.25122,13904,3.023,9892,3.231
113,Zacian,0.24710,1662,0.361,1088,0.355
114,Donphan,0.24064,3754,0.816,2495,0.815
115,Azumarill,0.22550,16430,3.573,11895,3.885
116,Hoopa-Unbound,0.22288,7821,1.701,5198,1.698
117,Slowking-Galar,0.21852,4231,0.920,3007,0.982
118,Dugtrio,0.21388,5565,1.210,2986,0.975
119,Klefki,0.21217,3486,0.758,2880,0.941
120,Iron-Hands,0.20429,7105,1.545,5095,1.664
121,Rotom-Wash,0.20083,8535,1.856,6127,2.001
122,Froslass,0.19789,3491,0.759,2485,0.812
123,Arcanine-Hisui,0.19614,10713,2.329,7440,2.430
124,Venomoth,0.19482,2559,0.556,1856,0.606
125,Torkoal,0.19303,7362,1.601,6205,2.027
126,Lilligant-Hisui,0.19284,8637,1.878,5876,1.919
127,Mew,0.18985,12720,2.766,8221,2.685
128,Gardevoir,0.18796,9656,2.100,6519,2.129
129,Armarouge,0.18320,7511,1.633,5115,1.671
130,Salamence,0.18139,9294,2.021,6319,2.064
131,Arceus-Dragon,0.17776,2390,0.520,1642,0.536
132,Enamorus,0.17540,6874,1.495,4769,1.558
133,Decidueye-Hisui,0.16674,6766,1.471,4615,1.507
134,Volcanion,0.16610,4974,1.082,3563,1.164
135,Arceus-Ice,0.15486,1166,0.254,792,0.259
136,Gastrodon,0.14318,5893,1.281,4177,1.364
137,Gengar,0.14195,16530,3.594,11567,3.778
138,Azelf,0.13370,3055,0.664,1978,0.646
139,Iron-Jugulis,0.13258,1760,0.383,1236,0.404
140,Hawlucha,0.13251,5651,1.229,3766,1.230
141,Kleavor,0.13181,6776,1.473,5439,1.776
142,Dachsbun,0.12954,2236,0.486,1470,0.480
143,Slowbro,0.12641,2428,0.528,1649,0.539
144,Barraskewda,0.12535,1903,0.414,1273,0.416
145,Electrode-Hisui,0.12488,4901,1.066,3519,1.149
146,Krookodile,0.12139,6899,1.500,4600,1.502
147,Zapdos,0.12127,6053,1.316,4198,1.371
148,Rillaboom,0.11890,5055,1.099,3631,1.186
149,Lokix,0.11862,4767,1.037,3568,1.165
150,Sandy-Shocks,0.11336,4680,1.018,3428,1.120
151,Gyarados,0.11224,9305,2.023,6743,2.202
152,Murkrow,0.11173,2500,0.544,1861,0.608
153,Moltres-Galar,0.11142,2887,0.628,1940,0.634
154,Talonflame,0.10730,6683,1.453,4799,1.567
