Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Dragonite,74.62901,172,34.959,60,28.016
2,Wo-Chien,56.70634,43,8.740,15,7.004
3,Gholdengo,44.54587,153,31.098,48,22.412
4,Chien-Pao,44.51204,151,30.691,76,35.486
5,Chi-Yu,40.16618,91,18.496,29,13.541
6,Toxapex,37.35251,48,9.756,24,11.206
7,Iron-Moth,33.94258,74,15.041,33,15.409
8,Mimikyu,33.76415,77,15.650,37,17.276
9,Ting-Lu,24.73553,161,32.724,85,39.689
10,Annihilape,21.24240,125,25.407,83,38.755
11,Flutter-Mane,21.22261,135,27.439,44,20.545
12,Skeledirge,21.20243,40,8.130,25,11.673
13,Basculin,21.18838,6,1.220,1,0.467
14,Squawkabilly,21.18838,6,1.220,5,2.335
15,Iron-Hands,18.91039,32,6.504,15,7.004
16,Breloom,17.87712,57,11.585,20,9.339
17,Glimmora,11.23124,38,7.724,15,7.004
18,Rotom-Wash,10.61817,38,7.724,15,7.004
19,Iron-Valiant,10.37772,18,3.659,16,7.471
20,Kingambit,5.47978,66,13.415,17,7.938
21,Dondozo,4.21124,52,10.569,22,10.272
22,Gardevoir,2.79198,10,2.033,7,3.268
23,Iron-Jugulis,2.74830,7,1.423,1,0.467
24,Toxtricity,2.74755,12,2.439,6,2.802
25,Dudunsparce,2.74755,5,1.016,5,2.335
26,Brute-Bonnet,2.27341,35,7.114,8,3.735
27,Roaring-Moon,1.94326,35,7.114,5,2.335
28,Appletun,1.62619,11,2.236,3,1.401
29,Avalugg,0.85614,19,3.862,5,2.335
30,Espathra,0.85357,32,6.504,18,8.405
31,Veluza,0.85201,1,0.203,0,0.000
32,Gogoat,0.85201,1,0.203,0,0.000
33,Garchomp,0.70966,36,7.317,15,7.004
34,Iron-Bundle,0.63666,76,15.447,50,23.346
35,Palafin,0.42588,32,6.504,16,7.471
36,Orthworm,0.42571,8,1.626,7,3.268
37,Flamigo,0.23950,3,0.610,2,0.934
38,Tyranitar,0.17218,11,2.236,6,2.802
39,Scizor,0.13765,38,7.724,18,8.405
40,Sylveon,0.12072,25,5.081,13,6.070
41,Pawmot,0.12070,8,1.626,4,1.868
42,Cloyster,0.11671,13,2.642,4,1.868
43,Mudsdale,0.11671,2,0.407,0,0.000
44,Kirlia,0.11671,2,0.407,0,0.000
45,Braviary,0.11671,2,0.407,2,0.934
46,Sunflora,0.11671,2,0.407,1,0.467
47,Garganacl,0.09345,33,6.707,11,5.136
48,Magnezone,0.08800,23,4.675,10,4.669
49,Gyarados,0.08759,13,2.642,4,1.868
50,Clodsire,0.07234,23,4.675,8,3.735
51,Bisharp,0.05547,6,1.220,3,1.401
52,Alomomola,0.05547,4,0.813,1,0.467
53,Cyclizar,0.05547,4,0.813,1,0.467
54,Volcarona,0.05415,50,10.163,22,10.272
55,Rotom-Mow,0.05328,10,2.033,4,1.868
56,Lucario,0.05328,19,3.862,2,0.934
57,Revavroom,0.05328,12,2.439,3,1.401
58,Mismagius,0.05328,5,1.016,2,0.934
59,Tauros-Paldea-Blaze,0.05328,5,1.016,4,1.868
60,Houndoom,0.05328,5,1.016,4,1.868
61,Salamence,0.04444,12,2.439,3,1.401
62,Haxorus,0.04316,11,2.236,3,1.401
63,Baxcalibur,0.01699,60,12.195,34,15.875
64,Meowscarada,0.01278,41,8.333,28,13.074
65,Dragapult,0.01275,45,9.146,16,7.471
66,Amoonguss,0.00523,51,10.366,12,5.603
67,Blissey,0.00412,8,1.626,3,1.401
68,Kilowattrel,0.00156,3,0.610,2,0.934
69,Pelipper,0.00156,4,0.813,3,1.401
70,Floatzel,0.00156,3,0.610,3,1.401
