Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Flutter-Mane,48.52449,104319,41.460,43491,39.008
2,Dragonite,45.72080,86338,34.313,35441,31.788
3,Urshifu-Rapid-Strike,43.85944,75190,29.883,36569,32.800
4,Chien-Pao,34.07556,64535,25.648,29750,26.683
5,Ting-Lu,27.55176,40126,15.947,19276,17.289
6,Gholdengo,23.62599,48720,19.363,15946,14.302
7,Heatran,22.85625,52483,20.858,19091,17.123
8,Landorus-Therian,19.74352,40141,15.953,20076,18.007
9,Iron-Bundle,15.67090,40403,16.057,18508,16.600
10,Goodra-Hisui,15.00314,43448,17.268,18249,16.368
11,Ursaluna,14.93043,41647,16.552,20676,18.545
12,Dondozo,14.70029,25584,10.168,11768,10.555
13,Cresselia,14.57632,26175,10.403,10785,9.673
14,Zapdos,12.43488,24118,9.585,9409,8.439
15,Mimikyu,11.27900,27087,10.765,12416,11.136
16,Sneasler,11.24066,26594,10.569,14492,12.998
17,Thundurus-Therian,10.06732,25380,10.087,10015,8.983
18,Urshifu,9.61857,25610,10.178,12960,11.624
19,Chi-Yu,8.56805,18865,7.498,6051,5.427
20,Toxapex,8.14493,14136,5.618,7274,6.524
21,Dragapult,7.67200,16046,6.377,8608,7.721
22,Amoonguss,7.33114,17077,6.787,5889,5.282
23,Regieleki,7.07362,17642,7.011,9141,8.199
24,Iron-Moth,5.78784,8077,3.210,2654,2.380
25,Garchomp,5.52421,15422,6.129,7438,6.671
26,Grimmsnarl,5.36727,8507,3.381,4832,4.334
27,Scizor,5.05293,11875,4.719,5168,4.635
28,Breloom,4.87511,16741,6.653,7591,6.809
29,Clodsire,4.76759,14079,5.595,5940,5.328
30,Garganacl,4.54694,14790,5.878,6672,5.984
31,Rotom-Wash,4.37830,11495,4.568,5131,4.602
32,Annihilape,4.17588,19133,7.604,10346,9.280
33,Meowscarada,3.77671,10511,4.177,4749,4.259
34,Greninja,3.75147,9850,3.915,5165,4.633
35,Muk-Alola,3.66973,5075,2.017,2518,2.258
36,Kleavor,3.60525,14792,5.879,8696,7.800
37,Kingambit,3.54243,9814,3.900,3554,3.188
38,Slowking-Galar,3.49799,11455,4.553,4450,3.991
39,Wo-Chien,3.29587,8391,3.335,3409,3.058
40,Basculegion,3.13038,13666,5.431,6894,6.183
41,Skeledirge,3.03468,5946,2.363,1981,1.777
42,Roaring-Moon,3.00394,6844,2.720,3178,2.850
43,Baxcalibur,2.90931,10947,4.351,5171,4.638
44,Corviknight,2.87800,10793,4.289,4375,3.924
45,Rillaboom,2.87423,6375,2.534,3601,3.230
46,Volcarona,2.81249,8992,3.574,3309,2.968
47,Iron-Hands,2.68301,8666,3.444,3993,3.581
48,Glalie,2.64602,2583,1.027,1158,1.039
49,Gothitelle,2.61180,3110,1.236,716,0.642
50,Espathra,2.56660,5663,2.251,3287,2.948
51,Gengar,2.20539,3577,1.422,1887,1.692
52,Arcanine-Hisui,2.19107,9512,3.780,4529,4.062
53,Iron-Valiant,2.15504,10367,4.120,5097,4.572
54,Azumarill,1.89709,9257,3.679,4166,3.737
55,Glimmora,1.89357,7296,2.900,3812,3.419
56,Landorus,1.73346,5662,2.250,2340,2.099
57,Samurott-Hisui,1.70819,8303,3.300,4260,3.821
58,Hatterene,1.42456,3121,1.240,1488,1.335
59,Gyarados,1.38219,4368,1.736,2104,1.887
60,Cinderace,1.36245,5470,2.174,2242,2.011
61,Great-Tusk,1.23005,6337,2.519,2739,2.457
62,Enamorus,1.21094,5097,2.026,2427,2.177
63,Pelipper,1.18387,7268,2.889,3777,3.388
64,Palafin,1.18144,5326,2.117,2885,2.588
65,Jolteon,1.16972,852,0.339,356,0.319
66,Zoroark-Hisui,1.15477,8131,3.232,2874,2.578
67,Hippowdon,1.15061,5750,2.285,3058,2.743
68,Chansey,1.13404,2365,0.940,896,0.804
69,Magnezone,1.07552,3506,1.393,1413,1.267
70,Drifblim,0.98786,3833,1.523,2315,2.076
71,Blissey,0.97432,2085,0.829,741,0.665
72,Enamorus-Therian,0.93777,3205,1.274,1303,1.169
73,Ditto,0.85790,2515,1.000,878,0.787
74,Scream-Tail,0.80941,2561,1.018,1220,1.094
75,Torkoal,0.79651,5430,2.158,3113,2.792
76,Avalugg,0.74620,1820,0.723,597,0.535
77,Tornadus-Therian,0.74068,698,0.277,304,0.273
78,Glastrier,0.73549,2403,0.955,1139,1.022
79,Mudsdale,0.72719,201,0.080,84,0.075
80,Hydreigon,0.70713,2018,0.802,862,0.773
81,Orthworm,0.67951,1836,0.730,799,0.717
82,Pawmot,0.67390,3264,1.297,1747,1.567
83,Overqwil,0.65820,2793,1.110,1506,1.351
84,Chesnaught,0.63234,4663,1.853,2351,2.109
85,Ceruledge,0.58393,4538,1.804,2027,1.818
86,Moltres-Galar,0.56341,3517,1.398,1431,1.283
87,Thundurus,0.51252,2084,0.828,862,0.773
88,Iron-Treads,0.51011,2318,0.921,949,0.851
89,Cloyster,0.50962,2617,1.040,1164,1.044
90,Gastrodon,0.50909,1867,0.742,729,0.654
91,Spectrier,0.50780,3192,1.269,1646,1.476
92,Decidueye,0.44547,1241,0.493,444,0.398
93,Lilligant-Hisui,0.42648,3864,1.536,1736,1.557
