Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Misdreavus,49.88144,63,15.909,39,14.652
2,Finneon,47.84122,42,10.606,31,11.647
3,Stantler,44.72355,34,8.586,19,7.138
4,Mudbray,42.28418,128,32.323,73,27.426
5,Grimer-Alola,38.52181,54,13.636,36,13.525
6,Grookey,27.53379,57,14.394,40,15.028
7,Voltorb-Hisui,25.76556,47,11.869,31,11.647
8,Foongus,25.42800,76,19.192,65,24.421
9,Girafarig,23.40527,37,9.343,29,10.895
10,Surskit,21.45648,19,4.798,8,3.006
11,Meditite,20.90709,17,4.293,10,3.757
12,Meowth-Alola,17.33052,50,12.626,30,11.271
13,Growlithe,15.55319,49,12.374,33,12.398
14,Wattrel,14.84162,52,13.131,39,14.652
15,Growlithe-Hisui,14.80176,30,7.576,21,7.890
16,Psyduck,11.38077,19,4.798,16,6.011
17,Shroodle,11.36589,42,10.606,24,9.017
18,Bramblin,10.77527,30,7.576,24,9.017
19,Houndour,10.67877,26,6.566,16,6.011
20,Glimmet,10.17975,77,19.444,35,13.150
21,Drifloon,10.16377,36,9.091,29,10.895
22,Snover,8.18420,27,6.818,9,3.381
23,Wingull,7.82984,24,6.061,13,4.884
24,Cubchoo,7.40276,9,2.273,3,1.127
25,Bronzor,7.16764,52,13.131,29,10.895
26,Pawniard,7.10068,68,17.172,42,15.780
27,Rookidee,6.91717,16,4.040,16,6.011
28,Rufflet,6.80505,6,1.515,4,1.503
29,Larvesta,4.98918,27,6.818,23,8.641
30,Finizen,4.98839,12,3.030,7,2.630
31,Meowth-Galar,4.97351,10,2.525,8,3.006
32,Crabrawler,4.09858,26,6.566,21,7.890
33,Flabebe,3.92193,5,1.263,3,1.127
34,Shellos,3.85810,15,3.788,12,4.508
35,Buizel,2.48678,74,18.687,60,22.542
36,Fletchling,2.38576,43,10.859,30,11.271
37,Barboach,1.80488,9,2.273,8,3.006
38,Gothita,1.71439,14,3.535,8,3.006
39,Snorunt,1.60187,6,1.515,2,0.751
40,Hippopotas,1.57829,28,7.071,23,8.641
41,Numel,1.31762,11,2.778,8,3.006
42,Slowpoke,1.31449,10,2.525,7,2.630
43,Cetoddle,1.21813,19,4.798,14,5.260
44,Frigibax,1.16379,7,1.768,4,1.503
45,Bergmite,1.14891,5,1.263,5,1.879
46,Tinkatink,1.05485,16,4.040,10,3.757
47,Toedscool,0.97904,27,6.818,12,4.508
48,Cufant,0.91897,21,5.303,18,6.763
49,Clauncher,0.76636,24,6.061,15,5.636
50,Zorua-Hisui,0.68242,44,11.111,20,7.514
51,Igglybuff,0.68159,13,3.283,10,3.757
52,Larvitar,0.65933,18,4.545,13,4.884
53,Diglett,0.45296,10,2.525,7,2.630
54,Magnemite,0.29891,19,4.798,15,5.636
55,Spoink,0.28170,8,2.020,4,1.503
56,Teddiursa,0.27828,6,1.515,4,1.503
57,Phanpy,0.26574,3,0.758,3,1.127
