Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Arceus,48.60726,9219,10.291,5192,9.719
2,Kyogre,45.84900,19429,21.689,11864,22.207
3,Calyrex-Shadow,40.34001,18793,20.979,11789,22.067
4,Koraidon,38.64226,10649,11.887,6004,11.238
5,Calyrex-Ice,37.90341,11461,12.794,7621,14.265
6,Indeedee-F,35.16414,12032,13.431,6777,12.685
7,Urshifu,28.88735,5837,6.516,3377,6.321
8,Miraidon,28.32781,15384,17.173,9151,17.129
9,Magearna,27.33587,9350,10.437,5725,10.716
10,Tornadus,23.36007,13621,15.205,7320,13.702
11,Rayquaza,20.87894,4211,4.701,2558,4.788
12,Armarouge,17.46946,6224,6.948,3931,7.358
13,Zacian-Crowned,16.76573,12591,14.055,7165,13.412
14,Zamazenta-Crowned,15.92094,3389,3.783,2021,3.783
15,Grimmsnarl,13.09294,7309,8.159,4089,7.654
16,Chien-Pao,11.70506,8046,8.982,4575,8.564
17,Groudon,11.46483,8106,9.049,4644,8.693
18,Amoonguss,9.34007,15497,17.299,9548,17.872
19,Arcanine,6.99996,3607,4.026,2295,4.296
20,Chi-Yu,5.37228,4765,5.319,2803,5.247
21,Eternatus,5.32687,1839,2.053,1026,1.920
22,Ursaluna,5.21451,10904,12.172,6773,12.678
23,Basculegion,5.15856,4977,5.556,2862,5.357
24,Flutter-Mane,4.25837,11838,13.215,7428,13.904
25,Murkrow,3.70241,5750,6.419,3065,5.737
26,Arceus-Steel,3.58768,431,0.481,249,0.466
27,Iron-Bundle,3.34574,4768,5.322,2869,5.370
28,Regieleki,3.26651,7120,7.948,4262,7.978
29,Arceus-Fire,3.22142,741,0.827,453,0.848
30,Iron-Hands,3.10524,6625,7.395,4322,8.090
31,Breloom,3.00449,1256,1.402,658,1.232
32,Rillaboom,3.00205,3443,3.843,2291,4.288
33,Arceus-Ground,2.97436,591,0.660,317,0.593
34,Dialga-Origin,2.92369,1888,2.108,1054,1.973
35,Tatsugiri,2.54550,10355,11.559,6193,11.592
36,Dondozo,2.51776,9917,11.070,6421,12.019
37,Annihilape,2.50992,9504,10.609,5483,10.263
