Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kingambit,36.58681,18797,25.587,12547,21.052
2,Great-Tusk,26.37724,14194,19.322,11389,19.109
3,Iron-Valiant,21.68443,14958,20.362,11286,18.936
4,Gholdengo,21.34775,11038,15.025,8767,14.710
5,Dragapult,20.32541,12880,17.533,10015,16.804
6,Dondozo,18.83505,6782,9.232,5398,9.057
7,Dragonite,16.74987,9100,12.387,7177,12.042
8,Skeledirge,16.44600,7870,10.713,6485,10.881
9,Samurott-Hisui,15.99796,9521,12.960,8337,13.988
10,Ursaluna,15.42925,6995,9.522,5389,9.042
11,Meowscarada,14.63360,8466,11.524,7506,12.594
12,Garganacl,13.98899,9902,13.479,8115,13.616
13,Urshifu-Rapid-Strike,13.50245,8459,11.515,6947,11.656
14,Hatterene,12.79806,5444,7.411,4822,8.091
15,Corviknight,11.99946,9171,12.484,7566,12.695
16,Hoopa-Unbound,11.20522,6317,8.599,4525,7.592
17,Iron-Hands,10.63262,2760,3.757,2272,3.812
18,Tinkaton,9.94951,8144,11.086,7284,12.221
19,Volcarona,9.62292,3736,5.086,2963,4.971
20,Enamorus-Therian,9.48643,1711,2.329,1321,2.216
21,Ceruledge,9.17370,7514,10.228,6155,10.327
22,Zamazenta,9.05673,3760,5.118,2819,4.730
23,Glimmora,8.62006,7394,10.065,6998,11.742
24,Clodsire,7.95396,5928,8.069,4967,8.334
25,Roaring-Moon,7.81319,4857,6.612,3663,6.146
26,Landorus-Therian,6.77691,4420,6.017,3911,6.562
27,Baxcalibur,6.70711,6444,8.772,4996,8.382
28,Grimmsnarl,6.49852,4016,5.467,3420,5.738
29,Sneasler,6.33333,6488,8.832,5351,8.978
30,Mimikyu,6.27549,1646,2.241,1301,2.183
31,Revavroom,6.24270,4104,5.587,3795,6.367
32,Garchomp,5.47521,3818,5.197,2934,4.923
33,Brambleghast,5.42936,639,0.870,562,0.943
34,Cyclizar,5.04584,4009,5.457,3552,5.960
35,Cresselia,4.83211,1733,2.359,1343,2.253
36,Toxtricity,4.69692,3379,4.600,2938,4.929
37,Maushold,4.67329,4577,6.230,4030,6.762
38,Azumarill,4.64202,4338,5.905,3666,6.151
39,Scizor,4.63263,4470,6.085,3557,5.968
40,Falinks,4.54201,3771,5.133,3461,5.807
41,Walking-Wake,4.40319,3960,5.391,3067,5.146
42,Toxapex,4.23327,5295,7.208,4386,7.359
43,Torkoal,4.19087,3130,4.261,2949,4.948
44,Azelf,3.84704,3276,4.459,3164,5.309
