Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Flutter-Mane,46.74132,1982,37.019,1513,34.828
2,Kingambit,36.70781,1341,25.047,1054,24.262
3,Great-Tusk,36.62334,1335,24.935,1135,26.127
4,Glimmora,33.16030,678,12.663,631,14.525
5,Amoonguss,29.93116,735,13.728,628,14.456
6,Basculegion,29.91719,1420,26.522,1036,23.848
7,Urshifu,28.77160,1167,21.797,976,22.467
8,Toxapex,26.29832,324,6.052,278,6.399
9,Iron-Bundle,24.99331,542,10.123,415,9.553
10,Palafin,21.43971,850,15.876,762,17.541
11,Dragonite,18.72381,743,13.877,573,13.190
12,Dugtrio,16.53679,131,2.447,100,2.302
13,Corviknight,16.39063,687,12.832,617,14.203
14,Clodsire,14.38070,513,9.582,428,9.852
15,Landorus-Therian,11.95226,111,2.073,83,1.911
16,Gothitelle,11.38167,192,3.586,165,3.798
17,Espathra,11.00292,671,12.533,544,12.523
18,Cyclizar,10.61219,233,4.352,200,4.604
19,Urshifu-Rapid-Strike,8.74078,354,6.612,307,7.067
20,Scovillain,8.47587,115,2.148,90,2.072
21,Iron-Treads,7.56979,165,3.082,146,3.361
22,Ting-Lu,7.41779,815,15.222,704,16.206
23,Cresselia,7.31792,171,3.194,130,2.993
24,Volcarona,7.18740,301,5.622,243,5.594
25,Hatterene,6.97434,215,4.016,153,3.522
26,Chesnaught,6.91794,64,1.195,53,1.220
27,Chansey,6.90548,167,3.119,146,3.361
28,Landorus,6.61150,616,11.505,513,11.809
29,Talonflame,6.56198,93,1.737,82,1.888
30,Pelipper,6.45189,398,7.434,359,8.264
31,Iron-Valiant,5.95944,214,3.997,160,3.683
32,Goodra-Hisui,5.46786,519,9.694,406,9.346
33,Blissey,5.11992,147,2.746,113,2.601
34,Zapdos,5.09306,148,2.764,126,2.900
35,Chi-Yu,4.83409,380,7.097,305,7.021
36,Torkoal,4.51629,303,5.659,283,6.514
37,Lilligant-Hisui,4.50576,299,5.585,236,5.433
38,Alomomola,3.95357,306,5.715,255,5.870
39,Gholdengo,3.88496,601,11.225,471,10.842
40,Dondozo,3.76115,227,4.240,180,4.143
41,Chien-Pao,3.56399,485,9.059,392,9.024
42,Slowking-Galar,2.88691,520,9.712,451,10.382
43,Dragapult,2.59563,407,7.602,312,7.182
44,Scizor,2.57086,263,4.912,219,5.041
45,Annihilape,2.24068,450,8.405,376,8.655
46,Grimmsnarl,1.95352,310,5.790,284,6.538
47,Sneasler,1.79441,270,5.043,225,5.179
48,Haxorus,1.77385,69,1.289,50,1.151
49,Skeledirge,1.53216,181,3.381,134,3.085
50,Grafaiai,1.43472,60,1.121,55,1.266
51,Regieleki,1.43292,660,12.327,517,11.901
52,Enamorus,1.31666,546,10.198,468,10.773
53,Hawlucha,1.24308,163,3.044,133,3.062
54,Garganacl,1.20851,175,3.269,141,3.246
55,Sableye,1.11836,17,0.318,14,0.322
56,Breloom,0.81794,218,4.072,164,3.775
57,Tornadus-Therian,0.81174,50,0.934,39,0.898
58,Ursaluna,0.75247,206,3.848,146,3.361
59,Tauros-Paldea-Blaze,0.66447,26,0.486,21,0.483
60,Garchomp,0.64015,245,4.576,212,4.880
61,Articuno,0.54579,34,0.635,27,0.622
62,Orthworm,0.52758,104,1.942,95,2.187
63,Drifblim,0.47255,220,4.109,179,4.120
64,Quagsire,0.41182,27,0.504,23,0.529
65,Mimikyu,0.38923,72,1.345,59,1.358
66,Vaporeon,0.37400,66,1.233,52,1.197
67,Samurott-Hisui,0.37375,312,5.827,284,6.538
