Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Clodsire,55.52267,460,30.997,377,32.495
2,Corviknight,42.77478,225,15.162,187,16.118
3,Great-Tusk,31.39044,424,28.571,335,28.875
4,Giratina,30.16342,101,6.806,86,7.413
5,Alomomola,26.21528,111,7.480,88,7.585
6,Spiritomb,25.76320,74,4.987,58,4.999
7,Calyrex-Ice,18.82237,188,12.668,126,10.861
8,Umbreon,17.08164,44,2.965,25,2.155
9,Slowking-Galar,16.64932,133,8.962,108,9.309
10,Samurott-Hisui,16.53345,197,13.275,170,14.653
11,Gholdengo,16.37287,154,10.377,119,10.257
12,Dondozo,12.20063,164,11.051,136,11.722
13,Ditto,12.04876,84,5.660,69,5.947
14,Eternatus,11.08703,130,8.760,103,8.878
15,Garganacl,10.87776,69,4.650,50,4.310
16,Zapdos,10.47990,83,5.593,65,5.603
17,Arceus-Water,10.11715,33,2.224,29,2.500
18,Koraidon,9.37279,224,15.094,183,15.774
19,Scream-Tail,8.78207,104,7.008,87,7.499
20,Hatterene,8.26727,168,11.321,138,11.895
21,Rotom-Wash,8.23819,250,16.846,220,18.963
22,Ting-Lu,7.95736,79,5.323,67,5.775
23,Amoonguss,7.10840,59,3.976,39,3.362
24,Enamorus-Therian,7.04159,80,5.391,64,5.516
25,Greninja,7.01966,93,6.267,78,6.723
26,Cyclizar,6.07941,48,3.235,39,3.362
27,Maushold,5.65161,129,8.693,89,7.671
28,Talonflame,5.28704,76,5.121,56,4.827
29,Electrode-Hisui,5.09180,137,9.232,107,9.223
30,Tinkaton,5.04477,96,6.469,77,6.637
31,Slowbro,5.00704,22,1.482,17,1.465
32,Decidueye-Hisui,4.82999,92,6.199,75,6.465
33,Gastrodon,4.75517,37,2.493,30,2.586
34,Baxcalibur,4.54508,89,5.997,73,6.292
35,Slowking,4.39596,37,2.493,30,2.586
36,Dialga-Origin,4.35100,24,1.617,21,1.810
37,Landorus-Therian,4.29276,89,5.997,76,6.551
38,Brambleghast,4.25034,9,0.606,8,0.690
39,Walking-Wake,4.21878,84,5.660,64,5.516
40,Meowscarada,3.86932,62,4.178,53,4.568
41,Iron-Valiant,3.59044,50,3.369,36,3.103
42,Sneasler,3.36111,68,4.582,43,3.706
43,Zacian-Crowned,3.22856,165,11.119,125,10.774
44,Brute-Bonnet,3.09951,22,1.482,15,1.293
45,Tornadus-Therian,2.94394,35,2.358,30,2.586
46,Quagsire,2.86579,17,1.146,14,1.207
47,Grimmsnarl,2.84548,44,2.965,36,3.103
48,Kyogre,2.71819,62,4.178,55,4.741
49,Rillaboom,2.53604,21,1.415,19,1.638
50,Hariyama,2.52840,9,0.606,7,0.603
51,Goodra-Hisui,2.50368,59,3.976,39,3.362
52,Scizor,2.49627,27,1.819,15,1.293
53,Persian-Alola,2.43314,30,2.022,22,1.896
54,Diancie,2.32720,93,6.267,77,6.637
55,Hoopa,2.26203,42,2.830,29,2.500
56,Arceus,2.25263,129,8.693,86,7.413
57,Primeape,2.24293,8,0.539,8,0.690
58,Rayquaza,2.15623,43,2.898,29,2.500
59,Arceus-Ghost,2.12616,21,1.415,17,1.465
60,Lilligant-Hisui,1.91910,48,3.235,32,2.758
61,Skeledirge,1.80692,110,7.412,82,7.068
62,Heatran,1.77188,53,3.571,49,4.224
63,Pawmot,1.75881,11,0.741,7,0.603
64,Iron-Treads,1.74006,33,2.224,26,2.241
65,Cloyster,1.62333,88,5.930,62,5.344
66,Dachsbun,1.60243,15,1.011,13,1.121
67,Sylveon,1.60222,20,1.348,12,1.034
68,Basculegion,1.54554,30,2.022,24,2.069
69,Pikachu,1.54273,66,4.447,48,4.137
70,Kleavor,1.52349,28,1.887,25,2.155
71,Enamorus,1.50515,68,4.582,54,4.655
72,Arceus-Ground,1.50060,22,1.482,17,1.465
73,Roaring-Moon,1.48642,61,4.111,38,3.275
74,Klefki,1.48233,14,0.943,10,0.862
75,Braviary-Hisui,1.38323,21,1.415,19,1.638
76,Heracross,1.37606,7,0.472,7,0.603
77,Copperajah,1.37606,18,1.213,14,1.207
78,Typhlosion-Hisui,1.21392,25,1.685,17,1.465
79,Regidrago,1.07829,92,6.199,61,5.258
80,Slither-Wing,1.02530,25,1.685,16,1.379
81,Groudon,0.99861,25,1.685,22,1.896
82,Cinderace,0.95542,69,4.650,57,4.913
83,Arcanine-Hisui,0.85635,68,4.582,50,4.310
84,Decidueye,0.76961,6,0.404,6,0.517
85,Azumarill,0.75744,49,3.302,40,3.448
86,Polteageist,0.70454,28,1.887,21,1.810
87,Glimmora,0.63880,40,2.695,35,3.017
88,Hawlucha,0.63864,48,3.235,33,2.844
89,Lokix,0.60689,11,0.741,11,0.948
90,Bronzong,0.54906,17,1.146,13,1.121
91,Glastrier,0.48828,95,6.402,65,5.603
92,Avalugg-Hisui,0.48067,78,5.256,61,5.258
93,Tyranitar,0.47389,22,1.482,17,1.465
94,Tauros,0.44871,55,3.706,42,3.620
95,Arcanine,0.43793,2,0.135,2,0.172
96,Moltres,0.43772,9,0.606,9,0.776
97,Moltres-Galar,0.36056,9,0.606,6,0.517
98,Quaquaval,0.34501,8,0.539,7,0.603
99,Basculegion-F,0.33854,8,0.539,6,0.517
100,Wo-Chien,0.29817,23,1.550,17,1.465
101,Rotom-Mow,0.29433,6,0.404,6,0.517
102,Charizard,0.28984,14,0.943,11,0.948
103,Arceus-Fairy,0.27234,23,1.550,18,1.552
104,Regieleki,0.26522,26,1.752,18,1.552
105,Altaria,0.25944,17,1.146,10,0.862
106,Uxie,0.24825,22,1.482,19,1.638
107,Breloom,0.24785,29,1.954,26,2.241
108,Greedent,0.21626,13,0.876,11,0.948
109,Torkoal,0.21360,33,2.224,29,2.500
110,Ampharos,0.19671,9,0.606,9,0.776
111,Dragonair,0.19670,10,0.674,7,0.603
112,Arceus-Fighting,0.19670,12,0.809,9,0.776
113,Persian,0.19670,11,0.741,8,0.690
114,Volcanion,0.16101,37,2.493,30,2.586
115,Iron-Moth,0.15811,78,5.256,58,4.999
116,Drifblim,0.15201,21,1.415,17,1.465
117,Forretress,0.14310,20,1.348,19,1.638
118,Eiscue,0.12660,10,0.674,6,0.517
119,Zamazenta-Crowned,0.12527,16,1.078,14,1.207
120,Jumpluff,0.11617,5,0.337,5,0.431
121,Jolteon,0.11317,8,0.539,6,0.517
122,Ceruledge,0.11238,16,1.078,11,0.948
123,Meloetta,0.09937,8,0.539,8,0.690
124,Palossand,0.09021,7,0.472,7,0.603
125,Spidops,0.09021,8,0.539,8,0.690
126,Slowbro-Galar,0.08118,4,0.270,3,0.259
127,Armarouge,0.08118,7,0.472,6,0.517
128,Cresselia,0.07715,14,0.943,11,0.948
129,Ursaring,0.07707,17,1.146,12,1.034
130,Sandaconda,0.07707,11,0.741,8,0.690
131,Cetitan,0.07664,9,0.606,6,0.517
132,Weavile,0.07199,16,1.078,16,1.379
133,Masquerain,0.07109,26,1.752,26,2.241
134,Abomasnow,0.07052,6,0.404,6,0.517
135,Noivern,0.06888,20,1.348,16,1.379
136,Pyroar,0.06574,17,1.146,16,1.379
137,Palkia,0.06420,5,0.337,4,0.345
138,Dedenne,0.06195,4,0.270,3,0.259
139,Frosmoth,0.06086,9,0.606,6,0.517
140,Krookodile,0.05557,3,0.202,3,0.259
141,Arceus-Electric,0.05356,14,0.943,10,0.862
142,Delphox,0.05242,4,0.270,4,0.345
143,Crabominable,0.04477,3,0.202,3,0.259
144,Rotom-Heat,0.04244,18,1.213,17,1.465
145,Arboliva,0.04173,33,2.224,30,2.586
146,Garchomp,0.04021,43,2.898,35,3.017
147,Espeon,0.03863,13,0.876,10,0.862
148,Houndstone,0.03807,1,0.067,0,0.000
149,Thundurus-Therian,0.03530,8,0.539,8,0.690
150,Magneton,0.03204,11,0.741,9,0.776
151,Mimikyu,0.03137,13,0.876,8,0.690
