Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Goodra-Hisui,52.26550,31876,27.559,26754,29.636
2,Dragapult,42.63440,38917,33.647,29643,32.837
3,Cresselia,38.30310,10311,8.915,8441,9.350
4,Great-Tusk,29.56848,25541,22.082,19688,21.809
5,Magearna,28.73632,10592,9.158,8588,9.513
6,Gholdengo,26.94101,18097,15.646,14700,16.284
7,Corviknight,23.72113,19617,16.960,17106,18.949
8,Ting-Lu,23.59154,19610,16.954,16175,17.918
9,Iron-Valiant,23.57751,40628,35.126,30194,33.447
10,Urshifu-Rapid-Strike,23.46119,16125,13.941,13082,14.491
11,Iron-Bundle,22.89839,29572,25.567,22784,25.239
12,Annihilape,21.37696,5059,4.374,4227,4.682
13,Iron-Hands,18.76260,16306,14.098,12993,14.393
14,Roaring-Moon,11.88465,23276,20.124,17422,19.299
15,Landorus-Therian,11.18356,20079,17.360,16066,17.797
16,Toxapex,11.12643,11246,9.723,9603,10.638
17,Scream-Tail,10.54794,9488,8.203,7867,8.715
18,Kingambit,9.35152,15399,13.314,11798,13.069
19,Zoroark-Hisui,8.32069,13323,11.519,9667,10.709
20,Garchomp,7.08794,17245,14.910,12606,13.964
21,Iron-Moth,6.94934,16859,14.576,12642,14.004
22,Sneasler,6.34813,7240,6.260,5523,6.118
23,Heatran,5.94957,12884,11.139,10091,11.178
24,Thundurus,5.78857,2500,2.161,1793,1.986
25,Chansey,5.69971,2034,1.759,1655,1.833
26,Muk-Alola,5.69108,5216,4.510,4480,4.963
27,Enamorus,5.61553,9954,8.606,7329,8.119
28,Walking-Wake,5.46000,10081,8.716,7773,8.610
29,Moltres,5.16533,3925,3.393,3110,3.445
30,Slither-Wing,4.73520,8719,7.538,7137,7.906
31,Blissey,4.66281,3868,3.344,3034,3.361
32,Baxcalibur,4.60062,6033,5.216,4452,4.932
33,Enamorus-Therian,4.14386,5611,4.851,4608,5.104
34,Thundurus-Therian,3.85305,7319,6.328,5495,6.087
35,Ursaring,3.78674,5237,4.528,3762,4.167
36,Meloetta,3.72608,4667,4.035,3372,3.735
37,Zapdos,3.65175,5284,4.568,4257,4.716
38,Iron-Treads,3.13000,5499,4.754,4360,4.830
39,Zapdos-Galar,2.93843,5682,4.913,4320,4.785
40,Chien-Pao,2.67854,5359,4.633,4240,4.697
41,Florges,2.59987,1516,1.311,1219,1.350
42,Slowking-Galar,2.58783,3458,2.990,2669,2.957
43,Forretress,2.57356,1497,1.294,1342,1.487
44,Gyarados,2.31314,3910,3.380,3105,3.440
45,Staraptor,2.06578,5013,4.334,3447,3.818
46,Volcanion,1.85698,3353,2.899,2664,2.951
47,Electrode-Hisui,1.69668,5600,4.842,4935,5.467
48,Grimmsnarl,1.37177,1652,1.428,1382,1.531
49,Iron-Leaves,1.34489,3511,3.036,2512,2.783
50,Alomomola,1.33663,877,0.758,748,0.829
51,Greninja,1.33047,2009,1.737,1669,1.849
52,Sandy-Shocks,1.32174,3067,2.652,2495,2.764
53,Landorus,1.32172,1187,1.026,955,1.058
54,Barraskewda,1.30381,4390,3.795,3438,3.808
55,Scizor,1.21958,4677,4.044,3974,4.402
56,Gengar,1.20829,3323,2.873,2543,2.817
57,Zarude,1.15699,2253,1.948,1756,1.945
58,Tyranitar,1.12460,3013,2.605,2258,2.501
59,Umbreon,0.99466,1002,0.866,862,0.955
60,Slowbro,0.93612,696,0.602,586,0.649
61,Goodra,0.91192,499,0.431,408,0.452
62,Chesnaught,0.80017,1276,1.103,1089,1.206
63,Rotom-Wash,0.77789,3457,2.989,3024,3.350
64,Palossand,0.75883,1085,0.938,845,0.936
65,Hoopa,0.69630,2518,2.177,1847,2.046
66,Breloom,0.67625,712,0.616,504,0.558
67,Weavile,0.63863,3221,2.785,2535,2.808
68,Cyclizar,0.63213,2168,1.874,1633,1.809
69,Chi-Yu,0.62988,1636,1.414,1154,1.278
70,Hydreigon,0.62506,2117,1.830,1497,1.658
71,Diancie,0.62161,2819,2.437,2347,2.600
72,Sylveon,0.62074,447,0.386,377,0.418
73,Clodsire,0.60719,1424,1.231,1163,1.288
74,Skeledirge,0.60108,1106,0.956,898,0.995
75,Lycanroc,0.57588,1490,1.288,1272,1.409
76,Jolteon,0.56772,1836,1.587,1438,1.593
77,Iron-Jugulis,0.52110,1356,1.172,920,1.019
78,Meowscarada,0.50141,3119,2.697,2459,2.724
79,Palafin,0.49850,974,0.842,883,0.978
80,Tornadus-Therian,0.48383,1637,1.415,1304,1.444
81,Glastrier,0.48352,2470,2.135,1971,2.183
82,Moltres-Galar,0.45788,656,0.567,494,0.547
83,Electrode,0.45747,645,0.558,557,0.617
84,Azumarill,0.45484,546,0.472,432,0.479
85,Gastrodon,0.44521,1114,0.963,919,1.018
86,Articuno-Galar,0.43338,1750,1.513,1269,1.406
87,Brambleghast,0.40398,81,0.070,60,0.066
88,Dragonite,0.39474,1177,1.018,866,0.959
89,Honchkrow,0.37831,301,0.260,222,0.246
90,Vaporeon,0.37221,1043,0.902,831,0.921
91,Tauros-Paldea-Aqua,0.36944,981,0.848,785,0.870
92,Amoonguss,0.36872,1521,1.315,1335,1.479
93,Hippowdon,0.35548,384,0.332,319,0.353
94,Tinkaton,0.35437,775,0.670,665,0.737
95,Azelf,0.32438,1407,1.216,1073,1.189
96,Cinderace,0.31131,2077,1.796,1564,1.733
97,Kleavor,0.29070,1542,1.333,1247,1.381
98,Haxorus,0.28871,1728,1.494,1290,1.429
99,Regidrago,0.28484,626,0.541,511,0.566
100,Spiritomb,0.27465,1163,1.005,945,1.047
101,Armarouge,0.25727,1396,1.207,971,1.076
102,Garganacl,0.25239,1438,1.243,1176,1.303
103,Wo-Chien,0.24994,1188,1.027,944,1.046
104,Iron-Thorns,0.24870,730,0.631,544,0.603
105,Bisharp,0.24846,1048,0.906,821,0.909
106,Gardevoir,0.24431,1000,0.865,770,0.853
107,Overqwil,0.23119,912,0.788,758,0.840
108,Dudunsparce,0.21480,450,0.389,370,0.410
109,Samurott-Hisui,0.21245,806,0.697,652,0.722
110,Hatterene,0.20732,1475,1.275,1222,1.354
111,Tauros,0.20294,893,0.772,641,0.710
112,Braviary,0.20016,2876,2.487,1843,2.042
113,Typhlosion-Hisui,0.19986,1263,1.092,924,1.024
114,Ceruledge,0.19711,1030,0.891,776,0.860
115,Magnezone,0.17902,1369,1.184,1072,1.187
116,Carbink,0.17746,268,0.232,194,0.215
117,Uxie,0.17728,743,0.642,649,0.719
118,Inteleon,0.16336,932,0.806,727,0.805
119,Basculegion-F,0.16179,488,0.422,374,0.414
120,Tauros-Paldea-Blaze,0.15989,533,0.461,398,0.441
121,Salazzle,0.15827,456,0.394,343,0.380
122,Volcarona,0.15353,506,0.437,392,0.434
123,Avalugg,0.14975,593,0.513,507,0.562
124,Krookodile,0.12777,622,0.538,513,0.568
125,Slowking,0.12264,169,0.146,158,0.175
126,Arcanine-Hisui,0.12078,466,0.403,351,0.389
127,Brute-Bonnet,0.11725,493,0.426,372,0.412
128,Pikachu,0.11721,409,0.354,281,0.311
129,Basculegion,0.10722,327,0.283,281,0.311
130,Quagsire,0.10685,658,0.569,513,0.568
131,Delphox,0.09595,597,0.516,449,0.497
132,Lilligant-Hisui,0.09368,779,0.674,509,0.564
133,Arboliva,0.09268,658,0.569,487,0.539
