Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Corviknight,38.24432,2865,24.508,2334,26.114
2,Arcanine-Hisui,35.68352,2313,19.786,1856,20.766
3,Great-Tusk,31.19468,2737,23.413,2128,23.809
4,Regieleki,29.85806,3103,26.544,2555,28.586
5,Magearna,29.60597,2428,20.770,1882,21.057
6,Arceus,26.74102,1228,10.505,864,9.667
7,Dragonite,26.60554,2799,23.944,2061,23.059
8,Sandy-Shocks,26.15815,1537,13.148,1310,14.657
9,Slowking-Galar,19.61746,1369,11.711,1099,12.296
10,Iron-Valiant,18.81437,1422,12.164,1017,11.379
11,Arceus-Ground,16.04719,1163,9.949,889,9.946
12,Samurott-Hisui,15.29936,1204,10.299,1025,11.468
13,Toxapex,14.75927,919,7.861,749,8.380
14,Ursaluna,12.86621,961,8.221,744,8.324
15,Iron-Treads,11.94121,525,4.491,421,4.710
16,Zamazenta,11.51030,1043,8.922,728,8.145
17,Tornadus-Therian,10.55794,444,3.798,348,3.894
18,Hippowdon,10.25591,404,3.456,347,3.882
19,Gastrodon,10.23233,223,1.908,179,2.003
20,Garganacl,9.66558,1006,8.606,813,9.096
21,Skeledirge,9.24100,634,5.423,503,5.628
22,Arceus-Water,9.16486,532,4.551,417,4.666
23,Arceus-Ghost,8.52302,201,1.719,151,1.689
24,Clodsire,8.12079,1129,9.658,902,10.092
25,Scream-Tail,7.75246,828,7.083,649,7.261
26,Blissey,6.78844,761,6.510,568,6.355
27,Moltres,6.27220,131,1.121,111,1.242
28,Basculegion,6.26786,634,5.423,380,4.252
29,Slowbro,6.17810,359,3.071,298,3.334
30,Iron-Moth,5.81765,965,8.255,722,8.078
31,Basculegion-F,5.74796,558,4.773,304,3.401
32,Noivern,5.27663,322,2.754,259,2.898
33,Zapdos-Galar,5.16465,606,5.184,468,5.236
34,Cinderace,5.06490,598,5.115,487,5.449
35,Landorus-Therian,4.66880,749,6.407,606,6.780
36,Spectrier,4.57191,564,4.825,401,4.487
37,Ceruledge,4.47954,649,5.552,497,5.561
38,Mewtwo,3.77896,329,2.814,264,2.954
39,Gholdengo,3.55746,176,1.506,133,1.488
40,Slowking,3.05102,338,2.891,252,2.819
41,Arceus-Fairy,3.01664,251,2.147,199,2.226
42,Heatran,2.68526,827,7.074,662,7.407
43,Ditto,2.40545,233,1.993,166,1.857
44,Magnezone,2.33070,244,2.087,185,2.070
45,Hoopa-Unbound,2.32390,910,7.784,651,7.284
46,Groudon,2.25262,220,1.882,184,2.059
47,Walking-Wake,2.20428,824,7.049,636,7.116
48,Kingambit,2.12472,592,5.064,421,4.710
49,Baxcalibur,2.07771,722,6.176,526,5.885
50,Iron-Thorns,1.86209,54,0.462,40,0.448
51,Enamorus-Therian,1.76705,403,3.447,316,3.536
52,Volcarona,1.76587,510,4.363,383,4.285
53,Azelf,1.75498,237,2.027,181,2.025
54,Uxie,1.50742,92,0.787,86,0.962
55,Tinkaton,1.47924,146,1.249,115,1.287
56,Arceus-Electric,1.47252,72,0.616,49,0.548
57,Dugtrio,1.43331,102,0.873,76,0.850
58,Volcanion,1.39630,439,3.755,340,3.804
59,Iron-Jugulis,1.37151,238,2.036,188,2.103
60,Electrode-Hisui,1.37104,140,1.198,113,1.264
61,Thundurus-Therian,1.29578,313,2.678,232,2.596
62,Roaring-Moon,1.27700,688,5.885,495,5.538
63,Armarouge,1.23995,154,1.317,121,1.354
64,Enamorus,1.11099,463,3.961,357,3.994
65,Cresselia,1.07421,179,1.531,144,1.611
66,Jolteon,1.06072,80,0.684,66,0.738
67,Florges,1.04666,95,0.813,67,0.750
68,Rillaboom,1.00874,104,0.890,85,0.951
69,Arcanine,0.98359,290,2.481,228,2.551
70,Greninja,0.87916,554,4.739,453,5.068
71,Palkia-Origin,0.84656,92,0.787,66,0.738
72,Arboliva,0.84036,213,1.822,169,1.891
73,Zarude,0.78439,157,1.343,115,1.287
74,Rotom-Wash,0.69810,366,3.131,311,3.480
75,Dialga,0.69223,101,0.864,75,0.839
76,Cloyster,0.68444,98,0.838,77,0.862
77,Calyrex-Ice,0.68239,94,0.804,67,0.750
78,Pelipper,0.67871,206,1.762,171,1.913
79,Ting-Lu,0.62795,315,2.695,285,3.189
80,Slither-Wing,0.62109,118,1.009,90,1.007
81,Dondozo,0.59203,247,2.113,186,2.081
82,Garchomp,0.58855,436,3.730,346,3.871
83,Urshifu,0.55169,39,0.334,29,0.324
84,Lucario,0.54498,356,3.045,267,2.987
85,Gyarados,0.51483,288,2.464,228,2.551
86,Mesprit,0.50254,13,0.111,10,0.112
87,Iron-Hands,0.48946,322,2.754,272,3.043
88,Sneasler,0.47433,60,0.513,44,0.492
89,Basculin,0.46747,33,0.282,17,0.190
90,Revavroom,0.45362,89,0.761,64,0.716
91,Goodra-Hisui,0.43011,311,2.660,246,2.752
92,Thundurus,0.41401,128,1.095,105,1.175
93,Arceus-Psychic,0.38934,52,0.445,37,0.414
94,Coalossal,0.37653,50,0.428,44,0.492
95,Typhlosion-Hisui,0.34736,173,1.480,123,1.376
96,Grimmsnarl,0.34512,118,1.009,108,1.208
97,Mew,0.34191,206,1.762,170,1.902
98,Palkia,0.33629,79,0.676,60,0.671
99,Chien-Pao,0.32911,199,1.702,141,1.578
100,Chi-Yu,0.31605,218,1.865,151,1.689
101,Giratina,0.30709,70,0.599,57,0.638
102,Charizard,0.30562,163,1.394,129,1.443
103,Giratina-Origin,0.29015,171,1.463,137,1.533
104,Torkoal,0.27670,87,0.744,66,0.738
105,Masquerain,0.27593,96,0.821,90,1.007
106,Salamence,0.26544,109,0.932,84,0.940
107,Barraskewda,0.23720,125,1.069,74,0.828
108,Glastrier,0.23354,212,1.814,145,1.622
109,Houndstone,0.22519,99,0.847,62,0.694
110,Lilligant-Hisui,0.22326,172,1.471,119,1.331
111,Annihilape,0.22263,357,3.054,240,2.685
112,Zoroark-Hisui,0.21880,177,1.514,55,0.615
113,Glimmora,0.21398,168,1.437,143,1.600
114,Landorus,0.21255,123,1.052,89,0.996
115,Arceus-Poison,0.20851,32,0.274,23,0.257
116,Quaquaval,0.19522,185,1.583,143,1.600
117,Rotom-Frost,0.19104,63,0.539,45,0.503
118,Palafin,0.18273,167,1.429,150,1.678
119,Maushold,0.18196,296,2.532,241,2.696
120,Rabsca,0.16445,65,0.556,40,0.448
121,Iron-Bundle,0.16122,65,0.556,50,0.559
122,Mimikyu,0.15918,175,1.497,138,1.544
123,Meowscarada,0.15869,118,1.009,94,1.052
124,Gogoat,0.15493,33,0.282,28,0.313
125,Arceus-Grass,0.14833,7,0.060,4,0.045
126,Braviary-Hisui,0.14561,85,0.727,56,0.627
127,Zacian,0.14556,102,0.873,81,0.906
128,Indeedee-F,0.14289,15,0.128,14,0.157
129,Pikachu,0.13652,137,1.172,109,1.220
130,Spidops,0.12967,50,0.428,45,0.503
131,Espathra,0.12150,54,0.462,47,0.526
132,Toxtricity,0.12023,111,0.950,80,0.895
133,Moltres-Galar,0.10656,158,1.352,103,1.152
134,Rotom-Heat,0.10578,44,0.376,32,0.358
135,Indeedee,0.10367,36,0.308,28,0.313
136,Hatterene,0.10290,160,1.369,125,1.399
137,Pawmot,0.09057,75,0.642,54,0.604
138,Tauros-Paldea-Aqua,0.08896,15,0.128,12,0.134
139,Glaceon,0.08876,47,0.402,39,0.436
140,Palossand,0.08581,57,0.488,43,0.481
141,Alomomola,0.07998,21,0.180,17,0.190
142,Sylveon,0.07800,58,0.496,45,0.503
143,Altaria,0.07342,32,0.274,25,0.280
144,Hydreigon,0.06982,204,1.745,151,1.689
145,Skuntank,0.06930,17,0.145,15,0.168
146,Kleavor,0.06877,73,0.624,67,0.750
147,Drednaw,0.06283,13,0.111,8,0.090
148,Scizor,0.06217,114,0.975,94,1.052
149,Talonflame,0.06207,93,0.796,82,0.917
150,Forretress,0.06167,61,0.522,53,0.593
151,Iron-Leaves,0.05755,93,0.796,69,0.772
