Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Shelgon,18.86818,5,5.208,4,5.728
2,Inteleon,16.53527,3,3.125,1,1.432
3,Sableye,16.39781,3,3.125,3,4.296
4,Tarountula,16.33983,3,3.125,2,2.864
5,Bergmite,16.18589,2,2.083,1,1.432
6,Honchkrow,14.85179,3,3.125,2,2.864
7,Altaria,14.85177,2,2.083,1,1.432
8,Wingull,14.85177,4,4.167,4,5.728
9,Fletchinder,14.85177,1,1.042,1,1.432
10,Cloyster,14.85177,1,1.042,0,0.000
11,Maushold,13.90655,4,4.167,3,4.296
12,Sobble,13.90542,1,1.042,1,1.432
13,Whiscash,13.90542,1,1.042,1,1.432
14,Litleo,13.90542,2,2.083,2,2.864
15,Drowzee,13.90542,1,1.042,1,1.432
16,Fomantis,13.79273,3,3.125,3,4.296
17,Slither-Wing,12.66669,2,2.083,2,2.864
18,Zangoose,12.47345,2,2.083,2,2.864
19,Chespin,12.47345,2,2.083,2,2.864
20,Typhlosion,12.47343,1,1.042,1,1.432
21,Sinistea,12.47343,1,1.042,1,1.432
22,Sneasel,12.47343,1,1.042,1,1.432
23,Regieleki,11.67667,3,3.125,3,4.296
24,Chien-Pao,10.93213,2,2.083,0,0.000
25,Appletun,10.34962,2,2.083,1,1.432
26,Copperajah,10.33711,2,2.083,2,2.864
27,Venomoth,10.14442,3,3.125,2,2.864
28,Larvitar,10.14385,1,1.042,1,1.432
29,Riolu,10.14385,1,1.042,1,1.432
30,Persian,10.14385,2,2.083,1,1.432
31,Delibird,9.20303,3,3.125,2,2.864
32,Perrserker,9.18457,2,2.083,2,2.864
33,Pincurchin,9.18457,2,2.083,2,2.864
34,Rabsca,8.85252,3,3.125,0,0.000
35,Skwovet,8.72320,1,1.042,0,0.000
36,Froslass,8.72320,3,3.125,2,2.864
37,Flutter-Mane,7.33504,4,4.167,3,4.296
38,Shellder,7.33424,4,4.167,3,4.296
39,Eelektross,7.33422,2,2.083,1,1.432
40,Barraskewda,7.33422,2,2.083,2,2.864
41,Sandygast,7.15594,2,2.083,1,1.432
42,Gothitelle,7.15526,2,2.083,2,2.864
43,Fuecoco,7.15526,1,1.042,0,0.000
44,Rellor,7.15526,1,1.042,0,0.000
45,Ursaring,7.15526,1,1.042,0,0.000
46,Glimmet,4.96999,4,4.167,4,5.728
47,Shroodle,4.95222,2,2.083,2,2.864
48,Snorunt,4.94077,3,3.125,3,4.296
49,Toxtricity,4.94020,2,2.083,2,2.864
50,Jumpluff,4.94020,3,3.125,2,2.864
51,Zacian,4.34952,2,2.083,2,2.864
52,Talonflame,3.07288,3,3.125,2,2.864
53,Salazzle,3.01623,4,4.167,3,4.296
54,Jigglypuff,3.01540,1,1.042,0,0.000
55,Great-Tusk,3.01540,1,1.042,0,0.000
56,Flareon,2.49210,2,2.083,2,2.864
57,Frosmoth,2.49210,1,1.042,1,1.432
58,Houndoom,2.49210,1,1.042,1,1.432
59,Dragapult,2.49210,2,2.083,2,2.864
60,Heatran,2.20936,3,3.125,3,4.296
61,Rayquaza,2.20924,2,2.083,1,1.432
62,Alomomola,2.20894,2,2.083,0,0.000
63,Igglybuff,2.20894,2,2.083,1,1.432
64,Mewtwo,2.20894,2,2.083,1,1.432
65,Charmander,1.33468,2,2.083,2,2.864
66,Rillaboom,1.33412,2,2.083,1,1.432
67,Zapdos,1.33412,1,1.042,1,1.432
68,Tyranitar,1.33412,1,1.042,1,1.432
69,Articuno,1.01529,2,2.083,2,2.864
70,Grumpig,0.99949,2,2.083,2,2.864
71,Komala,0.99893,3,3.125,3,4.296
72,Dunsparce,0.99883,3,3.125,2,2.864
73,Golduck,0.99881,2,2.083,2,2.864
74,Staravia,0.99881,1,1.042,1,1.432
75,Drifblim,0.38646,3,3.125,1,1.432
76,Skeledirge,0.38646,1,1.042,0,0.000
77,Scovillain,0.38646,2,2.083,1,1.432
78,Squawkabilly,0.38646,1,1.042,1,1.432
79,Dreepy,0.38646,1,1.042,1,1.432
80,Overqwil,0.38646,1,1.042,0,0.000
81,Arctibax,0.29504,2,2.083,1,1.432
82,Surskit,0.29498,2,2.083,2,2.864
83,Tauros-Paldea-Blaze,0.29498,1,1.042,1,1.432
84,Drizzile,0.29498,1,1.042,1,1.432
85,Croagunk,0.29498,3,3.125,3,4.296
86,Wugtrio,0.29498,2,2.083,2,2.864
87,Frigibax,0.19326,1,1.042,1,1.432
88,Pawniard,0.19326,1,1.042,1,1.432
89,Toxapex,0.19326,1,1.042,1,1.432
90,Flittle,0.19326,1,1.042,1,1.432
91,Nymble,0.15812,3,3.125,3,4.296
92,Pikachu,0.12945,2,2.083,2,2.864
93,Pyroar,0.12945,2,2.083,2,2.864
94,Tatsugiri,0.12933,2,2.083,1,1.432
95,Arceus,0.09842,4,4.167,1,1.432
96,Bounsweet,0.05748,1,1.042,0,0.000
97,Growlithe-Hisui,0.05748,1,1.042,1,1.432
98,Calyrex,0.05748,1,1.042,1,1.432
99,Donphan,0.05748,2,2.083,1,1.432
100,Quilava,0.04129,3,3.125,1,1.432
101,Bramblin,0.04094,3,3.125,2,2.864
102,Glalie,0.04094,1,1.042,0,0.000
103,Coalossal,0.04094,3,3.125,2,2.864
104,Klawf,0.04094,1,1.042,1,1.432
105,Bagon,0.03922,2,2.083,2,2.864
106,Stonjourner,0.02880,2,2.083,0,0.000
107,Finneon,0.02880,2,2.083,1,1.432
108,Gholdengo,0.02877,2,2.083,0,0.000
109,Charcadet,0.02877,1,1.042,0,0.000
110,Glaceon,0.02877,1,1.042,0,0.000
111,Tornadus,0.02767,2,2.083,2,2.864
112,Scream-Tail,0.02720,2,2.083,2,2.864
113,Stantler,0.02720,1,1.042,1,1.432
114,Hoopa,0.02720,1,1.042,1,1.432
115,Bruxish,0.02552,2,2.083,2,2.864
116,Houndstone,0.02515,2,2.083,2,2.864
117,Mudbray,0.02513,3,3.125,1,1.432
118,Gimmighoul,0.02513,1,1.042,1,1.432
119,Sprigatito,0.02513,2,2.083,2,2.864
120,Iron-Leaves,0.02513,1,1.042,1,1.432
121,Palkia,0.01892,3,3.125,3,4.296
122,Cinderace,0.01846,1,1.042,1,1.432
123,Flapple,0.01846,3,3.125,2,2.864
124,Hatenna,0.01846,2,2.083,2,2.864
125,Pelipper,0.01846,2,2.083,2,2.864
126,Sylveon,0.01678,3,3.125,3,4.296
127,Hattrem,0.01651,2,2.083,1,1.432
128,Girafarig,0.01648,2,2.083,1,1.432
129,Annihilape,0.01648,1,1.042,1,1.432
130,Shellos,0.01204,2,2.083,2,2.864
131,Noivern,0.01201,2,2.083,2,2.864
132,Rolycoly,0.01201,2,2.083,1,1.432
133,Gastly,0.01201,2,2.083,2,2.864
134,Dragalge,0.00258,2,2.083,2,2.864
135,Carkol,0.00258,2,2.083,1,1.432
136,Deino,0.00258,3,3.125,1,1.432
137,Kingambit,0.00258,2,2.083,1,1.432
138,Chi-Yu,0.00258,1,1.042,1,1.432
139,Magnezone,0.00153,3,3.125,1,1.432
140,Deerling,0.00128,3,3.125,2,2.864
141,Hatterene,0.00114,1,1.042,1,1.432
142,Clawitzer,0.00114,1,1.042,0,0.000
143,Zweilous,0.00114,1,1.042,1,1.432
144,Blissey,0.00098,2,2.083,2,2.864
145,Shroomish,0.00092,3,3.125,3,4.296
146,Magikarp,0.00081,1,1.042,1,1.432
147,Persian-Alola,0.00081,1,1.042,0,0.000
148,Crabominable,0.00081,2,2.083,1,1.432
149,Dachsbun,0.00068,1,1.042,1,1.432
150,Staraptor,0.00068,1,1.042,1,1.432
151,Avalugg-Hisui,0.00068,1,1.042,0,0.000
152,Pawmot,0.00059,4,4.167,3,4.296
153,Fidough,0.00057,2,2.083,2,2.864
154,Scizor,0.00057,1,1.042,1,1.432
155,Heracross,0.00057,1,1.042,1,1.432
156,Florges,0.00056,3,3.125,3,4.296
157,Arboliva,0.00056,1,1.042,1,1.432
158,Sliggoo,0.00056,1,1.042,1,1.432
159,Glimmora,0.00056,1,1.042,1,1.432
160,Sandile,0.00049,3,3.125,2,2.864
161,Dragonair,0.00047,2,2.083,1,1.432
162,Lilligant,0.00047,1,1.042,1,1.432
163,Cryogonal,0.00043,2,2.083,2,2.864
164,Haunter,0.00042,5,5.208,5,7.160
165,Morgrem,0.00039,1,1.042,1,1.432
166,Salamence,0.00039,2,2.083,2,2.864
167,Raichu-Alola,0.00038,2,2.083,2,2.864
168,Crabrawler,0.00036,1,1.042,1,1.432
169,Charizard,0.00036,2,2.083,1,1.432
170,Yungoos,0.00036,1,1.042,0,0.000
171,Garganacl,0.00030,3,3.125,2,2.864
172,Toedscruel,0.00012,1,1.042,1,1.432
173,Hariyama,0.00012,1,1.042,1,1.432
174,Hoppip,0.00010,2,2.083,1,1.432
175,Dewott,0.00007,3,3.125,2,2.864
176,Dudunsparce,0.00006,1,1.042,1,1.432
177,Dondozo,0.00006,1,1.042,1,1.432
178,Pawmi,0.00006,1,1.042,0,0.000
179,Armarouge,0.00006,3,3.125,2,2.864
180,Gallade,0.00004,1,1.042,0,0.000
181,Iron-Treads,0.00004,2,2.083,1,1.432
182,Corvisquire,0.00004,1,1.042,0,0.000
183,Scatterbug,0.00004,2,2.083,1,1.432
184,Hawlucha,0.00004,3,3.125,3,4.296
185,Breloom,0.00003,1,1.042,0,0.000
186,Qwilfish-Hisui,0.00003,1,1.042,1,1.432
187,Snover,0.00003,1,1.042,1,1.432
188,Slaking,0.00003,1,1.042,1,1.432
189,Indeedee-F,0.00003,1,1.042,1,1.432
190,Eiscue,0.00002,3,3.125,3,4.296
191,Electrode,0.00002,2,2.083,0,0.000
192,Pachirisu,0.00002,1,1.042,1,1.432
193,Iron-Moth,0.00002,3,3.125,2,2.864
194,Finizen,0.00002,2,2.083,2,2.864
195,Glastrier,0.00002,2,2.083,1,1.432
196,Samurott,0.00002,3,3.125,3,4.296
197,Quaquaval,0.00002,1,1.042,1,1.432
198,Kubfu,0.00002,1,1.042,1,1.432
199,Hypno,0.00002,1,1.042,1,1.432
200,Happiny,0.00002,1,1.042,1,1.432
201,Drakloak,0.00000,3,3.125,2,2.864
202,Seviper,0.00000,1,1.042,1,1.432
203,Meowth-Alola,0.00000,2,2.083,2,2.864
204,Charmeleon,0.00000,1,1.042,1,1.432
205,Wiglett,0.00000,4,4.167,3,4.296
206,Iron-Valiant,0.00000,1,1.042,0,0.000
207,Wattrel,0.00000,1,1.042,0,0.000
208,Luvdisc,0.00000,1,1.042,0,0.000
209,Scorbunny,0.00000,2,2.083,2,2.864
210,Veluza,0.00000,2,2.083,1,1.432
211,Goodra,0.00000,1,1.042,1,1.432
212,Diglett,0.00000,1,1.042,1,1.432
213,Rockruff,0.00000,2,2.083,2,2.864
214,Clauncher,0.00000,1,1.042,0,0.000
215,Floatzel,0.00000,1,1.042,1,1.432
216,Krokorok,0.00000,1,1.042,1,1.432
217,Ampharos,0.00000,2,2.083,0,0.000
218,Bronzor,0.00000,2,2.083,1,1.432
219,Misdreavus,0.00000,2,2.083,0,0.000
220,Delphox,0.00000,2,2.083,1,1.432
221,Skrelp,0.00000,1,1.042,1,1.432
222,Azumarill,0.00000,1,1.042,1,1.432
223,Braixen,0.00000,2,2.083,1,1.432
224,Mismagius,0.00000,2,2.083,1,1.432
225,Corviknight,0.00000,1,1.042,1,1.432
226,Crocalor,0.00000,1,1.042,1,1.432
227,Cresselia,0.00000,1,1.042,0,0.000
228,Azurill,0.00000,1,1.042,0,0.000
229,Slakoth,0.00000,2,2.083,1,1.432
230,Eternatus,0.00000,1,1.042,1,1.432
231,Skuntank,0.00000,2,2.083,2,2.864
232,Skiploom,0.00000,4,4.167,3,4.296
233,Sneasel-Hisui,0.00000,2,2.083,1,1.432
234,Walking-Wake,0.00000,1,1.042,1,1.432
235,Iron-Thorns,0.00000,1,1.042,1,1.432
236,Carbink,0.00000,1,1.042,0,0.000
237,Fennekin,0.00000,1,1.042,1,1.432
238,Skiddo,0.00000,1,1.042,0,0.000
239,Shuppet,0.00000,1,1.042,1,1.432
240,Brute-Bonnet,0.00000,2,2.083,1,1.432
241,Wooper-Paldea,0.00000,1,1.042,1,1.432
242,Dartrix,0.00000,1,1.042,0,0.000
243,Vespiquen,0.00000,1,1.042,1,1.432
244,Salandit,0.00000,1,1.042,1,1.432
245,Numel,0.00000,1,1.042,0,0.000
246,Sudowoodo,0.00000,1,1.042,1,1.432
247,Phanpy,0.00000,1,1.042,0,0.000
248,Mareanie,0.00000,2,2.083,2,2.864
249,Hydreigon,0.00000,1,1.042,1,1.432
250,Slowpoke,0.00000,2,2.083,1,1.432
251,Petilil,0.00000,1,1.042,1,1.432
252,Barboach,0.00000,1,1.042,1,1.432
253,Vivillon,0.00000,1,1.042,0,0.000
254,Ditto,0.00000,2,2.083,1,1.432
255,Houndour,0.00000,2,2.083,1,1.432
256,Meloetta,0.00000,1,1.042,1,1.432
257,Qwilfish,0.00000,1,1.042,0,0.000
258,Oranguru,0.00000,1,1.042,1,1.432
259,Cubchoo,0.00000,2,2.083,2,2.864
260,Tinkatink,0.00000,2,2.083,2,2.864
261,Klefki,0.00000,1,1.042,1,1.432
262,Wigglytuff,0.00000,1,1.042,1,1.432
263,Basculegion-F,0.00000,1,1.042,1,1.432
264,Smoliv,0.00000,2,2.083,2,2.864
265,Kilowattrel,0.00000,1,1.042,1,1.432
266,Palossand,0.00000,3,3.125,2,2.864
267,Quagsire,0.00000,1,1.042,0,0.000
268,Gyarados,0.00000,1,1.042,1,1.432
269,Grimmsnarl,0.00000,2,2.083,2,2.864
270,Gengar,0.00000,1,1.042,0,0.000
271,Iron-Hands,0.00000,1,1.042,1,1.432
272,Dolliv,0.00000,2,2.083,2,2.864
273,Spoink,0.00000,1,1.042,0,0.000
274,Weavile,0.00000,1,1.042,1,1.432
275,Gothita,0.00000,1,1.042,1,1.432
276,Cyndaquil,0.00000,2,2.083,2,2.864
277,Dugtrio-Alola,0.00000,1,1.042,1,1.432
278,Medicham,0.00000,1,1.042,1,1.432
279,Spewpa,0.00000,1,1.042,1,1.432
280,Sunflora,0.00000,1,1.042,1,1.432
281,Drednaw,0.00000,1,1.042,1,1.432
282,Uxie,0.00000,1,1.042,1,1.432
283,Mimikyu,0.00000,2,2.083,1,1.432
284,Gimmighoul-Roaming,0.00000,1,1.042,1,1.432
285,Cacturne,0.00000,1,1.042,1,1.432
286,Urshifu,0.00000,1,1.042,1,1.432
287,Zapdos-Galar,0.00000,1,1.042,0,0.000
288,Grafaiai,0.00000,2,2.083,2,2.864
289,Cetoddle,0.00000,2,2.083,2,2.864
290,Regidrago,0.00000,1,1.042,1,1.432
291,Leafeon,0.00000,1,1.042,1,1.432
292,Ting-Lu,0.00000,1,1.042,1,1.432
293,Greninja,0.00000,2,2.083,2,2.864
294,Toxel,0.00000,1,1.042,1,1.432
295,Noibat,0.00000,1,1.042,0,0.000
296,Primeape,0.00000,2,2.083,1,1.432
297,Sawsbuck,0.00000,1,1.042,0,0.000
298,Raboot,0.00000,2,2.083,2,2.864
299,Amoonguss,0.00000,1,1.042,1,1.432
300,Dragonite,0.00000,1,1.042,1,1.432
301,Snom,0.00000,3,3.125,2,2.864
302,Stunky,0.00000,1,1.042,0,0.000
303,Thundurus,0.00000,1,1.042,1,1.432
304,Farigiraf,0.00000,2,2.083,1,1.432
305,Impidimp,0.00000,1,1.042,1,1.432
306,Pawmo,0.00000,1,1.042,1,1.432
307,Tornadus-Therian,0.00000,1,1.042,1,1.432
308,Bombirdier,0.00000,1,1.042,1,1.432
309,Tinkaton,0.00000,1,1.042,0,0.000
310,Arrokuda,0.00000,1,1.042,1,1.432
311,Abomasnow,0.00000,1,1.042,1,1.432
312,Palafin,0.00000,1,1.042,1,1.432
313,Luxray,0.00000,1,1.042,0,0.000
314,Gogoat,0.00000,1,1.042,1,1.432
315,Lokix,0.00000,1,1.042,0,0.000
316,Shinx,0.00000,1,1.042,1,1.432
317,Magneton,0.00000,1,1.042,1,1.432
318,Forretress,0.00000,1,1.042,1,1.432
319,Goomy,0.00000,1,1.042,1,1.432
320,Cacnea,0.00000,1,1.042,1,1.432
321,Wyrdeer,0.00000,1,1.042,0,0.000
322,Garchomp,0.00000,1,1.042,1,1.432
