Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kingambit,36.11156,258158,15.951,176483,14.359
2,Great-Tusk,23.53545,193622,11.963,145418,11.831
3,Gholdengo,21.86255,183017,11.308,136908,11.139
4,Dragapult,18.76076,199869,12.349,147604,12.009
5,Landorus-Therian,17.88483,179907,11.116,154274,12.552
6,Heatran,15.92875,150761,9.315,120617,9.813
7,Zapdos,13.98488,170543,10.537,137435,11.182
8,Tapu-Lele,13.45056,115325,7.125,91001,7.404
9,Rillaboom,13.21785,128824,7.960,99155,8.067
10,Sneasler,13.15577,140375,8.673,100149,8.148
11,Charizard-Mega-Y,12.53113,123716,7.644,97107,7.901
12,Tapu-Koko,12.16935,123550,7.634,105541,8.587
13,Diancie-Mega,11.99625,94966,5.868,78661,6.400
14,Iron-Valiant,11.34710,113460,7.010,78490,6.386
15,Garchomp,10.41166,143275,8.852,113710,9.251
16,Toxapex,10.34617,110183,6.808,84607,6.884
17,Garganacl,9.95799,93029,5.748,70884,5.767
18,Volcarona,9.56927,122200,7.550,86883,7.069
19,Dragonite,9.06035,122487,7.568,88509,7.201
20,Baxcalibur,8.56731,81309,5.024,58967,4.798
21,Zamazenta,7.92389,54669,3.378,39031,3.176
22,Gliscor,7.71798,115505,7.137,90783,7.386
23,Clodsire,7.62345,85931,5.309,68059,5.537
24,Hatterene,7.44673,79305,4.900,59836,4.868
25,Scizor-Mega,7.02527,104225,6.440,81442,6.626
26,Slowbro,7.01258,33432,2.066,26269,2.137
27,Urshifu-Rapid-Strike,6.96647,117179,7.240,90579,7.369
28,Samurott-Hisui,6.84721,82003,5.067,68915,5.607
29,Glimmora,6.83289,73512,4.542,66396,5.402
30,Lopunny-Mega,6.76478,103142,6.373,81702,6.647
31,Ferrothorn,6.36820,160055,9.889,132743,10.800
32,Corviknight,6.30912,98062,6.059,76113,6.192
33,Ting-Lu,6.03544,31716,1.960,26632,2.167
34,Dondozo,5.79724,36940,2.282,27581,2.244
35,Greninja,5.54380,131010,8.095,98137,7.984
36,Tapu-Fini,5.49849,37390,2.310,30478,2.480
37,Tornadus-Therian,5.28130,56114,3.467,42457,3.454
38,Moltres,5.12221,34546,2.134,28583,2.325
39,Venusaur-Mega,4.75757,37154,2.296,28526,2.321
40,Kartana,4.70205,82056,5.070,60262,4.903
41,Clefable,4.64453,39189,2.421,28641,2.330
42,Cresselia,4.61826,21615,1.336,15768,1.283
43,Pelipper,4.58632,100893,6.234,92273,7.507
44,Rotom-Wash,4.52384,101209,6.253,84034,6.837
45,Kyurem,4.39900,26419,1.632,19673,1.601
46,Skarmory,4.25001,32140,1.986,26113,2.125
47,Swampert-Mega,4.20606,83492,5.159,66106,5.378
48,Hoopa-Unbound,3.80205,36310,2.243,25605,2.083
49,Chansey,3.65908,32052,1.980,23610,1.921
50,Serperior,3.49758,54765,3.384,40404,3.287
51,Kommo-o,3.48387,58154,3.593,43610,3.548
52,Medicham-Mega,3.28867,27711,1.712,21495,1.749
53,Gyarados-Mega,3.02114,30836,1.905,23632,1.923
54,Charizard-Mega-X,2.98295,48866,3.019,36378,2.960
55,Victini,2.83538,40211,2.484,31042,2.526
56,Slowking-Galar,2.73661,40714,2.516,32388,2.635
57,Sableye-Mega,2.70396,24681,1.525,21087,1.716
58,Mawile-Mega,2.41987,41748,2.579,31357,2.551
59,Grimmsnarl,2.40501,53793,3.324,46009,3.743
60,Pinsir-Mega,2.17902,34242,2.116,24873,2.024
61,Tyranitar,2.16876,40404,2.496,32253,2.624
62,Suicune,2.07258,8213,0.507,6037,0.491
63,Aegislash,2.02746,47404,2.929,35514,2.889
64,Iron-Hands,2.00448,16648,1.029,12853,1.046
65,Blissey,1.82993,26987,1.667,19920,1.621
66,Enamorus,1.77891,20052,1.239,14549,1.184
67,Iron-Treads,1.71209,20169,1.246,15787,1.284
68,Excadrill,1.67840,43555,2.691,33296,2.709
69,Weavile,1.64679,35888,2.217,26983,2.195
70,Iron-Moth,1.64570,24922,1.540,18397,1.497
71,Mew,1.64172,27496,1.699,20803,1.693
72,Arcanine-Hisui,1.63482,36338,2.245,26879,2.187
73,Ribombee,1.62348,25002,1.545,22730,1.849
74,Manaphy,1.60365,17117,1.058,12154,0.989
75,Cinderace,1.55396,40768,2.519,30511,2.482
76,Blaziken,1.46983,41970,2.593,30657,2.494
77,Buzzwole,1.46131,31881,1.970,23611,1.921
78,Hawlucha,1.45975,21069,1.302,14897,1.212
79,Celesteela,1.43171,19593,1.211,15269,1.242
80,Torkoal,1.41508,47224,2.918,42237,3.436
81,Stakataka,1.35348,11006,0.680,8506,0.692
