Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rillaboom,45.60579,10224,13.353,7146,15.104
2,Flutter-Mane,32.69070,11878,15.513,7632,16.132
3,Volcanion,23.11129,2951,3.854,1878,3.970
4,Whimsicott,20.75862,6637,8.668,3685,7.789
5,Kingambit,20.28094,5355,6.994,3226,6.819
6,Metagross-Mega,19.63507,4124,5.386,2588,5.470
7,Incineroar,17.71990,9443,12.333,6814,14.403
8,Landorus-Therian,17.58895,6393,8.350,4237,8.956
9,Marshadow,17.08333,3418,4.464,2204,4.659
10,Chien-Pao,16.58888,6756,8.824,4158,8.789
11,Charizard-Mega-Y,16.12809,7007,9.152,4215,8.909
12,Salamence-Mega,15.97002,3182,4.156,2138,4.519
13,Chi-Yu,15.31416,7497,9.792,4695,9.924
14,Amoonguss,12.10494,9681,12.644,6019,12.722
15,Tornadus,11.88565,8287,10.823,4339,9.171
16,Indeedee-F,10.51884,8627,11.267,4810,10.167
17,Cresselia,10.04591,6330,8.267,3810,8.053
18,Heatran,9.05030,4119,5.380,2726,5.762
19,Kangaskhan-Mega,8.78258,3764,4.916,2104,4.447
20,Diancie,8.48153,1885,2.462,1080,2.283
21,Zamazenta,7.83973,2459,3.212,1465,3.097
22,Basculegion,7.82876,3619,4.727,2224,4.701
23,Walking-Wake,7.67303,4595,6.001,3019,6.381
24,Tapu-Fini,7.35217,2737,3.575,1795,3.794
25,Jirachi,6.87493,1622,2.118,1011,2.137
26,Zygarde,6.32618,2164,2.826,1283,2.712
27,Ursaluna,5.79373,4846,6.329,3159,6.677
28,Iron-Hands,5.40069,3298,4.307,2104,4.447
29,Dragonite,5.32579,3929,5.132,2468,5.217
30,Urshifu-Rapid-Strike,5.16190,4864,6.353,3227,6.821
31,Palafin,4.99479,3052,3.986,2396,5.064
32,Stakataka,4.82914,1817,2.373,1030,2.177
33,Landorus,4.75302,2322,3.033,1505,3.181
34,Tapu-Lele,4.22669,2203,2.877,1307,2.763
35,Kartana,4.13246,1374,1.795,849,1.795
36,Torkoal,3.96012,5682,7.421,3444,7.280
37,Iron-Bundle,3.81723,3931,5.134,2546,5.381
38,Kommo-o,3.71829,2041,2.666,1178,2.490
39,Tapu-Koko,3.61792,2672,3.490,1680,3.551
40,Pelipper,3.60949,4697,6.135,2830,5.982
41,Regieleki,3.56694,4219,5.510,2688,5.682
42,Grimmsnarl,3.50202,3925,5.126,2270,4.798
43,Hatterene,3.36315,3551,4.638,2023,4.276
44,Tyranitar,3.25048,2358,3.080,1356,2.866
45,Kyurem-Black,3.19380,829,1.083,519,1.097
46,Glimmora,3.04883,2328,3.041,1166,2.465
47,Dracovish,2.98712,1407,1.838,944,1.995
48,Camerupt-Mega,2.86231,1924,2.513,1289,2.725
49,Enamorus-Therian,2.71668,1250,1.633,756,1.598
50,Kleavor,2.59199,1744,2.278,1019,2.154
51,Mew,2.55796,2007,2.621,1149,2.429
52,Swampert-Mega,2.41392,2187,2.856,1520,3.213
53,Zapdos,2.40587,1269,1.657,851,1.799
54,Volcarona,2.39517,2100,2.743,1261,2.665
55,Lilligant-Hisui,2.34553,2009,2.624,1305,2.758
56,Tyranitar-Mega,2.18986,1827,2.386,1151,2.433
57,Eevee,2.17395,1394,1.821,701,1.482
58,Great-Tusk,2.08352,2038,2.662,1270,2.684
59,Necrozma,2.07498,215,0.281,143,0.302
60,Lopunny-Mega,1.93173,1037,1.354,650,1.374
61,Diancie-Mega,1.92343,1747,2.282,1078,2.279
62,Garganacl,1.90923,1282,1.674,768,1.623
63,Gardevoir-Mega,1.80262,2385,3.115,1549,3.274
64,Darkrai,1.71372,1022,1.335,650,1.374
65,Gholdengo,1.62837,3450,4.506,2172,4.591
66,Aggron-Mega,1.56198,575,0.751,350,0.740
67,Scizor-Mega,1.44959,1000,1.306,692,1.463
68,Politoed,1.43201,1623,2.120,1026,2.169
69,Gothitelle,1.34086,1688,2.205,1026,2.169
70,Lucario-Mega,1.33140,1572,2.053,1012,2.139
71,Zeraora,1.31410,791,1.033,435,0.919
72,Hoopa-Unbound,1.26727,906,1.183,540,1.141
73,Armarouge,1.25196,3192,4.169,1991,4.208
74,Oranguru,1.23234,2555,3.337,1595,3.371
75,Celesteela,1.19392,513,0.670,342,0.723
76,Smeargle,1.18891,986,1.288,632,1.336
77,Thundurus,1.18641,2139,2.794,1314,2.777
78,Ninetales-Alola,1.16970,1956,2.555,1107,2.340
79,Venusaur,1.16411,1245,1.626,844,1.784
80,Murkrow,1.16051,1854,2.421,1136,2.401
81,Naganadel,1.15160,526,0.687,316,0.668
82,Mawile-Mega,1.10892,1384,1.808,898,1.898
83,Terrakion,1.08707,625,0.816,367,0.776
84,Flamigo,1.04865,1754,2.291,1050,2.219
85,Ting-Lu,1.02617,1540,2.011,930,1.966
