Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Heatran,17.75457,16396,7.573,12708,7.750
2,Goodra-Hisui,17.67095,13222,6.107,10217,6.231
3,Toxapex,14.65380,14209,6.562,11288,6.884
4,Pelipper,13.96528,11459,5.292,10368,6.323
5,Swampert-Mega,13.52824,10016,4.626,7817,4.767
6,Kommo-o,13.20122,14483,6.689,11118,6.780
7,Gholdengo,13.02068,14090,6.507,10312,6.288
8,Urshifu-Rapid-Strike,11.78074,9881,4.564,7003,4.271
9,Scizor-Mega,10.77472,19311,8.919,13810,8.422
10,Garchomp,10.73779,9377,4.331,7707,4.700
11,Tapu-Koko,10.69221,14666,6.774,12741,7.770
12,Roaring-Moon,10.66960,9272,4.282,6280,3.830
13,Ferrothorn,10.36843,16118,7.444,13484,8.223
14,Zapdos,10.29584,9884,4.565,7671,4.678
15,Iron-Hands,10.21825,9555,4.413,7559,4.610
16,Slowbro,10.10399,2385,1.102,1876,1.144
17,Dragonite,10.08716,11595,5.355,8244,5.027
18,Rotom-Wash,9.09546,12425,5.738,10071,6.141
19,Skarmory,8.66215,4121,1.903,3528,2.151
20,Baxcalibur,8.55910,9181,4.240,6423,3.917
21,Excadrill,8.19452,9389,4.336,6978,4.255
22,Kyurem,8.00915,6840,3.159,4707,2.870
23,Regieleki,6.85873,6302,2.911,4718,2.877
24,Volcarona,6.84105,23399,10.807,16205,9.882
25,Basculegion-F,6.70768,1757,0.811,1290,0.787
26,Tapu-Lele,6.63499,11340,5.237,8383,5.112
27,Latias-Mega,6.24977,1959,0.905,1438,0.877
28,Walking-Wake,6.02741,7892,3.645,5689,3.469
29,Corviknight,5.97100,10009,4.623,7686,4.687
30,Iron-Valiant,5.80630,11995,5.540,8037,4.901
31,Volcanion,5.59779,6247,2.885,4460,2.720
32,Iron-Treads,5.56502,4540,2.097,3322,2.026
33,Landorus,5.32321,8484,3.918,6266,3.821
34,Charizard-Mega-Y,5.30438,7829,3.616,5956,3.632
35,Zeraora,5.25999,4521,2.088,3313,2.020
36,Cinderace,5.20607,5515,2.547,3984,2.430
37,Great-Tusk,5.10602,9099,4.202,6823,4.161
38,Greninja,5.06204,10196,4.709,7274,4.436
39,Charizard-Mega-X,4.82465,4526,2.090,3317,2.023
40,Torkoal,4.79910,5989,2.766,5382,3.282
41,Zoroark-Hisui,4.75102,15830,7.311,6440,3.927
42,Celesteela,4.66719,6725,3.106,5226,3.187
43,Venusaur-Mega,4.30570,13906,6.423,11038,6.731
44,Clodsire,4.05913,7916,3.656,6205,3.784
45,Ditto,3.97306,8278,3.823,6162,3.758
46,Altaria-Mega,3.92169,5802,2.680,3992,2.434
47,Victini,3.91657,6901,3.187,5217,3.181
48,Thundurus-Therian,3.79941,3324,1.535,2433,1.484
49,Diancie-Mega,3.56039,10060,4.646,7678,4.682
50,Sableye-Mega,3.50961,9091,4.199,7889,4.811
51,Tapu-Fini,3.41477,3134,1.447,2394,1.460
52,Mantine,3.32222,2272,1.049,1733,1.057
53,Hippowdon,3.31075,6153,2.842,5357,3.267
54,Lopunny-Mega,3.28082,12504,5.775,10395,6.339
55,Ursaluna,3.27757,11175,5.161,8858,5.402
56,Slowking-Galar,3.19040,6832,3.155,5215,3.180
57,Blacephalon,3.16605,5385,2.487,3871,2.361
58,Gallade-Mega,3.13828,7505,3.466,5288,3.225
59,Landorus-Therian,3.09284,4137,1.911,3443,2.100
60,Muk-Alola,3.07882,9484,4.380,7517,4.584
61,Meowscarada,3.02540,10820,4.997,7859,4.793
62,Buzzwole,3.01411,12161,5.617,8777,5.352
63,Barraskewda,2.97444,2013,0.930,1530,0.933
64,Araquanid,2.94701,13723,6.338,11234,6.851
65,Mimikyu,2.92265,7628,3.523,5589,3.408
66,Klefki,2.88095,5553,2.565,4993,3.045
67,Sneasler,2.68865,9804,4.528,7236,4.413
68,Garchomp-Mega,2.51041,5585,2.579,4055,2.473
69,Aegislash,2.48678,7083,3.271,5282,3.221
70,Latios-Mega,2.43591,2462,1.137,1664,1.015
71,Kleavor,2.43275,13981,6.457,11575,7.059
72,Zapdos-Galar,2.41428,3405,1.573,2586,1.577
73,Ninetales-Alola,2.40368,7254,3.350,6325,3.857
74,Spectrier,2.37800,4395,2.030,3130,1.909
75,Raichu-Alola,2.33139,5319,2.457,3888,2.371
76,Melmetal,2.32919,6520,3.011,4659,2.841
77,Azumarill,2.19082,5803,2.680,4443,2.709
78,Latios,2.18841,2987,1.380,2172,1.325
79,Forretress,2.18061,7762,3.585,6628,4.042
80,Staraptor,2.16689,4866,2.247,3896,2.376
81,Ceruledge,2.15169,4758,2.197,3568,2.176
82,Gastrodon,2.10467,4395,2.030,3301,2.013
83,Darmanitan-Galar,2.08613,5289,2.443,3990,2.433
84,Tapu-Bulu,2.04789,2515,1.162,1728,1.054
85,Ting-Lu,2.03086,4735,2.187,3810,2.323
86,Gliscor,2.02560,6495,3.000,5081,3.098
87,Cradily,1.98460,7860,3.630,6180,3.769
88,Porygon2,1.97739,5475,2.529,4753,2.898
89,Moltres-Galar,1.93018,4371,2.019,3150,1.921
90,Aerodactyl-Mega,1.85372,5030,2.323,3584,2.186
91,Mamoswine,1.84387,4185,1.933,3158,1.926
92,Samurott-Hisui,1.77245,7154,3.304,5805,3.540
93,Pawmot,1.74226,1773,0.819,1245,0.759
94,Weezing-Galar,1.72193,4634,2.140,3693,2.252
95,Rotom-Heat,1.67774,2750,1.270,2250,1.372
96,Pinsir-Mega,1.67653,5060,2.337,3587,2.187
97,Articuno,1.60563,1153,0.533,889,0.542
98,Alakazam,1.60423,1362,0.629,962,0.587
