Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Groudon-Primal,61.65630,93908,19.634,72281,21.045
2,Necrozma-Dusk-Mane,47.31730,56749,11.865,40558,11.809
3,Koraidon,36.75985,44613,9.327,33246,9.680
4,Yveltal,36.68341,41805,8.740,30797,8.967
5,Arceus,36.31678,41220,8.618,27842,8.106
6,Ho-Oh,32.25050,36273,7.584,28081,8.176
7,Xerneas,31.96290,50745,10.609,34089,9.925
8,Zacian-Crowned,18.57344,58607,12.253,40445,11.776
9,Kyogre-Primal,14.82902,46802,9.785,32857,9.566
10,Arceus-Ground,14.75191,12817,2.680,9453,2.752
11,Marshadow,14.67484,56772,11.869,39623,11.536
12,Zygarde,13.95212,31379,6.560,22820,6.644
13,Eternatus,11.63653,20612,4.309,14288,4.160
14,Deoxys-Attack,10.79863,17684,3.697,13483,3.926
15,Ditto,10.57029,17207,3.598,11675,3.399
16,Arceus-Dark,7.84228,5553,1.161,4060,1.182
17,Giratina-Origin,6.96783,12768,2.669,9226,2.686
18,Arceus-Fairy,6.75558,6449,1.348,4775,1.390
19,Chansey,6.55396,9391,1.963,6469,1.883
20,Glimmora,6.44641,14384,3.007,13134,3.824
21,Dondozo,6.24022,6877,1.438,5058,1.473
22,Arceus-Ghost,5.96126,6291,1.315,4156,1.210
23,Mewtwo,5.94791,5702,1.192,3974,1.157
24,Salamence-Mega,5.45958,20905,4.371,14579,4.245
25,Deoxys-Speed,5.43343,13805,2.886,12698,3.697
26,Giratina,4.54527,6789,1.419,4912,1.430
27,Melmetal,4.53294,23133,4.836,17739,5.165
28,Lugia,4.13137,20554,4.297,14792,4.307
29,Rayquaza,4.05939,18889,3.949,13535,3.941
30,Calyrex-Ice,4.03214,13141,2.747,8930,2.600
31,Excadrill,3.86532,9180,1.919,7441,2.166
32,Mewtwo-Mega-X,3.60645,7027,1.469,5014,1.460
33,Diancie-Mega,3.47415,9250,1.934,7472,2.176
34,Grimmsnarl,3.10904,17889,3.740,15286,4.451
35,Magearna,3.02955,12517,2.617,8994,2.619
36,Hatterene,2.97969,13721,2.869,11207,3.263
37,Kangaskhan-Mega,2.84804,11646,2.435,8940,2.603
38,Palkia-Origin,2.65526,6993,1.462,4800,1.398
39,Mewtwo-Mega-Y,2.61444,22556,4.716,14563,4.240
40,Arceus-Water,2.58685,4682,0.979,3596,1.047
41,Smeargle,2.57354,10979,2.295,9414,2.741
42,Kyurem-Black,2.53674,12677,2.650,8724,2.540
43,Ferrothorn,2.43026,20292,4.242,16283,4.741
44,Cresselia,2.40107,6100,1.275,4437,1.292
45,Toxapex,2.30512,15906,3.326,12188,3.549
46,Sableye-Mega,2.12531,6082,1.272,5134,1.495
47,Kyogre,2.10979,16968,3.548,12471,3.631
48,Lunala,2.02027,7548,1.578,5332,1.552
49,Flutter-Mane,1.96008,18920,3.956,13119,3.820
50,Basculegion,1.87047,14372,3.005,8528,2.483
51,Blissey,1.75744,7783,1.627,5504,1.603
52,Arceus-Ice,1.73751,982,0.205,584,0.170
53,Galvantula,1.63321,13332,2.787,12157,3.540
54,Zekrom,1.58180,8618,1.802,5803,1.690
55,Shuckle,1.52633,15773,3.298,14376,4.186
56,Regieleki,1.43765,26442,5.528,19682,5.730
57,Chien-Pao,1.32237,14104,2.949,9917,2.887
58,Gholdengo,1.31125,9445,1.975,6738,1.962
59,Dragapult,1.30065,21642,4.525,15661,4.560
60,Kyurem-White,1.28547,8861,1.853,5919,1.723
61,Ursaluna,1.28029,14240,2.977,10219,2.975
62,Lucario-Mega,1.27961,26663,5.574,19331,5.628
63,Chi-Yu,1.25962,9090,1.900,6307,1.836
64,Necrozma-Dawn-Wings,1.24991,9445,1.975,6462,1.881
65,Annihilape,1.23226,17810,3.724,12708,3.700
66,Zamazenta-Crowned,1.16670,4921,1.029,3400,0.990
67,Shaymin-Sky,1.15375,13680,2.860,9859,2.870
68,Palkia,1.10478,3990,0.834,2606,0.759
69,Genesect,1.04667,8177,1.710,6031,1.756
70,Pheromosa,1.02804,13442,2.810,9727,2.832
71,Blaziken-Mega,1.02410,21392,4.472,15228,4.434
72,Clodsire,0.98209,9619,2.011,7516,2.188
73,Landorus-Therian,0.89663,11172,2.336,8891,2.589
74,Porygon2,0.88095,4892,1.023,3946,1.149
75,Slurpuff,0.78661,4822,1.008,4142,1.206
76,Krookodile,0.75533,4200,0.878,3136,0.913
77,Landorus,0.75427,5892,1.232,4180,1.217
78,Dialga-Origin,0.74095,4587,0.959,3215,0.936
79,Dracovish,0.70174,24546,5.132,17518,5.100
80,Great-Tusk,0.67193,10977,2.295,7885,2.296
81,Darmanitan-Galar,0.66868,17318,3.621,12460,3.628
82,Kingambit,0.64348,15176,3.173,9627,2.803
83,Darkrai,0.62687,14444,3.020,10717,3.120
84,Blastoise-Mega,0.61947,12976,2.713,9167,2.669
85,Urshifu,0.61589,8092,1.692,5620,1.636
86,Metagross-Mega,0.61078,13324,2.786,9587,2.791
87,Garganacl,0.59607,8015,1.676,6007,1.749
88,Skeledirge,0.59341,7430,1.553,5503,1.602
89,Scizor-Mega,0.58623,7594,1.588,5665,1.649
90,Arceus-Poison,0.52334,799,0.167,565,0.165
91,Groudon,0.51089,5080,1.062,4111,1.197
92,Samurott-Hisui,0.50295,8467,1.770,6969,2.029
93,Tapu-Lele,0.50252,5533,1.157,4234,1.233
94,Cyclizar,0.48694,10279,2.149,8541,2.487
95,Tapu-Fini,0.46979,2694,0.563,2113,0.615
96,Reshiram,0.45589,5035,1.053,3468,1.010
97,Dachsbun,0.44401,927,0.194,631,0.184
98,Gothitelle,0.43521,3743,0.783,2529,0.736
99,Dialga,0.43129,5130,1.073,3778,1.100
100,Slowbro-Mega,0.42614,1919,0.401,1400,0.408
101,Hydreigon,0.42123,5812,1.215,4100,1.194
102,Walking-Wake,0.37804,7839,1.639,5359,1.560
