Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Skarmory,44.15643,6036,9.023,4928,9.592
2,Ting-Lu,25.53340,5081,7.596,4310,8.389
3,Crawdaunt,23.88167,3645,5.449,2781,5.413
4,Politoed,22.70963,1745,2.609,1618,3.149
5,Kingdra,22.54630,1678,2.508,1210,2.355
6,Floatzel,21.91554,804,1.202,600,1.168
7,Bronzong,21.08958,929,1.389,834,1.623
8,Excadrill,16.46656,6776,10.129,5332,10.378
9,Scizor,16.07292,5389,8.056,4425,8.613
10,Victini,13.09953,3145,4.701,2324,4.524
11,Tapu-Fini,13.04537,5077,7.590,4081,7.943
12,Clefable,12.44869,5383,8.047,3830,7.455
13,Venusaur-Mega,11.56902,3964,5.926,3123,6.079
14,Lilligant-Hisui,10.64094,1725,2.579,1177,2.291
15,Torkoal,9.57251,1684,2.517,1482,2.885
16,Slowking-Galar,9.55205,4873,7.285,3769,7.336
17,Dracozolt,9.51692,1367,2.044,1061,2.065
18,Venusaur,9.46384,647,0.967,508,0.989
19,Moltres,9.20923,3771,5.637,3102,6.038
20,Hydreigon,7.75248,3982,5.953,2976,5.793
21,Keldeo,7.30336,1850,2.766,1383,2.692
22,Sableye-Mega,7.20277,2444,3.654,2179,4.241
23,Enamorus,7.17795,4457,6.663,3176,6.182
24,Hippowdon,7.11556,1993,2.979,1752,3.410
25,Aegislash,6.94677,7714,11.532,5856,11.398
26,Skeledirge,6.37685,4466,6.676,3456,6.727
27,Tyranitar,6.36745,3039,4.543,2518,4.901
28,Iron-Treads,6.23264,5654,8.452,4593,8.940
29,Celesteela,5.96951,4005,5.987,3189,6.207
30,Zoroark-Hisui,5.81518,2821,4.217,1123,2.186
31,Arctozolt,5.78303,920,1.375,698,1.359
32,Gligar,4.95831,398,0.595,335,0.652
33,Grimmsnarl,4.90264,3869,5.784,3312,6.447
34,Iron-Hands,4.66460,2152,3.217,1607,3.128
35,Tyranitar-Mega,4.58791,3308,4.945,2694,5.244
36,Ninetales-Alola,4.41510,1231,1.840,1058,2.059
37,Alomomola,4.31420,1176,1.758,945,1.839
38,Cetitan,4.16094,343,0.513,265,0.516
39,Blaziken,4.14187,4443,6.642,3187,6.203
40,Buzzwole,4.07510,3124,4.670,2321,4.518
