Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tauros-Paldea-Aqua,26.48238,8822,13.298,7325,13.770
2,Brambleghast,26.25041,7219,10.882,5783,10.871
3,Revavroom,22.47538,7507,11.316,5949,11.183
4,Krookodile,20.58278,15984,24.094,13103,24.631
5,Kilowattrel,20.42746,10147,15.295,8491,15.961
6,Delphox,19.98472,14004,21.109,11056,20.783
7,Bronzong,18.13368,9240,13.928,7934,14.914
8,Grafaiai,18.09844,8779,13.233,7490,14.080
9,Orthworm,17.36421,4484,6.759,3800,7.143
10,Florges,17.00793,6523,9.833,5117,9.619
11,Iron-Thorns,15.90981,9286,13.998,6984,13.129
12,Mudsdale,15.01188,6630,9.994,5690,10.696
13,Altaria,13.31726,10066,15.173,8161,15.341
14,Inteleon,13.20664,8498,12.810,6968,13.098
15,Vaporeon,12.39590,7103,10.707,5655,10.630
16,Dragalge,12.25210,6111,9.212,5042,9.478
17,Weavile,12.15262,6620,9.979,5028,9.452
18,Tsareena,11.73182,7917,11.934,6302,11.847
19,Sylveon,11.26937,9564,14.417,7384,13.880
20,Tatsugiri,10.93626,5699,8.591,4279,8.044
21,Tauros-Paldea-Blaze,10.46373,6052,9.123,5000,9.399
22,Naclstack,10.34686,5448,8.212,4556,8.564
23,Passimian,10.00634,4554,6.865,3784,7.113
24,Toedscruel,9.30802,6117,9.221,4973,9.348
25,Palossand,9.21127,3341,5.036,2828,5.316
26,Arcanine,9.13102,9423,14.204,7736,14.542
27,Heracross,8.96391,9223,13.903,7061,13.273
28,Copperajah,8.55791,3236,4.878,2659,4.998
29,Klefki,8.08146,6586,9.928,5908,11.106
30,Bombirdier,8.02940,1459,2.199,1236,2.323
31,Oricorio-Sensu,7.87525,5991,9.031,4399,8.269
32,Brute-Bonnet,7.78213,5492,8.279,4376,8.226
33,Bellibolt,7.20781,5794,8.734,4772,8.970
34,Mismagius,6.97398,6596,9.943,5041,9.476
35,Cloyster,6.71004,7877,11.874,5861,11.018
36,Hoopa,6.57005,3743,5.642,2855,5.367
37,Goodra,5.82871,6215,9.368,4995,9.390
38,Tornadus,5.66933,4524,6.819,3639,6.841
39,Salazzle,5.38989,6062,9.138,4935,9.277
40,Qwilfish,5.20843,918,1.384,829,1.558
41,Umbreon,5.01253,1547,2.332,1261,2.370
42,Barraskewda,4.86925,6152,9.273,4729,8.890
43,Rotom-Mow,4.74425,6517,9.824,5579,10.487
