Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Corviknight,60.26945,48,37.500,44,43.927
2,Scream-Tail,55.41044,12,9.375,11,10.982
3,Gholdengo,48.82715,25,19.531,19,18.968
4,Baxcalibur,37.16370,44,34.375,33,32.945
5,Great-Tusk,35.55462,31,24.219,24,23.960
6,Toxapex,33.41815,11,8.594,11,10.982
7,Garchomp,27.61415,13,10.156,12,11.980
8,Braviary-Hisui,27.52535,13,10.156,6,5.990
9,Iron-Hands,27.00498,14,10.938,10,9.983
10,Blissey,26.29717,22,17.188,18,17.970
11,Mew,25.76962,14,10.938,12,11.980
12,Alomomola,25.47344,2,1.562,2,1.997
13,Ting-Lu,21.50927,6,4.688,6,5.990
14,Slowking-Galar,21.46746,4,3.125,3,2.995
15,Dragonite,21.46745,2,1.562,2,1.997
16,Dragapult,10.39325,29,22.656,25,24.958
17,Volcarona,9.73768,11,8.594,8,7.987
18,Annihilape,9.70440,10,7.812,8,7.987
19,Spidops,9.70440,5,3.906,4,3.993
20,Chansey,7.12370,2,1.562,1,0.998
21,Slowbro,7.12370,1,0.781,1,0.998
22,Muk-Alola,7.12370,1,0.781,1,0.998
23,Iron-Bundle,4.98302,10,7.812,4,3.993
24,Sneasler,4.96995,10,7.812,8,7.987
25,Sandy-Shocks,4.91485,9,7.031,8,7.987
26,Slither-Wing,4.91328,4,3.125,4,3.993
27,Landorus-Therian,4.30356,3,2.344,3,2.995
28,Hoopa-Unbound,2.66454,19,14.844,15,14.975
29,Farigiraf,2.18516,5,3.906,5,4.992
30,Ursaluna,2.14335,5,3.906,5,4.992
31,Avalugg,2.14335,4,3.125,3,2.995
32,Slowking,2.14335,4,3.125,3,2.995
33,Forretress,1.76117,8,6.250,7,6.988
34,Iron-Moth,1.15322,13,10.156,12,11.980
35,Gallade,0.70602,5,3.906,3,2.995
36,Barraskewda,0.70602,3,2.344,2,1.997
37,Maushold,0.44593,5,3.906,3,2.995
38,Decidueye-Hisui,0.44593,5,3.906,5,4.992
39,Camerupt,0.38218,1,0.781,1,0.998
40,Zamazenta,0.37747,5,3.906,5,4.992
41,Hydreigon,0.24287,15,11.719,13,12.978
42,Amoonguss,0.22931,13,10.156,11,10.982
43,Magnezone,0.18749,12,9.375,8,7.987
44,Skeledirge,0.18749,14,10.938,13,12.978
45,Goodra-Hisui,0.18704,3,2.344,1,0.998
46,Zamazenta-Crowned,0.18514,3,2.344,1,0.998
47,Oricorio-Pom-Pom,0.18514,3,2.344,2,1.997
48,Iron-Valiant,0.14915,16,12.500,11,10.982
49,Lilligant-Hisui,0.12512,15,11.719,11,10.982
50,Urshifu-Rapid-Strike,0.11594,7,5.469,4,3.993
51,Decidueye,0.11499,1,0.781,0,0.000
52,Veluza,0.11499,3,2.344,0,0.000
53,Hatterene,0.11499,1,0.781,1,0.998
54,Gengar,0.09343,3,2.344,2,1.997
55,Noivern,0.09343,5,3.906,4,3.993
56,Thundurus-Therian,0.08211,2,1.562,2,1.997
57,Enamorus-Therian,0.06973,5,3.906,3,2.995
58,Glimmora,0.05538,2,1.562,2,1.997
59,Chesnaught,0.05538,2,1.562,2,1.997
60,Heatran,0.05246,2,1.562,2,1.997
61,Garganacl,0.04182,7,5.469,6,5.990
62,Quaquaval,0.04182,1,0.781,1,0.998
