Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Flutter-Mane,80.89363,1327,55.062,676,61.792
2,Chi-Yu,44.45820,525,21.784,255,23.309
3,Iron-Hands,38.60173,659,27.344,371,33.912
4,Amoonguss,32.76265,1020,42.324,401,36.654
5,Great-Tusk,25.91909,201,8.340,110,10.055
6,Dragonite,24.64863,441,18.299,180,16.453
7,Torkoal,24.59500,234,9.710,100,9.141
8,Iron-Bundle,23.75224,510,21.162,256,23.400
9,Murkrow,21.87685,202,8.382,84,7.678
10,Lilligant,20.82389,58,2.407,18,1.645
11,Arcanine,20.32773,629,26.100,276,25.229
12,Chien-Pao,19.38817,478,19.834,199,18.190
13,Ting-Lu,16.41684,548,22.739,243,22.212
14,Gyarados,12.73932,334,13.859,143,13.071
15,Corviknight,11.36330,75,3.112,42,3.839
16,Palafin,11.23704,316,13.112,199,18.190
17,Armarouge,11.03952,170,7.054,79,7.221
18,Indeedee-F,10.88733,190,7.884,86,7.861
19,Garchomp,9.94703,201,8.340,76,6.947
20,Umbreon,9.58825,13,0.539,3,0.274
21,Annihilape,9.38402,395,16.390,179,16.362
22,Gholdengo,9.31888,250,10.373,102,9.324
23,Dragapult,9.13964,173,7.178,66,6.033
24,Dondozo,6.61738,234,9.710,121,11.060
25,Kingambit,6.48536,287,11.909,117,10.695
26,Scizor,6.41067,74,3.071,34,3.108
27,Azumarill,5.04360,103,4.274,55,5.027
28,Pelipper,4.81429,107,4.440,45,4.113
29,Farigiraf,4.76300,69,2.863,20,1.828
30,Maushold,3.96702,286,11.867,132,12.066
31,Roaring-Moon,3.89071,68,2.822,30,2.742
32,Tatsugiri,3.84826,212,8.797,116,10.603
33,Glimmora,3.35672,97,4.025,26,2.377
34,Cyclizar,2.97088,19,0.788,8,0.731
35,Iron-Valiant,2.74654,47,1.950,24,2.194
36,Salazzle,2.72165,11,0.456,3,0.274
37,Orthworm,2.09085,47,1.950,25,2.285
38,Arboliva,1.89272,29,1.203,7,0.640
39,Abomasnow,1.87595,190,7.884,80,7.313
40,Ceruledge,1.51878,174,7.220,85,7.770
41,Sylveon,1.50662,70,2.905,48,4.388
42,Grimmsnarl,1.48107,87,3.610,30,2.742
