Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Flutter-Mane,64.21936,1464079,46.350,714970,49.666
2,Urshifu-Rapid-Strike,45.04811,1097266,34.737,546150,37.939
3,Amoonguss,32.40389,778886,24.658,302392,21.006
4,Tornadus,30.92024,1038308,32.871,296989,20.631
5,Iron-Hands,30.04210,635205,20.109,344724,23.947
6,Chien-Pao,29.72572,771091,24.411,384524,26.711
7,Heatran,27.98710,647012,20.483,303748,21.100
8,Landorus-Therian,24.91132,532177,16.848,280647,19.495
9,Rillaboom,23.82912,612839,19.401,287019,19.938
10,Gholdengo,22.23162,399762,12.656,184925,12.846
11,Cresselia,19.96422,517234,16.375,211909,14.720
12,Chi-Yu,18.20050,363570,11.510,177250,12.313
13,Dragonite,16.97788,479286,15.173,218086,15.150
14,Ursaluna,16.77070,470380,14.891,254832,17.702
15,Urshifu,13.56719,303102,9.596,164418,11.421
16,Dondozo,9.01640,140863,4.459,76903,5.342
17,Tatsugiri,8.07958,116572,3.690,69462,4.825
18,Thundurus,7.74581,263352,8.337,90582,6.292
19,Indeedee-F,7.46829,298917,9.463,120370,8.362
20,Gyarados,7.04631,139865,4.428,66976,4.653
21,Arcanine-Hisui,6.72339,214625,6.795,110256,7.659
22,Roaring-Moon,6.53428,77567,2.456,31025,2.155
23,Regieleki,6.37355,231574,7.331,88693,6.161
24,Grimmsnarl,6.36745,334617,10.593,150711,10.469
25,Goodra-Hisui,5.41682,283899,8.988,138324,9.609
26,Gastrodon,5.06798,196465,6.220,86365,5.999
27,Pelipper,4.75772,154832,4.902,72677,5.049
28,Farigiraf,4.55494,153431,4.857,47129,3.274
29,Iron-Bundle,4.45251,230019,7.282,103674,7.202
30,Regidrago,4.42457,124628,3.945,65816,4.572
31,Basculegion,4.22387,178404,5.648,96930,6.733
32,Armarouge,4.06778,174415,5.522,83736,5.817
33,Kingambit,4.00061,118257,3.744,51230,3.559
34,Torkoal,3.79173,257606,8.155,136619,9.490
35,Arcanine,3.13227,158943,5.032,71188,4.945
36,Glimmora,2.98525,69697,2.206,26575,1.846
37,Moltres-Galar,2.90614,148711,4.708,63115,4.384
38,Zapdos,2.83968,114375,3.621,43147,2.997
39,Maushold,2.46308,118872,3.763,47081,3.271
40,Dragapult,2.41496,121896,3.859,58207,4.043
41,Ting-Lu,2.39931,119600,3.786,51735,3.594
42,Volcarona,2.39141,73493,2.327,33005,2.293
43,Lilligant-Hisui,2.26603,147701,4.676,55349,3.845
44,Annihilape,2.17502,159510,5.050,79191,5.501
45,Sneasler,2.13477,131183,4.153,61224,4.253
46,Mimikyu,2.04623,57476,1.820,22100,1.535
47,Kleavor,1.97587,103545,3.278,43936,3.052
48,Landorus,1.96939,99227,3.141,45389,3.153
49,Azumarill,1.87531,94513,2.992,48069,3.339
50,Enamorus-Therian,1.62153,78489,2.485,39818,2.766
51,Abomasnow,1.52130,89065,2.820,43563,3.026
52,Bruxish,1.34072,24424,0.773,8818,0.613
53,Baxcalibur,1.31422,74283,2.352,36149,2.511
54,Palafin,1.25303,73078,2.314,39732,2.760
55,Gothitelle,1.21941,51058,1.616,22451,1.560
56,Brute-Bonnet,1.17859,62152,1.968,25920,1.801
57,Thundurus-Therian,1.14167,63453,2.009,31973,2.221
58,Brambleghast,1.07688,61260,1.939,29146,2.025
59,Wo-Chien,1.04790,54022,1.710,24312,1.689
60,Spectrier,0.94419,67739,2.144,36802,2.556
61,Hatterene,0.91952,59871,1.895,23333,1.621
62,Articuno,0.85543,42159,1.335,23234,1.614
63,Scizor,0.76729,70410,2.229,33028,2.294
64,Tyranitar,0.76167,66441,2.103,33376,2.318
65,Glastrier,0.75485,63438,2.008,33071,2.297
66,Talonflame,0.73972,48766,1.544,16348,1.136
67,Scream-Tail,0.72253,50668,1.604,20697,1.438
68,Garchomp,0.69226,68073,2.155,33407,2.321
69,Murkrow,0.66577,49066,1.553,14297,0.993
70,Sylveon,0.66075,39030,1.236,19831,1.378
71,Enamorus,0.63519,73521,2.328,36078,2.506
72,Garganacl,0.62115,55814,1.767,25931,1.801
73,Zoroark-Hisui,0.53064,61688,1.953,21186,1.472
74,Great-Tusk,0.52637,47700,1.510,22435,1.558
75,Typhlosion-Hisui,0.47271,57658,1.825,29927,2.079
76,Tsareena,0.46817,35652,1.129,13743,0.955
77,Oranguru,0.44469,34709,1.099,15063,1.046
78,Iron-Moth,0.38795,40142,1.271,18486,1.284
79,Charizard,0.36008,39881,1.263,18075,1.256
